Sample Name,True Value,Predicted Value
mp-14889,-3.7122139407021684,-3.7543564358310983
mp-3370,-1.9914001260453345,-1.9871683307420682
mp-569225,-2.2426045024795864,-2.374665429453732
mp-15988,-1.8356473522234318,-1.6642142655947116
mp-746702,-4.511547997509211,-4.543005713008832
mp-23167,-1.730487219444191,-1.7801660380924333
mp-772181,-2.0096614558448325,-2.0204028588488727
mp-4170,-1.6420652863360454,-1.8357775492508432
mp-682,-2.056011470854674,-2.0689410525585807
mp-754818,-2.0793553639535003,-1.944025331638733
mp-23644,-2.14813082657565,-2.129190684679565
mp-28593,-1.8538721811472947,-1.9741605504895487
mp-9392,-2.004804015387507,-1.9968027527713457
mp-649470,-4.146953109700052,-4.268104041333151
mp-2908,-1.9956789269962798,-1.9933611330340795
mp-605824,-2.032920593946334,-2.0260992422058473
mp-707854,-4.812676730461341,-4.5747487704352405
mp-14620,-1.9706165061179783,-1.9367377003750388
mp-935811,-1.6420652863360454,-1.8437281748211325
mp-23268,-1.9625737809048023,-1.9179427196615126
mp-17912,-2.798604787992496,-2.4815347188910386
mp-3443,-1.9469218260320633,-1.9807328658216212
mp-38843,-1.684029801862893,-1.878082749384185
mp-2652,-2.056011470854674,-2.0456779824161786
mp-567628,-2.1668533344115914,-2.084687675497393
mp-631519,-1.6819368111568216,-1.8153191212651254
mp-37906,-1.9430954156721327,-1.940128057746028
mp-1273,-2.2041204694100927,-2.164314176433299
mp-12236,-1.9665765264872554,-1.9967286708489367
mp-778509,-2.7033363453872474,-2.648108889396005
mp-10525,-1.9871630701516896,-1.9230739296081756
mp-27839,-2.385103521879601,-2.4859738394737243
mp-740719,-2.018634808334289,-2.0629496736185704
mp-754093,-2.1396624123190118,-2.1536247126380537
mp-6059,-2.053548078898482,-2.0672575349442357
mp-763149,-2.187755771422652,-2.1949427708582734
mp-29513,-3.4190830032370036,-3.088670690593409
mp-10731,-1.9956789269962798,-1.9628345101094786
mp-24123,-2.0675265901475015,-2.030202209771446
mp-580631,-2.0118874724421856,-2.020798905461289
mp-37381,-2.216096921010382,-2.0859309003706654
mp-568670,-2.209012016919595,-2.168669139907169
mp-22605,-2.0000003040062437,-2.075601471123094
mp-35208,-2.2441256773444276,-2.1536903905570717
