Sample Name,True Value,Predicted Value
mp-19784,-1.9746944217983378,-1.9853098448042363
mp-866690,-2.1232054277267975,-2.164491959020078
mp-557466,-1.9281182506323962,-1.969151248401779
mp-13032,-1.9706165061179783,-1.8857407132418718
mp-2488,-2.0856572132877793,-2.009294513880157
mp-6798,-2.0390541366107806,-2.0401922109051496
mp-1217,-1.931814397834383,-1.9772313719171573
mp-754942,-2.0227341083437826,-2.0148599017001003
mp-19996,-1.8386322076594561,-1.9233816999169342
mp-561442,-2.1045778407764284,-2.06525942343544
mp-8289,-1.815308767696867,-1.8877551910559451
mp-16152,-2.0716045064979514,-2.0896005152458446
mp-12641,-1.7851563373696353,-1.8878621817180499
mp-24292,-1.958607591369304,-1.9222935668164547
mp-779453,-2.001740967227153,-2.0190283744852744
mp-18577,-1.9788109905297508,-1.9745916956734888
mp-19886,-1.630784272917172,-1.710276837792401
mp-6273,-2.0000003040062437,-1.9602031261006432
mp-697030,-1.844664175591757,-1.9047409599959766
mp-10378,-1.9546772948794895,-1.8907069855897696
mp-557664,-1.8827289360658153,-1.9028328335600526
mp-23453,-1.906578560166309,-1.9362872699841391
mp-18848,-1.9746944217983378,-2.0700536168547115
mp-560328,-1.9546772948794895,-2.0338031247745487
mp-4198,-2.124939142341706,-1.9964689894680732
mp-18529,-2.0767563437759713,-2.0683686484688977
mp-558836,-3.1402656330000984,-3.1008881731268314
mp-3307,-2.06248245904649,-2.0217091336013935
mp-558096,-1.9746944217983378,-1.998340672068136
mp-780370,-2.188425463145527,-2.1195458899993382
mp-556649,-2.0250283280405195,-2.0049020938316824
mp-570744,-1.8601211342943589,-1.7884153514508931
mp-571341,-2.0177290836731756,-2.09428148905556
mp-770500,-3.2541502629541785,-3.1790059371088675
mp-22867,-2.0109956958012782,-1.9694703309579609
mp-13590,-2.36451695671848,-2.3743950705790833
mp-27508,-2.0043651120770147,-2.00523508024894
mp-7640,-2.403403673636472,-2.435895490577052
mp-4356,-2.004804015387507,-2.0023367371563183
mp-1317,-1.8386322076594561,-1.8381106466917243
mp-557953,-2.114639175841505,-2.065869264199785
mp-29557,-2.340084465221817,-2.391722816204061
mp-8860,-2.1106986892661603,-2.0500980884281805
mp-540866,-2.0969103930078377,-2.1312426381592577
mp-579224,-3.60381286225344,-3.553429624650971
mp-23067,-1.9871630701516896,-2.012778974242237
mp-556257,-2.108462932251956,-2.101751865296095
mp-643579,-2.1542824156751625,-2.1702044318639584
mp-15576,-1.9665765264872554,-2.0052435082238738
mp-29746,-2.0438319062901056,-2.0291075769124967
mp-19403,-1.9746944217983378,-2.041817638793194
mp-30373,-1.6946487814981137,-1.6803954043910383
mp-530571,-1.9746944217983378,-2.013980785744953
mp-20066,-2.104025654284972,-2.102982615555727
mp-14037,-2.083020321046327,-2.046163672674499
mp-560399,-2.051587376349388,-2.042481751078932
mp-864755,-1.779892095136266,-1.8057674186538148
mp-643243,-1.9956789269962798,-1.9551392683951065
mp-18594,-2.7931760122409828,-2.6182019983880886
mp-18748,-4.7596255033244805,-4.66615287318933
mp-16705,-2.0649972020850886,-2.09695047074169
mp-37153,-2.069051325396556,-2.0391609658428393
mp-6613,-1.7958802070038773,-1.8676072849478529
mp-2176,-1.9788109905297508,-1.917114981023329
mp-2075,-1.815308767696867,-1.8748504310845877
mp-27853,-1.9914001260453345,-1.921712156566198
mp-7986,-1.9469218260320633,-1.956350276629109
mp-5478,-2.216096921010382,-2.18399837065032
mp-7831,-1.9665765264872554,-1.944112222800717
mp-646297,-2.061480625237627,-2.0680669067069664
mp-1266,-1.9546772948794895,-1.9354655153828975
mp-4423,-2.1456943831836166,-2.095027795065327
mp-34418,-2.0767563437759713,-2.0303167258041976
mp-559200,-1.950782248434136,-1.9922485474002518
mp-752400,-3.206214502585977,-3.238611408801374
mp-9200,-1.8041005416345262,-1.8766491270377679
mp-16107,-2.105684324763103,-2.071088041707495
mp-1029,-2.039529554975086,-2.003586618504692
mp-13771,-1.9706165061179783,-2.0153134817562144
mp-641923,-2.0540396402879475,-2.0103821596167912
mp-22925,-1.9546772948794895,-1.8928040535630863
mp-643293,-1.9625737809048023,-1.9948642626564546
mp-39288,-2.401210258759207,-2.226334674151775
mp-2853,-1.684029801862893,-1.8105767491873104
mp-6051,-2.609066128799065,-2.488760601469728
mp-3887,-2.0096614558448325,-1.9948747577275452
mp-2172,-1.7471471388358641,-1.730317772674197
mp-632724,-2.241845908552047,-2.2333057270462002
mp-11875,-2.6020612070262508,-2.5028828899675477
mp-14215,-2.2335876735587665,-2.196763607604928
mp-6686,-2.077794086643858,-2.0662558690911226
mp-9203,-2.002177224533914,-1.9986971487465175
mp-557203,-1.8894105256637364,-2.0073034240234127
mp-865095,-2.0594838636310313,-2.0552467541535173
mp-23147,-2.0501226371966963,-2.0140990463849264
mp-28084,-1.9172148812448147,-1.9528682463262066
mp-18337,-1.86966645718979,-1.9130174151497248
mp-17838,-2.1348964397425405,-2.1077210384756757
mp-556627,-2.078834313515905,-2.072427757627658
mp-149,-1.5968795991605453,-1.5838880129488024
mp-22535,-1.7495801687899983,-1.8093386204677715
mp-754240,-1.9914001260453345,-2.062513129202651
mp-216,-2.198596770262726,-2.204397251955764
mp-10653,-1.7958802070038773,-1.7737229223313777
mp-7811,-2.055024437069533,-2.04349550464511
mp-753418,-1.9706165061179783,-2.024438521834059
mp-19717,-1.590066995290342,-1.6793597780984368
mp-556537,-2.057000753643397,-2.074295608991238
mp-643397,-1.9706165061179783,-2.020425180595773
mp-23494,-1.9706165061179783,-2.0127290883876894
mp-4950,-2.06248245904649,-2.0469165588469944
mp-4396,-2.7447291839262697,-2.715453443296765
mp-571281,-1.950782248434136,-1.8930332562387544
mp-755450,-3.454701545229889,-3.4461490178775573
mp-16031,-1.9746944217983378,-1.9620181656179714
mp-14036,-2.3936193874910914,-2.411291203178815
mp-10250,-1.9625737809048023,-2.027560212822575
mp-6255,-2.1499671713874116,-2.1286472896076427
mp-28040,-2.117475860435487,-2.121026596725845
mp-558189,-1.9281182506323962,-1.8425240062382715
mp-5207,-2.9100973606016476,-2.91239633898824
mp-546202,-2.1325329244915627,-2.077071524026412
mp-570379,-2.156145012539097,-2.1097694907439792
mp-19400,-1.8538721811472947,-1.9737004774055784
mp-17599,-2.698971524033346,-2.6815980531342274
mp-569571,-1.896196518374977,-1.9456445456900395
mp-623862,-2.01502318870626,-2.0270306780288094
mp-568847,-2.07831388907936,-2.1302081731986844
mp-28166,-2.012781083085733,-1.9941158418904583
mp-27833,-1.8728954288703108,-2.007758067096747
mp-17167,-1.9871630701516896,-2.00013328143637
mp-27315,-2.6073042777958233,-2.666671306100827
mp-23372,-1.939302424353244,-1.9512204746632815
mp-4405,-1.8894105256637364,-1.9029221096285491
mp-8686,-2.754489059311033,-2.6081178401069174
mp-677179,-2.065501902495653,-2.065551197817858
mp-23659,-2.046240646160462,-2.0158498859794767
mp-24239,-2.0716045064979514,-2.0408384511381734
mp-758925,-2.0491488814325383,-2.0342542526670826
mp-13816,-2.0287244757930027,-1.992795254640014
mp-14407,-1.9281182506323962,-1.9870225358284452
mp-9765,-2.0772749052093955,-2.0455275569663316
mp-23475,-2.0680342405628793,-1.9955114284638276
mp-556143,-1.9871630701516896,-2.0213764595081107
mp-1022,-1.9956789269962798,-1.9995604876351911
mp-28730,-2.2426045024795864,-2.2460516574634095
mp-14038,-2.2823300793876267,-2.28795594014789
mp-5304,-1.982966953313692,-2.0605369401486078
mp-14565,-2.117475860435487,-2.077311199123469
mp-1550,-1.7619540727261263,-1.7183070738424777
mp-13614,-2.116338962393826,-2.09056188877209
mp-555393,-1.844664175591757,-1.8494906858847575
mp-16220,-1.7447276638923317,-1.660378264003883
mp-554219,-5.440931666001646,-5.245633555060481
mp-648,-1.9788109905297508,-1.9564192540829828
mp-23648,-2.019542425998168,-2.013098420791091
mp-554747,-2.576755273194486,-2.6225853949581555
mp-28585,-3.5331427557600374,-3.538847763753684
mp-556287,-2.3027712674545198,-2.191267851722777
mp-812,-2.0287244757930027,-2.0235446544969697
mp-27632,-2.3071536976457474,-2.3365914882483043
mp-570959,-1.9871630701516896,-1.9457564098867397
mp-866132,-1.5482136714226766,-1.6363911295336937
mp-37990,-2.0920518537803074,-2.081363403387568
