Sample Name,True Value,Predicted Value
mp-14889,-4.388351027490343,-4.062302364037584
mp-3370,-2.7055353171811043,-2.7036122336565818
mp-569225,-3.5331427557600374,-3.3645129898693638
mp-15988,-1.4045038551589246,-1.5145061397026527
mp-746702,-3.500322537553932,-3.6894353835516704
mp-23167,-2.0486628210517406,-2.1312339588744527
mp-772181,-3.50585514989576,-3.503921202239881
mp-4170,-2.310691762689888,-2.4893109698835296
mp-682,-3.156148932410623,-3.1932337336503736
mp-754818,-2.5316537040357123,-2.4818471324621716
mp-23644,-2.74714866736163,-2.699024857813935
mp-28593,-2.3516406721603964,-2.5081242667979597
mp-9392,-3.4412998270407824,-3.3664620667721192
mp-649470,-3.7122139407021684,-4.127629056129027
mp-2908,-2.69680545547098,-2.75901021161614
mp-605824,-3.2684168752247045,-3.23470293820999
mp-707854,-4.304579619885431,-4.384715382313154
mp-14620,-2.6777821526506846,-2.5359345606900563
mp-935811,-2.3516406721603964,-2.5386115893509094
mp-23268,-2.7772853493998477,-2.6478251237194375
mp-17912,-2.9507846913489924,-2.7086480659664107
mp-3443,-2.903092419055909,-2.97916089696088
mp-38843,-2.4436983434623127,-2.718672278912058
mp-2652,-2.9706190631881455,-2.9166829877244456
mp-567628,-2.092589015245382,-2.2397161781715975
mp-631519,-1.7746908989560712,-1.9431001469711786
mp-37906,-2.6575787008482763,-2.618016327597442
mp-1273,-2.903092419055909,-2.6294475961377617
mp-12236,-3.2433692161331162,-3.239424593539538
mp-778509,-3.5606783609093253,-3.2797055782900877
mp-10525,-2.5316537040357123,-2.3557953503057227
mp-27839,-2.126679804969585,-2.2483078220749255
mp-740719,-3.7167146049416164,-3.8491349075895878
mp-754093,-3.006126168237489,-2.7412267774441
mp-6059,-3.422516242564871,-3.4135581370224317
mp-763149,-3.0899131933289765,-2.991444731024951
mp-29513,-3.3925524833892524,-3.532123304344456
mp-10731,-2.790486861585147,-2.657538772928415
mp-24123,-3.645905012807327,-3.313071118661697
mp-580631,-2.974697002991899,-2.93649377006387
mp-37381,-2.567031830795313,-2.381787600425355
mp-568670,-2.3233070300133916,-2.386410587015733
mp-22605,-3.0690545329787207,-2.999934588475858
mp-35208,-2.64781883314049,-2.4374377350000005
