Sample Name,True Value,Predicted Value
mp-19784,-3.107909294532067,-2.9607691878316764
mp-866690,-2.107349355252591,-2.203792108138277
mp-557466,-2.403403673636472,-2.469276991629871
mp-13032,-2.721247999035249,-2.5294790117354813
mp-2488,-1.7746908989560712,-1.7757047327702975
mp-6798,-2.477556678932302,-2.451360631562346
mp-1217,-2.1220534506573214,-2.166780833680214
mp-754942,-2.8041022843491428,-2.7748954681092872
mp-19996,-1.9871630701516896,-2.095779130694478
mp-561442,-2.447332635558643,-2.422082755432738
mp-8289,-2.198596770262726,-2.4416942225078753
mp-16152,-2.1917894997936274,-2.3187338521085405
mp-12641,-2.2781899618621244,-2.400245234739296
mp-24292,-3.40451149396035,-3.265152472485069
mp-779453,-3.7986219963037557,-3.9118037389746423
mp-18577,-2.7619556542644648,-2.595535897234484
mp-19886,-1.8632796549023465,-1.9148849196924476
mp-6273,-2.8297403391003826,-2.790689703155323
mp-697030,-2.954679759802665,-2.904292830151235
mp-10378,-2.7520284515521967,-2.5869349355047317
mp-557664,-1.7544875047307942,-1.9108191698236954
mp-23453,-2.651696500258361,-2.768014959033458
mp-18848,-2.215383206189346,-2.3355293897692118
mp-560328,-3.0947477321873205,-3.081452035626338
mp-4198,-2.369572836958751,-2.333956704051132
mp-18529,-2.5044566332666993,-2.375609369705158
mp-558836,-3.0710958907702093,-3.2718619951444046
mp-3307,-2.72353980450106,-2.67829291713703
mp-558096,-2.7304886904446755,-2.679721602628473
mp-780370,-2.826815772314441,-2.7697033312793558
mp-556649,-3.9281437569961892,-3.8993839762504505
mp-570744,-1.8416377191154243,-1.761963130410356
mp-571341,-2.247184106113649,-2.405618092581564
mp-770500,-3.5513044988585007,-3.42724917105594
mp-22867,-2.958610078700952,-2.9267547306248614
mp-13590,-2.612611419928581,-2.6348107712953888
mp-27508,-3.4461254648745596,-3.309216630073299
mp-7640,-2.075204365481883,-2.174428483688338
mp-4356,-2.6497533391723773,-2.6275190442432312
mp-1317,-1.4424928822122345,-1.5398796415650398
mp-557953,-2.779893743366135,-2.777579936838226
mp-29557,-3.826834135575767,-3.7721318532382373
mp-8860,-2.511450270034034,-2.3758053441046867
mp-540866,-2.6882476219593,-2.8081387266508977
mp-579224,-2.939304803539677,-3.0218334442319383
mp-23067,-2.404504549589866,-2.5484857896005226
mp-556257,-4.310753314394402,-4.1083593165641
mp-643579,-3.4989503282048604,-3.507055822685804
mp-15576,-3.265205768675812,-3.2917643140279806
mp-29746,-2.89279240505444,-2.880507492531527
mp-19403,-2.410051180507484,-2.4875505071828785
mp-30373,-1.6382722961766014,-1.638988015646509
mp-530571,-3.692518937929994,-3.705168012673218
mp-20066,-3.12263268593035,-3.006991241007326
mp-14037,-3.120908135951685,-2.9745661699482997
mp-560399,-2.8728974707084447,-2.8775463564754444
mp-864755,-1.806875596875773,-1.7534074911821649
mp-643243,-2.5228797583549727,-2.4765649251834683
mp-18594,-2.7851580056999157,-2.7088024400155555
mp-18748,-4.7596255033244805,-4.551939494594085
mp-16705,-3.22113058636785,-3.136822814461979
mp-37153,-2.8696684839031548,-2.887224168535313
mp-6613,-2.3736603516912274,-2.412690279019935
mp-2176,-2.739930282366604,-2.6530796809539265
mp-2075,-2.095284833588132,-2.157208527677096
mp-27853,-2.928120569330841,-2.8268312746415467
mp-7986,-2.920821287391867,-2.721197760083003
mp-5478,-2.0118874724421856,-2.1198783323905928
mp-7831,-3.148745932797687,-3.114559388973477
mp-646297,-4.943361902957027,-4.579589688464145
mp-1266,-2.9100973606016476,-2.9013715312455473
mp-4423,-2.129596504711969,-2.2191851008835943
mp-34418,-3.1891004177292372,-3.149714842959599
mp-559200,-3.093668729804681,-3.078427137859081
mp-752400,-2.210419781516737,-2.18826628897797
mp-9200,-2.628933431645065,-2.7669655587812736
mp-16107,-2.6216033709940696,-2.5411607908286653
mp-1029,-3.054042738891756,-2.9824327951525587
mp-13771,-3.522888878656131,-3.4552128526221373
mp-641923,-2.7077454800544922,-2.6837084641783027
mp-22925,-2.6161858902255246,-2.4945305873801087
mp-643293,-2.2856708268848314,-2.356568471908429
mp-39288,-2.1830966244242376,-2.1624002234361326
mp-2853,-2.120904521593497,-2.2913153069479635
mp-6051,-2.991402808462552,-3.0477631109793304
mp-3887,-2.567031830795313,-2.572313078827466
mp-2172,-1.9136404181854296,-1.9104655806386999
mp-632724,-2.303644222682799,-2.3527494702046035
mp-11875,-2.8210250662903458,-2.7030922420168944
mp-14215,-2.0824948576012887,-2.1454798340449983
mp-6686,-3.1463060458099075,-3.1142456675208674
mp-9203,-3.5817103124427017,-3.4769026944175425
mp-557203,-2.4461178221799837,-2.573678122129126
mp-865095,-3.197231062524617,-3.13101071433965
mp-23147,-4.175919746523348,-4.217647333810965
mp-28084,-2.366532250991592,-2.5108813792599376
mp-18337,-2.357536172497449,-2.3911689894848984
mp-17838,-3.5436445967153087,-3.609112957456935
mp-556627,-3.9747228157713113,-3.9864342629518443
mp-149,-1.630784272917172,-1.5828621066251651
mp-22535,-2.5451562066895113,-2.5124380300063764
mp-754240,-2.5543968866290996,-2.5706930031133703
mp-216,-2.6695876475917513,-2.5987590386709125
mp-10653,-1.6777808497648514,-1.722683889271897
mp-7811,-2.675718985789772,-2.6678694995921033
mp-753418,-2.5883814723199605,-2.617713787442836
mp-19717,-1.5985995796373726,-1.6844685351828323
mp-556537,-3.242609285825129,-3.0467814310454453
mp-643397,-2.4056082235532017,-2.4830074062900236
mp-23494,-2.2328446536689213,-2.353952597940708
mp-4950,-3.0282636534746294,-3.0172635496704974
mp-4396,-2.9507846913489924,-3.0170713097826676
mp-571281,-2.89279240505444,-2.716856642651119
mp-755450,-2.3353586820224397,-2.28014874886716
mp-16031,-2.9665790598807673,-2.8787140161848783
mp-14036,-3.191118853617854,-3.237736289396745
mp-10250,-2.7258437680569334,-2.7593557494112293
mp-6255,-2.826815772314441,-2.75411874562246
mp-28040,-2.2426045024795864,-2.323170038454955
mp-558189,-2.473661627781114,-2.3974968773395147
mp-5207,-3.305400942581553,-3.3349945514359596
mp-546202,-2.5968806806069487,-2.5971806525067125
mp-570379,-2.2790148339588208,-2.3363863134837497
mp-19400,-1.9030902302049784,-2.053423516312153
mp-17599,-2.974697002991899,-2.986964710180986
mp-569571,-2.576755273194486,-2.392777159825965
mp-623862,-3.647830993594066,-3.6083648209538732
mp-568847,-3.9136650882507316,-3.81582647466447
mp-28166,-2.756963688181401,-2.834872680960068
mp-27833,-2.5590920194729088,-2.6846511820375194
mp-17167,-3.2915850492802283,-3.247052045126079
mp-27315,-2.4934959150606515,-2.452805792105585
mp-23372,-3.110702219677547,-3.004023297183797
mp-4405,-2.057000753643397,-2.135444926913771
mp-8686,-2.573489877601259,-2.5701770367249015
mp-677179,-3.4401017499054705,-3.4622911186738445
mp-23659,-3.9136650882507316,-3.8664670854594307
mp-24239,-3.5086481127603095,-3.2953365249436666
mp-758925,-4.298492457801759,-4.246735535131026
mp-13816,-3.344868290851577,-3.3367295829994497
mp-14407,-3.0381078448569725,-3.0122314556407046
mp-9765,-2.3010306040127,-2.2955898877298453
mp-23475,-2.749581705903007,-2.662932985646703
mp-556143,-3.337248776879353,-3.4380858655569564
mp-1022,-3.643987535547352,-3.523282642865522
mp-28730,-2.3605142082623427,-2.422325124102855
mp-14038,-3.040961948739636,-3.135097895049861
mp-5304,-2.383000393314963,-2.3639366023202935
mp-14565,-2.5986006653752356,-2.557144999718917
mp-1550,-1.9746944217983378,-1.98229283839689
mp-13614,-4.129052103962136,-4.1667704144777185
mp-555393,-2.6695876475917513,-2.9296422262957584
mp-16220,-1.6575774571846293,-1.614201841330856
mp-554219,-3.073661154983386,-2.9887192997609966
mp-648,-2.935544631750472,-2.857633341396123
mp-23648,-3.809687915742085,-3.7822420432807746
mp-554747,-2.5816998693303197,-2.6481776121984413
mp-28585,-3.348728771904295,-3.3487714077798567
mp-556287,-3.145091223916531,-3.0875636818513987
mp-812,-2.991402808462552,-3.002773818370662
mp-27632,-2.313364356527482,-2.4059605577610665
mp-570959,-2.7077454800544922,-2.5710930459358674
mp-866132,-1.8794262993077409,-2.0589299070354987
mp-37990,-5.023054249868366,-4.746610439203646
mp-8085,-2.3410358236806372,-2.3022805796040475
mp-571653,-2.079877039392146,-2.045339588658762
mp-559482,-2.36552343535124,-2.450794167588034
mp-697,-3.358532829834847,-3.310411499926048
mp-653631,-2.2806692931647716,-2.4320371256538085
mp-1784,-2.74714866736163,-2.733329822540931
mp-2345,-2.995681635972185,-3.0001451836626214
mp-29250,-3.0535511739970707,-2.9474132203562697
mp-21706,-2.503071320173491,-2.3707622639054327
mp-29688,-3.9393285961208977,-3.998200013988563
mp-8399,-2.4449063978145773,-2.4784007800075774
mp-5245,-2.4001176918351876,-2.5095700605904283
mp-558501,-3.130772388210473,-3.1868255853476644
mp-13898,-3.4854615439232726,-3.4823269522774267
mp-571084,-2.6695876475917513,-2.6547513408957717
mp-722330,-4.610958017867473,-4.646706410644267
mp-22905,-2.5783972245399256,-2.5340751478064107
mp-1500,-2.069051325396556,-2.1015792737187766
mp-241,-2.8961986727557094,-2.859853065236224
mp-775393,-3.2740940824386766,-3.3325153951168303
mp-22862,-2.9100973606016476,-2.9255429584802086
mp-23289,-2.609066128799065,-2.6885027293351165
mp-27828,-2.361511441865246,-2.3307904755016926
mp-226,-3.360520483673806,-3.1634134818968453
mp-1922,-2.7304886904446755,-2.616331336213048
