Sample Name,True Value,Predicted Value
mp-865353,-1.9208190073385216,-2.111233031002041
mp-772036,-2.2189635643217107,-2.3018370237964323
mp-24121,-2.059982194031297,-2.000474390685794
mp-557142,-1.896196518374977,-1.9670273871890296
mp-17708,-2.056011470854674,-2.0430063529514406
mp-570054,-1.906578560166309,-1.8272818637173212
mp-14676,-2.2518125158684414,-2.289059939758512
mp-29218,-2.107349355252591,-2.0115597908493266
mp-29529,-1.6382722961766014,-1.7789856405333413
mp-3098,-2.077794086643858,-1.9755463832926645
mp-561189,-2.0371576501614963,-2.044462884294197
mp-29116,-2.2232993243717645,-2.3007046284139334
mp-23907,-2.2660012738972943,-1.9555667554564562
mp-18407,-1.982966953313692,-1.9751205509328698
mp-7664,-1.982966953313692,-2.0380468525401554
mp-9732,-2.0074467912637286,-1.8348049031117448
mp-601817,-2.0452755464098282,-2.0065622997778365
mp-865605,-2.067019532733094,-2.212168524739113
mp-570752,-2.15864096804941,-1.9135236132299585
mp-768419,-3.5171364163170127,-3.7252229834574457
mp-29763,-2.340084465221817,-2.403612675720649
mp-569168,-1.779892095136266,-1.9155985804472726
mp-13148,-1.9469218260320633,-1.9743803102474209
mp-643061,-1.9746944217983378,-1.9959853069314022
mp-12171,-2.053548078898482,-2.0247031417512527
mp-672673,-1.6925041117567436,-2.4421823051480103
mp-850993,-2.8696684839031548,-2.8407831640592134
mp-6169,-2.019542425998168,-2.4432685392128484
mp-672,-1.958607591369304,-1.8828286902455138
