Sample Name,True Value,Predicted Value
mp-774712,-1.896196518374977,-1.8785433318639466
mp-13954,-2.099633253397825,-2.0895667453987774
mp-3405,-1.982966953313692,-1.9971161555562063
mp-761897,-2.86328165202857,-2.7963682954622526
mp-10096,-2.010105747162995,-1.8965049502492062
mp-28911,-2.2225736855230642,-2.0813907015228414
mp-556233,-1.9665765264872554,-2.0078340742368495
mp-570594,-1.950782248434136,-1.9655987636343932
mp-864942,-1.9956789269962798,-2.014621138595758
mp-27366,-2.946924247328135,-2.9644248958682407
mp-26897,-2.1438759794070834,-2.1083618202545718
mp-18126,-1.8996296962747796,-1.9352816570466513
mp-757722,-1.9956789269962798,-2.0019657674870897
mp-556975,-2.033389341300488,-2.0326451385623217
mp-755486,-1.9914001260453345,-2.0245067808347263
mp-680226,-1.9355422730743355,-1.930726478630327
mp-769294,-1.9914001260453345,-1.9943657434619455
mp-777480,-2.2232993243717645,-2.296001407783823
mp-19138,-2.174574336418978,-2.1563049579295415
mp-570084,-1.7851563373696353,-1.8599309151204257
mp-9946,-1.9625737809048023,-1.9371417163449856
mp-559642,-2.1719853877181214,-2.1875059543071154
mp-29341,-1.958607591369304,-1.9155530592861776
mp-760418,-2.0584889148332484,-1.9961875926795278
mp-766248,-2.0034886344579084,-2.009866888578585
mp-16055,-3.329760642906217,-3.2973128035058377
mp-4202,-2.0273347317553254,-2.021655901071229
mp-680374,-1.9706165061179783,-2.0041430550544925
mp-6661,-2.4801729244485156,-2.539886192479877
mp-28553,-1.9172148812448147,-1.9649840389262176
mp-754929,-1.950782248434136,-1.985436619443405
mp-2133,-1.9665765264872554,-1.920988682694847
mp-3924,-2.2464174771663576,-2.137598433491639
mp-555074,-1.8827289360658153,-1.9301383962510925
mp-756587,-2.388277435291925,-2.355111247881792
mp-624214,-1.9665765264872554,-1.9977655891816108
mp-864666,-2.061480625237627,-2.0651884756160523
mp-865427,-2.0736579131969943,-2.060844004207824
mp-758689,-2.217527877660582,-2.369669284526901
mp-27506,-3.031520319895496,-2.9968743870667502
mp-29877,-2.3516406721603964,-2.339090172465265
mp-541221,-2.684031123631167,-2.5957009304923258
mp-20495,-2.07831388907936,-2.0907979805435595
mp-768358,-1.9871630701516896,-1.952330869938919
mp-17577,-2.415669567683372,-2.3726985296213954
mp-866696,-2.0250283280405195,-2.07882707521542
mp-9712,-2.055024437069533,-2.0379914734085327
mp-769015,-2.015473002032381,-2.003991090625838
mp-554650,-2.2773666527695804,-2.416868413768733
mp-673807,-2.4596714010992615,-2.4025433088711035
mp-567503,-1.906578560166309,-1.885124266223657
mp-559447,-4.233639211965482,-4.3016257813126275
mp-667374,-2.0052433626986286,-1.988392072539977
mp-768505,-2.0114413551214025,-2.0138946710502172
mp-24093,-1.7695512578271768,-1.7637946260969937
mp-625733,-2.085128551837307,-2.1143360210725315
mp-27573,-2.4202172030168874,-2.502960611127693
mp-567753,-1.9100951361595317,-1.9774746798295382
mp-864662,-2.0915153563163815,-2.096351462508088
mp-554463,-2.042872137547742,-2.049768487430584
mp-653973,-1.9871630701516896,-2.0267527403537615
mp-567542,-1.9281182506323962,-1.9206925844802292
mp-645291,-2.096367863533421,-2.079568361032592
mp-776911,-2.0000003040062437,-1.9626925788370868
mp-24217,-2.313364356527482,-2.409932605367372
mp-560632,-2.0163740286866543,-2.0169215083867393
mp-698206,-2.690371323228722,-2.793711745822338
mp-567680,-2.078834313515905,-2.030876713424794
mp-769079,-2.052076722735352,-2.0484450565353463
mp-6485,-2.1426679262309523,-2.12447065788044
mp-6310,-2.079877039392146,-2.102475073305012
mp-29696,-2.026872469410904,-2.0014917983538463
mp-16596,-2.0574962410391078,-2.044938008270356
mp-558713,-2.0634866098590985,-2.040248927108538
mp-23110,-1.9956789269962798,-2.0020295475223606
mp-554947,-2.0447937990357596,-2.0698890475007747
mp-735488,-2.943097815728693,-3.118511757316914
mp-549706,-1.9914001260453345,-1.9413707469458343
mp-643070,-1.9914001260453345,-2.011966209554285
mp-557225,-1.9665765264872554,-1.9904049883945816
mp-7738,-2.0510985809642936,-1.9852691329998433
mp-8355,-2.018634808334289,-2.038775129086723
mp-611426,-1.6536471629397231,-1.7115157855961387
mp-23121,-2.0287244757930027,-2.032591016810112
mp-554515,-2.5986006653752356,-2.5465476189877094
mp-540794,-2.2211260338341337,-2.094299870164755
mp-17382,-2.0457578287847284,-2.022564776338534
mp-568508,-2.4436983434623127,-2.4686885406044925
mp-864617,-2.033858595655408,-2.1063865559319357
mp-560588,-1.939302424353244,-1.9057551919612257
mp-567365,-2.055024437069533,-2.0629195630998374
mp-672233,-2.2027329438585435,-2.1906628183935726
mp-7938,-1.8416377191154243,-1.8786469977794156
mp-558349,-2.072116948921208,-2.046275364759979
mp-755128,-1.7851563373696353,-1.9536679826943215
mp-14536,-1.9788109905297508,-1.9995573454943938
mp-504891,-2.3151552661123076,-2.4213913568922893
mp-540707,-2.0159232813591776,-1.981434792851452
mp-6566,-2.0118874724421856,-2.0073528148050395
mp-559355,-1.86966645718979,-1.9545313654121008
mp-28548,-2.0915153563163815,-2.0611513408952353
mp-850779,-2.229885221139759,-2.3227738834749765
mp-1572,-1.9172148812448147,-1.8860814721290253
mp-7991,-1.7746908989560712,-1.9109879001233685
mp-582767,-2.01502318870626,-2.0765671882499244
mp-554758,-2.066007189907172,-2.047784295837818
mp-29575,-3.3196708337298326,-3.261112191290848
mp-864657,-1.9430954156721327,-2.093882724363235
mp-23759,-1.7878125825068727,-1.8792666741468804
mp-560501,-2.0404819567060963,-2.015735061388929
mp-2507,-1.9100951361595317,-1.8997677930381227
mp-672346,-2.563838466577023,-2.4830287096529395
mp-768889,-2.0181817100033874,-2.0377251389715134
mp-3632,-1.896196518374977,-1.9573834283247586
mp-9063,-1.86966645718979,-1.9492057089856591
mp-540861,-2.585027821255948,-2.4644318568327344
mp-23354,-1.9706165061179783,-1.926903074148397
mp-570311,-1.9546772948794895,-1.9910091906300256
mp-28955,-1.9665765264872554,-1.9827346153634642
mp-754154,-1.8041005416345262,-1.9153696539549947
mp-558118,-2.084073156939644,-2.0671281230439376
mp-580941,-1.9469218260320633,-1.8910339833041974
mp-24074,-2.0594838636310313,-1.9999837354250176
mp-23326,-1.982966953313692,-2.039279630264215
mp-12103,-2.4436983434623127,-2.2958981491011508
mp-545643,-2.053057072509895,-2.098474568939973
mp-540635,-2.0181817100033874,-1.9873837246501829
mp-557723,-2.0574962410391078,-2.0775231971899384
mp-380,-1.9625737809048023,-1.930707260182699
mp-570045,-2.019542425998168,-2.016598107323386
mp-37267,-2.0680342405628793,-2.0889380121885455
mp-17243,-1.9956789269962798,-1.9736856200875632
mp-18244,-2.140261853898183,-2.1770014723898825
mp-556372,-2.0867164691920235,-2.065764670003528
mp-24097,-2.015473002032381,-2.007292029749973
mp-629015,-1.9914001260453345,-1.9295299655191374
mp-754165,-2.020907417999212,-1.9898899518863875
mp-555509,-1.9746944217983378,-2.001415850991997
mp-560151,-2.065501902495653,-2.0708259930917716
mp-19216,-2.684031123631167,-2.579246270404311
mp-409,-1.7695512578271768,-2.0433295795707216
mp-569170,-1.779892095136266,-1.841574641909419
mp-556100,-1.821023254328615,-1.9032366118723523
mp-12485,-2.0675265901475015,-2.0424147224213223
