Sample Name,True Value,Predicted Value
mp-865353,-2.4962102699983415,-2.273398389284716
mp-772036,-2.9244555936809395,-2.8101248572965902
mp-24121,-2.4122898205462846,-2.491539419105548
mp-557142,-2.3798646740321168,-2.3849173658475418
mp-17708,-2.4329744578656523,-2.4876575324053176
mp-570054,-2.2660012738972943,-2.407668193595747
mp-14676,-2.8696684839031548,-2.763249299102194
mp-29218,-2.492145072119464,-2.3952447885455665
mp-29529,-1.8356473522234318,-2.491660021569224
mp-3098,-2.779893743366135,-2.5906020558422154
mp-561189,-3.188429685478075,-4.024870067414927
mp-29116,-3.294142272414017,-2.8323538353285738
mp-23907,-3.260433193487719,-2.842257405182831
mp-18407,-2.779893743366135,-2.732094623928994
mp-7664,-3.1505848859666505,-3.2850538739848645
mp-9732,-2.0443125866625196,-2.0872985135339346
mp-601817,-2.167491534068079,-2.1472515758519397
mp-865605,-2.653648395399175,-2.2527912719428507
mp-570752,-2.7189682246580866,-2.6064072772924525
mp-768419,-2.7931760122409828,-3.0571012386964083
mp-29763,-2.4559328245898326,-2.3158519815543332
mp-569168,-2.3269797384487547,-2.4913334471878645
mp-13148,-2.7695528672750798,-2.744241526340891
mp-643061,-2.462181786178104,-2.3748088499740465
mp-12171,-3.01954528799216,-3.07906627429225
mp-672673,-3.0352723762591256,-2.4855137960856264
mp-850993,-3.0783171658073294,-3.0762388298713184
mp-6169,-2.795881917042513,-2.6746715148927813
mp-672,-2.939304803539677,-2.825667490945528
