Sample Name,True Value,Predicted Value
mp-774712,-2.3306837699772265,-2.3859911990330067
mp-13954,-3.844685222690812,-3.682141335465843
mp-3405,-3.7351986993869684,-3.7183029844498474
mp-761897,-2.946924247328135,-3.0825839573839326
mp-10096,-2.3767514338247397,-2.3349839153674203
mp-28911,-2.1438759794070834,-2.0251652453902027
mp-556233,-2.5816998693303197,-2.6317594523561922
mp-570594,-2.1313559733752125,-2.20455934984983
mp-864942,-2.5575213284964673,-2.503700424486317
mp-27366,-2.3936193874910914,-2.405890390708168
mp-26897,-2.406714708526553,-2.52511247127666
mp-18126,-2.1662160707570286,-2.265566221020629
mp-757722,-3.6073153551151975,-3.4155699804060657
mp-556975,-2.404504549589866,-2.400861096209521
mp-755486,-3.015026021072868,-3.214710688849557
mp-680226,-4.618109118948487,-4.444454766641001
mp-769294,-3.946948461031343,-4.055025306293592
mp-777480,-2.6003274901815203,-2.5444037594101427
mp-19138,-2.5331334175648483,-2.4167336202741114
mp-570084,-2.5228797583549727,-2.463072301432476
mp-9946,-2.8538741354778363,-2.7946509624271854
mp-559642,-3.154906302966534,-2.971362332122339
mp-29341,-3.0352723762591256,-2.794758223258015
mp-760418,-2.653648395399175,-2.4884594604765664
mp-766248,-2.9172171424546853,-3.0152894247990565
mp-16055,-2.3316147353741745,-2.344768648886243
mp-4202,-3.3071592474968723,-3.5163454321993375
mp-680374,-3.8894338570066718,-4.128899674041038
mp-6661,-2.1791424702240154,-2.3319734830314873
mp-28553,-2.450997596775248,-2.4564307984144444
mp-754929,-3.294998037217678,-3.5540295140037315
mp-2133,-3.0958294226167618,-3.016913955437124
mp-3924,-1.6675616813982268,-1.825414512791908
mp-555074,-2.64781883314049,-2.737845752465336
mp-756587,-2.3675434166395934,-2.4532748798717354
mp-624214,-2.7619556542644648,-2.643694525639571
mp-864666,-2.2076088013327575,-2.2212002822991828
mp-865427,-2.6003274901815203,-2.544448243506831
mp-758689,-3.10846644453534,-3.056200234768536
mp-27506,-2.492145072119464,-2.563377975517378
mp-29877,-2.856987387100021,-3.031352966522636
mp-541221,-3.3205784630075956,-3.28268314442134
mp-20495,-2.663541666952201,-2.9220091349313293
mp-768358,-2.7851580056999157,-2.899002134138658
mp-17577,-3.334425575056922,-3.1255980203569385
mp-866696,-2.0594838636310313,-1.8890511532082215
mp-9712,-1.9469218260320633,-2.2603242988252483
mp-769015,-3.027800403015692,-3.0109264680131544
mp-554650,-2.9706190631881455,-2.7773393356940024
mp-673807,-3.0705846505575165,-2.8050916601860134
mp-567503,-2.698971524033346,-2.6241615245884637
mp-559447,-2.1979112215052132,-2.203979675210376
mp-667374,-4.292489437137741,-4.189710043640696
mp-768505,-2.987165726525924,-2.935456898235596
mp-24093,-1.8326828718069454,-1.683692202697739
mp-625733,-2.489455928291561,-2.464288834548977
mp-27573,-2.5543968866290996,-2.6261536245975106
mp-567753,-2.3205727389965682,-2.238516293147662
mp-864662,-2.698971524033346,-2.496449514900451
mp-554463,-3.638285381859288,-3.533437439690497
mp-653973,-3.917239755200947,-3.967463912230645
mp-567542,-2.8297403391003826,-2.7324680537307944
mp-645291,-2.3736603516912274,-2.404837016521929
mp-776911,-2.9665790598807673,-2.9700344301312436
mp-24217,-3.2881986740719116,-2.90109693608263
mp-560632,-3.640177793580089,-3.7203785527153386
mp-698206,-3.723554281278695,-3.509540836782997
mp-567680,-2.7746925275641097,-2.721192265309807
mp-769079,-2.856987387100021,-2.83881717298985
mp-6485,-2.3089191271575435,-2.2185203831644715
mp-6310,-2.5100425048397472,-2.879803817802939
mp-29696,-3.1135132231496017,-3.085156429569317
mp-16596,-2.6675629539843357,-2.8304227380500326
mp-558713,-2.9625762910560867,-2.9213995949517604
mp-23110,-2.518558374321743,-2.736848432175532
mp-554947,-2.7772853493998477,-2.9929460647720356
mp-735488,-3.052079807365691,-3.1123126078382986
mp-549706,-2.612611419928581,-2.805706902582053
mp-643070,-2.069051325396556,-2.098058749592787
mp-557225,-2.742323104595166,-2.59403128878115
mp-7738,-2.404504549589866,-2.241476753918079
mp-8355,-2.7644733204811387,-2.9420159464423117
mp-611426,-1.7077440841052003,-1.752395388275671
mp-23121,-3.304524453199252,-3.2353397301502813
mp-554515,-3.123209061284867,-2.9465504120734165
mp-540794,-2.3516406721603964,-2.7599261154836423
mp-17382,-2.889412646643119,-2.821933838659884
mp-568508,-2.928120569330841,-2.7469557753800804
mp-864617,-2.3410358236806372,-2.1960024620197363
mp-560588,-2.7594524991652247,-2.743688506804526
mp-567365,-3.3106973579389236,-3.301997020719151
mp-672233,-2.3788244452880183,-2.5223365684262693
mp-7938,-1.6635404060950167,-1.7136860648252916
mp-558349,-3.478871072907893,-3.4828634611886375
mp-755128,-1.8124794764066272,-1.7435390924411605
mp-14536,-3.5528528264977757,-3.9087660191766735
mp-504891,-2.826815772314441,-2.4947037565355443
mp-540707,-3.0589892383293926,-3.0491598973746497
mp-6566,-3.4271365265824194,-3.596740826298923
mp-559355,-2.6575787008482763,-2.763927707378434
