Sample Name,True Value,Predicted Value
mp-561083,-2.5391032089256242,-2.4521937715661344
mp-11709,-2.2189635643217107,-2.3648327174674337
mp-775265,-2.1817745680156513,-2.2319368007138127
mp-557531,-1.9746944217983378,-2.033729655846835
mp-504902,-2.44249364012308,-2.318491499654906
mp-542785,-2.6020612070262508,-2.695924334168909
mp-775466,-2.0496354868141893,-2.063836907223988
mp-707900,-2.059982194031297,-2.091570766164278
mp-505700,-1.939302424353244,-1.9979878300925245
mp-14243,-1.9469218260320633,-2.026548745187507
mp-758504,-2.0114413551214025,-2.049127692052214
mp-6499,-2.0594838636310313,-2.0732674142927765
mp-11009,-2.148742079177869,-2.308933016919546
mp-10935,-2.0347986283675543,-2.004513786802713
mp-698518,-1.7851563373696353,-2.5148077581225876
mp-573281,-2.1662160707570286,-2.1922034389372085
mp-572598,-2.0639895562668142,-1.9762105732990658
mp-18578,-2.0920518537803074,-2.1588034849322346
mp-765358,-3.220408558965199,-3.2072996931500573
mp-561133,-2.1360830388772682,-2.17081925848802
mp-556942,-2.0491488814325383,-2.02705860417149
mp-568819,-2.1524277728271146,-2.3303930315089447
mp-553970,-2.11182089928108,-2.092201811611751
mp-707219,-4.301960381347122,-4.13683537446773
mp-558982,-2.1797990009187576,-2.353878882797614
mp-10390,-2.0347986283675543,-2.125574029625719
mp-569132,-2.136677556446963,-2.13082623433419
mp-555966,-2.200659933549693,-2.06419260046516
mp-558295,-3.5044653747647443,-2.879615420822514
mp-561179,-2.072116948921208,-2.072617209410117
mp-556859,-2.0958260110601876,-2.088765016988367
mp-19367,-2.366532250991592,-2.4966366371648276
mp-756443,-2.5376030502982903,-2.4776191741317097
mp-773040,-2.605549544832929,-2.245868911313115
mp-571162,-1.9706165061179783,-1.9856460733044747
mp-540629,-4.023223732341981,-3.774494255184399
mp-556225,-1.8386322076594561,-1.910753606316885
mp-557914,-2.1573911967906465,-2.1842303373044
mp-684082,-2.2365725301488286,-2.247691629584898
mp-773126,-2.370591114630017,-2.31086677527015
mp-768798,-2.0705814316544258,-2.1517350300126226
mp-774255,-2.253366345814208,-3.018264430846916
mp-4718,-2.0904443453919566,-2.174207903311435
mp-6560,-2.12262905719135,-2.6383664613419535
mp-557917,-2.3535969602446447,-2.3024520544428135
mp-27194,-1.9281182506323962,-1.8715333415819138
mp-559020,-2.344862237580471,-2.3109074305604884
mp-555349,-2.2284130333930916,-2.423751941106844
mp-5737,-1.982966953313692,-1.9246840466000608
mp-540668,-3.1567715836594545,-2.7205830464552294
mp-542445,-3.520003123545053,-4.013151120590741
mp-557935,-4.051621270274778,-3.1775167016744774
mp-652663,-2.7619556542644648,-2.5321717336648004
mp-680679,-2.0109956958012782,-2.1534139901805305
mp-684477,-2.3269797384487547,-2.9818546130924988
mp-556527,-2.0486628210517406,-2.0733234676481898
mp-780425,-2.0710926680756927,-2.057139393203705
mp-757053,-2.9100973606016476,-2.5032692159934555
mp-759312,-2.050610334580064,-2.040272984698239
mp-628583,-2.0947443291172507,-2.187810107521443
mp-685352,-2.3819526355455265,-3.029427421811498
mp-31069,-2.0000003040062437,-1.977532946496985
mp-572741,-3.372641313015249,-3.8334926005790986
mp-753661,-2.161151349588828,-1.99805126562227
mp-29603,-1.950782248434136,-2.0554281517729125
mp-770454,-2.486783332535165,-2.2703337637156062
mp-16684,-2.0000003040062437,-1.9361516530911826
mp-28990,-2.2572754187401984,-2.206021098821194
mp-767076,-2.3297547965862497,-2.4660279533124325
mp-571181,-2.59006805990487,-2.583934691857331
mp-4734,-2.0545317596782966,-2.0470637022415845
mp-23099,-1.6439742769234296,-2.0143379998857767
mp-22342,-1.9788109905297508,-2.024759691468301
mp-560538,-2.0000003040062437,-2.025125849824189
mp-756868,-2.0315173778884423,-2.031339284225373
mp-768061,-1.9625737809048023,-2.1623482706015524
mp-772644,-3.0447968323693644,-3.146052329492951
mp-650960,-2.6716218242612073,-2.5682810969740903
mp-646122,-2.586701409770457,-2.678890762121658
mp-28536,-2.247952090064293,-2.468621127973384
mp-17187,-2.1106986892661603,-2.0776443495816173
mp-29990,-2.154902394294699,-2.066765660234531
