Sample Name,True Value,Predicted Value
mp-740714,-2.074172785624275,-2.110848634461966
mp-695843,-2.2365725301488286,-2.151893511841295
mp-680198,-2.2716467862361425,-2.30920325817579
mp-570053,-2.640165845539747,-2.5371973525466918
mp-571425,-1.950782248434136,-1.9994223715820998
mp-684704,-2.0824948576012887,-2.059693970085635
mp-16861,-1.9706165061179783,-1.988032792476875
mp-13602,-1.9788109905297508,-1.9841329566179993
mp-6019,-2.1112594317729645,-2.0713092823238877
mp-29598,-2.0736579131969943,-2.117321932758153
mp-19144,-2.2013498383168626,-2.2081510654549454
mp-674537,-2.2343319664516628,-2.1748093891541584
mp-622196,-2.16367632715786,-2.2112674721498147
mp-616196,-2.454693750115216,-2.4099775780951687
mp-772779,-2.168130673726501,-2.3721685110751247
mp-571490,-2.5883814723199605,-2.5318017336143646
mp-752515,-2.0958260110601876,-2.0119897031684624
mp-36641,-1.8794262993077409,-1.8594269666214711
mp-554645,-2.3936193874910914,-2.4302546197741486
mp-11684,-2.0347986283675543,-2.041500742847688
mp-29437,-1.9625737809048023,-1.971146486085521
mp-754161,-2.027797486100481,-2.0268191166752345
mp-27556,-2.8068773507616647,-2.6521651228541754
mp-32465,-2.756963688181401,-2.7789317972994594
mp-31049,-2.1152050323575953,-2.1926295043499984
mp-709350,-2.0629842444523248,-2.0625785762662336
mp-573727,-2.5606684114782694,-2.4845377090335963
mp-770400,-2.4975738359951944,-2.389921056688077
mp-30983,-2.075204365481883,-2.050134756791213
mp-556869,-2.216096921010382,-2.227948991629819
mp-570186,-4.2358761957887605,-4.149300207121013
mp-778840,-2.0525666211221862,-2.0939291221903904
mp-767414,-2.0705814316544258,-2.044370766242374
mp-556303,-2.8728974707084447,-2.884618028615496
mp-757624,-2.4236594563830764,-2.3459952641761554
mp-28278,-1.9914001260453345,-1.9482035910767612
mp-15254,-2.093665335178994,-2.1380418799129144
mp-645555,-2.5086392866660656,-2.584524441934085
mp-696853,-2.041436451440324,-2.022033146683565
mp-675395,-2.2856708268848314,-2.2969999860659094
mp-772080,-4.829943743144344,-4.793499070368329
mp-17722,-2.057000753643397,-2.176085340903868
mp-6708,-2.779893743366135,-2.7073998135325428
mp-27200,-2.903092419055909,-2.8824464272843593
mp-760483,-2.159267203681516,-2.1032787771692787
mp-29297,-1.950782248434136,-1.9935748102897781
mp-762351,-2.2967092239927682,-2.496347194107042
mp-30982,-2.1313559733752125,-2.172229753328424
mp-607806,-2.0472078959144437,-1.9892855090089105
mp-778554,-2.575119505881718,-2.808692458876184
mp-23090,-2.739930282366604,-2.5987305343499982
mp-555313,-2.0472078959144437,-1.978319746896747
mp-553281,-1.9665765264872554,-2.0020611062881537
mp-760244,-2.20690888954317,-2.340261334876426
mp-771185,-2.048177304671795,-2.034086412829336
mp-777883,-3.643987535547352,-3.5889558472213507
mp-753515,-2.060980573834591,-2.077106552407849
mp-557756,-2.0893759684720736,-2.083319200246545
mp-778250,-3.742338221243976,-3.8919088256373664
mp-541291,-2.0501226371966963,-2.1497585933942
mp-561551,-2.041436451440324,-2.0607493796834015
mp-675223,-2.07623840134358,-2.0994038153450254
mp-5248,-1.9871630701516896,-1.949970358734808
mp-5470,-2.220404013993877,-2.0425633652198893
mp-625475,-2.072116948921208,-2.065525449574036
mp-771122,-3.1408659078078727,-2.8782711987961602
mp-625474,-2.0716045064979514,-2.0577395325877386
mp-559748,-2.0123340477636287,-2.024124756316577
mp-31039,-2.1662160707570286,-2.1273219476684333
mp-12181,-1.866461315533982,-1.8776550659986684
mp-28075,-2.3861589176749294,-2.2622110859740263
mp-758944,-2.3767514338247397,-2.2618325449840553
mp-16605,-2.1001798808794354,-2.0960795404276347
mp-566334,-2.2628079137881536,-2.319764010696749
mp-758379,-2.754489059311033,-2.5643996319279685
mp-760697,-2.0565058302485855,-2.1055135055602157
mp-555231,-2.882731024663735,-2.6658834212088607
mp-738714,-2.772115093856607,-2.6772276039078466
mp-650140,-3.723554281278695,-3.717530640959954
mp-767636,-1.821023254328615,-1.9185947017217972
mp-562065,-2.3124716632430307,-2.42163478117646
mp-560453,-2.8068773507616647,-2.6916850750746044
mp-680722,-2.0457578287847284,-2.0016088238861562
mp-556726,-2.69680545547098,-2.713772197914773
mp-698494,-2.6497533391723773,-2.691422416333558
mp-9843,-2.0883102135567007,-1.9570340745245496
mp-6290,-2.0376309955226315,-2.0698218540599753
mp-570803,-1.9546772948794895,-1.913278729638838
mp-697960,-2.09312684171161,-2.094488350208313
mp-12878,-2.018634808334289,-2.05826996763119
mp-568611,-2.184422716841438,-2.202608160414198
mp-554034,-2.665547656438102,-2.497021708246863
mp-761759,-2.156145012539097,-2.112833302546709
mp-752730,-2.013228579408502,-2.0447950279184877
mp-758814,-2.2403326837066473,-2.2508653290797302
mp-553890,-4.8155073112890925,-4.629208245020436
mp-669348,-3.066516255209526,-3.12673226096629
mp-770808,-2.4436983434623127,-2.315268171607982
mp-754730,-2.105684324763103,-2.070129969323966
mp-510240,-2.0390541366107806,-1.9450175727596957
mp-6397,-2.055024437069533,-2.0688815585845224
mp-722348,-2.0644930866754763,-2.047401912170381
mp-754162,-2.489455928291561,-2.544587192167179
mp-766885,-2.1958610452469456,-2.160511677918927
mp-626024,-2.114074055326756,-2.085876950066101
mp-27747,-2.0087742342104544,-2.0326092871166597
mp-733610,-2.5257847561560216,-2.690428267008511
mp-704299,-4.0168565306193775,-3.848509624401361
mp-758031,-2.2541453507923315,-2.3174733950342503
mp-3520,-2.0710926680756927,-2.0622696669110563
mp-559520,-2.0039266527671495,-2.014429982027458
mp-753769,-2.1630437055127976,-2.399282680069659
mp-772748,-2.0680342405628793,-2.03841194520339
mp-28256,-2.187755771422652,-2.1495874826031893
mp-582723,-1.9430954156721327,-1.9726128841064086
mp-781622,-2.0736579131969943,-2.0761259498548528
mp-772296,-2.4259695426837893,-2.418736737103626
mp-772158,-4.638404360699364,-4.719714833723445
mp-759485,-2.6695876475917513,-2.653805519558718
mp-200,-2.0114413551214025,-2.0448787554990075
mp-36053,-1.9136404181854296,-2.050996881338081
mp-707081,-2.060980573834591,-2.0324088761435983
mp-29596,-1.9914001260453345,-1.994311021683412
mp-31012,-3.4156766928986597,-3.2431442856568915
mp-27197,-2.050610334580064,-2.0546344366691565
mp-756136,-2.286510045020006,-2.1916892900510403
mp-27202,-3.0481803617299037,-2.9259067152762293
mp-555786,-2.0491488814325383,-2.0131000889290496
mp-675778,-2.078834313515905,-2.0893471064416236
mp-559476,-2.3269797384487547,-2.3222385168607484
mp-22804,-1.9914001260453345,-2.013072551460528
mp-27213,-2.146302213779112,-2.2390375611937716
mp-768756,-2.7281600187043105,-2.5489460891005673
mp-655613,-1.8860568818509382,-1.9645712306211036
mp-627291,-2.694650135983487,-2.7887011998826297
mp-759680,-2.1354893343091295,-2.1089034616285214
mp-772886,-4.088347098252131,-4.066831580987715
mp-720842,-1.7904851726581497,-1.9782105083632922
mp-754610,-1.982966953313692,-1.998986097044756
mp-28583,-2.110138670760663,-2.0838838065619454
mp-557863,-2.7695528672750798,-2.798808088223845
mp-768958,-2.366532250991592,-2.4303471838159547
mp-17288,-2.0390541366107806,-2.0499717954938363
mp-641365,-2.0390541366107806,-2.064208987816183
mp-559118,-2.1655797411043816,-2.300474328491266
mp-759183,-2.040005495340191,-2.044139555967692
mp-542846,-2.151811314214593,-2.091814693920643
mp-690508,-2.59006805990487,-2.549997224343725
mp-19447,-2.4801729244485156,-2.5021816012286
mp-773176,-2.1301822022648866,-2.328473816601402
mp-866339,-2.052076722735352,-2.0540070889224804
mp-738615,-2.0909795208535984,-2.0630548653657015
mp-757964,-2.2118321241242844,-2.3512094357948548
mp-24124,-2.177178812152327,-2.090897535197473
mp-706655,-2.033389341300488,-2.067644185421405
mp-31362,-2.7328299152795283,-2.7397581105934563
mp-554842,-2.1999711227849543,-2.1449530173932234
mp-530245,-2.5986006653752356,-2.6512440709838367
mp-560950,-2.0324523515929442,-2.0418323587958356
mp-625109,-2.694650135983487,-2.6807946804705804
mp-555366,-2.053548078898482,-2.064645678391852
mp-778492,-2.0904443453919566,-2.0708287430229304
mp-625815,-2.402305581692944,-2.358685496565405
mp-754876,-2.0419144858086504,-2.0456795569446404
mp-6537,-2.9244555936809395,-2.8461571393483953
mp-674972,-2.127261580515121,-2.179923737024712
mp-3735,-4.100765150901137,-4.056276104464015
mp-886,-1.950782248434136,-1.9368225053980976
mp-770380,-2.0893759684720736,-2.041945896057688
mp-849433,-4.035773379521276,-3.9336633363822107
mp-697652,-2.3151552661123076,-2.3941131279626164
mp-774742,-2.9244555936809395,-2.912659100630478
mp-696056,-3.3071592474968723,-3.2155890015999082
mp-28647,-2.84466608892225,-2.767183187392585
mp-530722,-2.046724001537033,-1.98158020881194
mp-735603,-4.057035072709322,-3.9258022434130404
mp-7827,-2.3968563851207043,-2.556338710124301
mp-643066,-2.0501226371966963,-2.0440114943676364
mp-5274,-2.2518125158684414,-2.248820592532714
mp-765761,-3.9706446347179134,-3.8169152982165486
mp-11189,-2.0501226371966963,-2.039799580101908
mp-18988,-2.617984218438085,-2.6034581653819107
mp-772063,-4.7078990618761845,-4.593314925134473
mp-504662,-2.0525666211221862,-2.1051015510956788
mp-27093,-2.57186634035274,-2.458785845699598
mp-29825,-2.0433517569185136,-2.0737535477988427
mp-603414,-2.134304354177496,-2.08143646077221
mp-863377,-2.397940769016009,-2.4831609900377956
mp-17586,-2.102373293818066,-2.116090048242508
mp-8989,-2.585027821255948,-2.6294566447943595
mp-759381,-2.2218492566771917,-2.321222040438301
mp-770735,-2.403403673636472,-2.4032969673084272
mp-770773,-2.065501902495653,-2.092864139396864
mp-625409,-2.0579922944357243,-2.019860959704087
mp-542129,-2.0757210759122193,-2.0419835402697055
mp-757176,-2.0757210759122193,-2.098128801141787
mp-721017,-2.7746925275641097,-2.580919314180626
mp-12016,-2.1420651566453324,-2.094113295403868
mp-720658,-2.249492144975713,-2.197140035643733
mp-27480,-2.070070797234151,-2.0139935742514985
mp-560097,-2.408936172503616,-2.562006901815521
mp-30977,-2.8210250662903458,-2.852053648474837
mp-1340,-1.9665765264872554,-1.9097615818791391
mp-554353,-2.982969584145775,-2.973841019226887
mp-28967,-2.1079057867516324,-2.0591919184408773
mp-706284,-2.053057072509895,-2.064459761307608
mp-555016,-3.437715465015146,-3.35957949136495
mp-767192,-2.3160534984127485,-2.3712446141180155
mp-768794,-2.3288278052012026,-2.321545839260024
mp-6585,-2.0496354868141893,-2.0566055246881296
mp-557758,-3.5072493862269676,-3.7791998313884627
mp-560119,-2.1958610452469456,-2.1825043666866906
mp-542451,-2.055517673461657,-2.06010942216395
mp-4709,-2.2240261782233097,-2.2108810146632636
mp-6219,-3.2471889401663847,-3.105446751390967
mp-557881,-2.083020321046327,-2.1029161276627137
mp-559154,-2.2189635643217107,-2.2613643786688216
mp-28670,-2.0920518537803074,-1.9702508205619655
mp-763344,-2.2924304200908745,-2.418540082314143
mp-18483,-2.0231919836816985,-2.0216149393879945
mp-696940,-4.24647056091263,-4.064881908332267
mp-12263,-2.3936193874910914,-2.412154172627345
mp-31979,-3.2798464876317017,-3.267358569431851
mp-27397,-2.2365725301488286,-2.220579247078844
mp-14600,-2.012781083085733,-2.021078401806508
mp-558863,-3.164948342556911,-2.988227654744967
mp-626225,-2.310691762689888,-2.2806170618330146
mp-677193,-2.095284833588132,-2.0822292698757265
mp-706514,-2.124939142341706,-2.1726113976762114
mp-555790,-2.2907306327623926,-2.2490987720055937
mp-554711,-2.9065807666693186,-2.747514379775873
mp-542570,-2.1079057867516324,-2.0718561504273327
mp-4871,-2.0644930866754763,-2.057931776493885
mp-541989,-2.0904443453919566,-2.0158208873686285
mp-738670,-2.8153105559727623,-2.8929457937156973
mp-561270,-2.6270892851635095,-2.631480541377489
mp-23750,-2.15989434531545,-2.127924592451003
mp-625789,-2.318759396346582,-2.2776027029586237
mp-766204,-2.8696684839031548,-2.921840187118953
mp-557997,-2.1444812679976093,-2.1872223483870723
mp-730691,-2.935544631750472,-3.0041750099018087
mp-667343,-1.9914001260453345,-2.0872754369020288
mp-756273,-2.0574962410391078,-2.0088069654477874
mp-676473,-2.2839972406275804,-2.3463623494217334
mp-555067,-4.518657714649708,-4.377660178567928
mp-18807,-2.2196831921564075,-2.289288944377544
mp-29416,-2.6161858902255246,-2.54502426976646
mp-557691,-2.256490783747887,-2.2336324105380996
mp-612,-2.4078240205099997,-2.3144005760972837
mp-29245,-1.856985418709506,-1.8598964010472014
mp-675541,-2.3914747147842346,-2.277471090897525
mp-11793,-1.924453294467418,-1.9104733777366487
mp-30975,-2.0291887141403753,-2.0117213150251163
mp-778019,-2.0565058302485855,-2.0363922100587692
mp-541067,-2.3205727389965682,-2.255702881245867
mp-758151,-2.401210258759207,-2.384418559522703
mp-8810,-2.050610334580064,-2.03818362009838
mp-561470,-2.3506658226286454,-2.4913622805888154
mp-771955,-4.9395665936510875,-4.964176326609435
mp-29193,-2.2898832276049603,-2.3154969217349213
mp-768423,-2.2724593123002554,-2.222339563508311
mp-558847,-3.0783171658073294,-3.0371736430706147
mp-757669,-2.114074055326756,-2.1914037748310116
mp-764248,-3.95863495280098,-3.536027766099515
mp-733489,-2.321482258329896,-2.3319315521617354
mp-12803,-2.0958260110601876,-2.070444231728964
mp-561547,-2.008331302894237,-2.0230768206264425
mp-752575,-2.2328446536689213,-2.3139074456726747
mp-569561,-2.7167003543681836,-2.644038144709323
mp-649676,-2.0675265901475015,-2.062766714465783
mp-510661,-4.227729648424306,-4.198729841414588
mp-698454,-2.84466608892225,-2.8201539604618975
mp-560176,-2.0649972020850886,-2.060039652677925
mp-756597,-2.1029233823057956,-2.048542319569177
mp-768665,-2.8477137968935704,-2.674429538646171
mp-546810,-2.6420664863622982,-2.5783700675926826
mp-5282,-2.4388994511824986,-2.412400363335275
mp-697144,-2.020907417999212,-2.016720659671089
mp-559393,-2.1438759794070834,-2.1415787955341306
mp-18168,-1.9871630701516896,-2.066134348305699
mp-29027,-1.939302424353244,-2.0413376348701537
mp-697253,-2.1830966244242376,-2.152729270497671
mp-555259,-3.318765096507382,-3.5571297677001006
mp-758533,-2.0958260110601876,-2.236795578011272
mp-4691,-2.0409589420728076,-2.0620439817697838
mp-557752,-2.042872137547742,-2.0623948093935613
mp-866688,-2.4962102699983415,-2.4104441027130785
mp-13772,-2.4329744578656523,-2.3922533509013437
mp-683955,-2.974697002991899,-2.9063602230879613
mp-554988,-2.0163740286866543,-2.043337313553787
mp-570553,-2.0145738403808147,-2.0601219544293548
mp-706664,-2.8124812530703123,-2.9404228261500545
mp-10408,-2.095284833588132,-2.066350021677384
mp-556112,-2.8794283720829057,-2.7725810916984743
