Sample Name,True Value,Predicted Value
mp-561083,-2.958610078700952,-2.9173014239126918
mp-11709,-2.1687707543868644,-2.271433806795704
mp-775265,-3.3178612443399107,-3.604463181176915
mp-557531,-2.120904521593497,-2.9657564530411276
mp-504902,-3.11238663792119,-2.8842858139567142
mp-542785,-2.7746925275641097,-3.0001167032125404
mp-775466,-3.6345251189105023,-3.7679562309824113
mp-707900,-3.454701545229889,-3.651986592648086
mp-505700,-3.0555207826289377,-3.188437983774381
mp-14243,-3.361517731703066,-3.121214215576736
mp-758504,-3.7281746503169577,-3.8697958301356743
mp-6499,-2.630785442173471,-2.795602129936072
mp-11009,-2.0491488814325383,-2.411788924205177
mp-10935,-3.214675148735765,-3.188169059335151
mp-698518,-3.454701545229889,-3.138417167936395
mp-573281,-3.954704409803907,-4.198207818691541
mp-572598,-3.5702590214904415,-3.2261311548766085
mp-18578,-2.882731024663735,-2.6629780268300203
mp-765358,-3.754504605419485,-3.2745518279523864
mp-561133,-2.7099669480086317,-2.608437125263307
mp-556942,-3.752043909827637,-3.419587110373309
mp-568819,-2.8068773507616647,-2.9230294582420626
mp-553970,-2.62342432033859,-2.385050431306515
mp-707219,-3.181778726178634,-3.1995167671929483
mp-558982,-2.8728974707084447,-2.5737146373614386
mp-10390,-2.543635029959823,-2.30217700590167
mp-569132,-2.995681635972185,-3.076107442666424
mp-555966,-2.6861342557604573,-2.9515689889080097
mp-558295,-2.809670263334348,-2.7602585550986416
mp-561179,-3.4801811905725617,-3.289008129510252
mp-556859,-2.2335876735587665,-2.320138894944672
mp-19367,-2.8794283720829057,-2.7754655611536077
mp-756443,-2.3124716632430307,-2.2663291676790918
mp-773040,-2.974697002991899,-2.794124627166007
mp-571162,-2.44129226879677,-2.554740778269049
mp-540629,-2.74714866736163,-3.1095846901656437
mp-556225,-2.1106986892661603,-2.3449448662635524
mp-557914,-2.311580800963843,-2.414058083816259
mp-684082,-2.84466608892225,-3.001183782863997
mp-773126,-2.779893743366135,-2.6527080395990277
mp-768798,-2.6216033709940696,-2.572271633303196
mp-774255,-3.0074495746471985,-2.9956029810593217
mp-4718,-2.36552343535124,-2.4020072122589293
mp-6560,-2.551294761873722,-2.6247627934307993
mp-557917,-4.899870796757821,-4.316973741934186
mp-27194,-2.2020408400864757,-2.365193915439235
mp-559020,-2.7619556542644648,-3.0036779360045314
mp-555349,-2.3316147353741745,-2.5679398887497933
mp-5737,-2.2139592875553387,-2.2469449312933873
mp-540668,-3.052569709234065,-3.2366295583749727
mp-542445,-2.8068773507616647,-2.779276788021494
mp-557935,-3.434160442114905,-3.270821579118993
mp-652663,-2.7851580056999157,-2.865442248442601
mp-680679,-2.1438759794070834,-1.9976243066871415
mp-684477,-2.801344837093739,-2.580540054714326
mp-556527,-3.083023633477309,-3.5549860147891326
mp-780425,-3.3625172748061902,-3.3937544840803207
mp-757053,-3.013679360329571,-2.5915431957808153
mp-759312,-3.555966139610243,-3.7652905847541747
mp-628583,-2.653648395399175,-3.0386837470594683
mp-685352,-3.305400942581553,-3.251605583846532
mp-31069,-3.0619844094286615,-3.2096383586010613
mp-572741,-3.0264136076829797,-2.8193959750515476
mp-753661,-2.267606802974693,-2.3298036711720895
mp-29603,-2.007005210949437,-2.276694146042364
mp-770454,-2.3516406721603964,-2.7991302089077217
mp-16684,-2.146910896376278,-2.2086375712109754
mp-28990,-2.920821287391867,-2.6765638093485142
mp-767076,-2.6819381265704276,-2.7949277016489735
mp-571181,-2.8996318677538246,-2.6052807704164045
mp-4734,-3.364523290236116,-3.5907522307328894
mp-23099,-2.4317990976389865,-2.201530688036634
mp-22342,-2.5482146382279613,-2.746523778148994
mp-560538,-3.265205768675812,-3.183265647851885
mp-756868,-3.525793937668053,-3.4768811473120667
mp-768061,-2.8728974707084447,-3.143670313407483
mp-772644,-2.835649226238808,-3.4667199204354637
mp-650960,-3.60381286225344,-3.3454575286425987
mp-646122,-2.7033363453872474,-2.7398576362646887
mp-28536,-2.6458929061619836,-2.572481970517183
mp-17187,-3.40451149396035,-3.1440712290653847
mp-29990,-2.6073042777958233,-2.4776161980685667
mp-721293,-3.8827519111953954,-3.6252722922809957
mp-644852,-2.742323104595166,-2.5422817787521685
mp-779742,-3.4571832838649312,-3.5004135497644646
mp-754369,-3.692518937929994,-3.482448826576189
mp-19146,-2.2448882682817652,-2.2396222369458507
mp-542199,-3.2069132954565354,-3.0974465245075797
mp-680571,-3.4306342843128053,-3.6918817073522456
mp-560863,-2.84466608892225,-2.6474317557575087
mp-21497,-2.71444426616419,-2.5814964667088245
mp-735556,-2.651696500258361,-3.607656202903104
mp-561190,-2.6716218242612073,-2.590201610149033
mp-759390,-2.2644016588351703,-2.318470617612722
mp-780125,-2.7375505712388994,-2.8726934611778274
mp-767417,-3.492153569287005,-3.4680703899525525
mp-27576,-2.638273485767826,-2.758393057357701
mp-760170,-2.4801729244485156,-2.807244729315229
mp-555288,-2.8239107677123116,-2.863874276893937
mp-37947,-2.210419781516737,-2.821533479657405
mp-557251,-2.33724282888341,-2.2825555790631102
mp-541996,-1.906578560166309,-2.4639914716411604
mp-504751,-2.3767514338247397,-2.370303199337281
mp-622086,-1.906578560166309,-2.201341239359189
mp-585241,-2.982969584145775,-3.0390811475701685
mp-770128,-3.0710958907702093,-3.2589175853021035
mp-558277,-2.5072405885127957,-2.4862810331468284
mp-754326,-2.5451562066895113,-2.484591556343376
mp-10552,-2.2790148339588208,-2.223418387836074
mp-557183,-3.060484241337472,-2.9741294196160886
mp-21723,-2.4485508559506637,-2.544052440612048
mp-777595,-2.665547656438102,-3.0008237181714517
mp-769604,-2.114639175841505,-3.215129508625404
mp-767297,-3.801362154321001,-2.847705335621787
mp-696089,-4.369643326653071,-3.7446170279694257
mp-554076,-2.2898832276049603,-2.4005530564966127
mp-556865,-2.920821287391867,-3.3607258664265918
mp-624688,-2.0390541366107806,-2.3009383761547393
mp-26875,-3.135493072109166,-3.391490114116254
mp-558198,-2.9100973606016476,-2.9170345693251507
mp-27723,-2.12262905719135,-2.089649185536281
mp-779389,-2.9507846913489924,-2.7837506024409904
mp-770558,-2.8041022843491428,-3.0484917954804036
mp-690866,-3.761971469964624,-2.746353634893399
mp-621953,-3.7447443845582664,-3.3846886059612338
mp-555797,-3.0190912386692683,-3.399979894600661
mp-752405,-2.9136426608607313,-3.0788923437736995
