Sample Name,True Value,Predicted Value
mp-740714,-3.4736697708959636,-3.5447452403574875
mp-695843,-2.809670263334348,-2.798462539750023
mp-680198,-2.9100973606016476,-2.987176461492516
mp-570053,-2.4001176918351876,-2.524445567521455
mp-571425,-2.078834313515905,-2.1305760221182237
mp-684704,-3.1897721880028547,-3.063460351726911
mp-16861,-3.096913813093342,-3.003907131189005
mp-13602,-3.4306342843128053,-3.2686991272291244
mp-6019,-2.954679759802665,-2.7766231465890017
mp-29598,-2.36552343535124,-2.542295321685694
mp-19144,-2.406714708526553,-2.652907186039223
mp-674537,-2.197226753750087,-2.492617359672633
mp-622196,-2.856987387100021,-2.906402744871327
mp-616196,-2.5986006653752356,-2.656589032151919
mp-772779,-2.44249364012308,-2.41624655212656
mp-571490,-2.889412646643119,-2.584083300760811
mp-752515,-2.586701409770457,-2.730070832949008
mp-36641,-2.3605142082623427,-2.723998151445189
mp-554645,-3.289042795556565,-3.10630616596229
mp-11684,-3.0357436708392265,-2.997546003478837
mp-29437,-2.995681635972185,-3.3093957251011434
mp-754161,-3.4894643730068373,-3.438237783754903
mp-27556,-2.742323104595166,-2.95751211054431
mp-32465,-3.4401017499054705,-3.2006410982083
mp-31049,-2.17848693053137,-2.141204391616976
mp-709350,-3.5331427557600374,-3.991272980165975
mp-573727,-2.380907399784598,-2.4624952886233706
mp-770400,-3.03386155356527,-2.8443644678710425
mp-30983,-4.5101399160087965,-4.064949715510935
mp-556869,-2.322393685668825,-2.467996623114602
mp-570186,-2.978813596306197,-3.0202189585710553
mp-778840,-3.9355682192164188,-3.68329487194164
mp-767414,-4.168815146978149,-3.655699194555622
mp-556303,-2.735183829210411,-2.783537311903125
mp-757624,-2.659557273158096,-2.8668913320759972
mp-28278,-2.3635128060932638,-2.5756138128107184
mp-15254,-3.8601429439889983,-3.965321691800035
mp-645555,-2.605549544832929,-2.528937347035016
mp-696853,-3.324228071678943,-3.2280898608057784
mp-675395,-2.0347986283675543,-2.3682873151271147
mp-772080,-2.1186157424826244,-2.279379225587215
mp-17722,-2.527244574590895,-2.4738020331824546
mp-6708,-2.289037472452032,-2.459601220743726
mp-27200,-2.514279567485247,-2.8924109885622538
mp-760483,-2.5128626152491345,-2.4670312710858946
mp-29297,-2.9136426608607313,-2.997213761172001
mp-762351,-2.609066128799065,-2.4977154676841242
mp-30982,-2.204815897189596,-2.3015884728255123
mp-607806,-2.07831388907936,-2.1369077873889126
mp-778554,-2.9172171424546853,-2.8904411162362504
mp-23090,-1.9430954156721327,-2.021790927638066
mp-555313,-2.9100973606016476,-2.6713831200234344
mp-553281,-2.388277435291925,-2.3142615016982635
mp-760244,-3.0000030400720137,-3.0147568013701393
mp-771185,-4.340150327225931,-4.050261285078074
mp-777883,-4.109618108391504,-3.9117534225769015
mp-753515,-2.2125400209319914,-2.4426024955345307
mp-557756,-3.3625172748061902,-3.308443324565286
mp-778250,-3.187759987249256,-3.310934300512878
mp-541291,-2.903092419055909,-2.837838493017749
mp-561551,-3.104581321779785,-2.9793645791258787
mp-675223,-2.782517898465348,-2.4723396685628236
mp-5248,-3.01954528799216,-2.9942691467898737
mp-5470,-2.3160534984127485,-2.2294051058618676
mp-625475,-3.5301882894150585,-3.559388066952348
mp-771122,-2.211125378319204,-2.7005154162043876
mp-625474,-3.4012171506528297,-3.3562896806006153
mp-559748,-3.065000379863803,-3.2476383967848843
mp-31039,-3.636401180638247,-3.3728159703877933
mp-12181,-1.8894105256637364,-1.8798208990778642
mp-28075,-2.5301790145305016,-2.4389611318965247
mp-758944,-3.039532551762348,-2.899579342598125
mp-16605,-2.9100973606016476,-2.746805859314602
mp-566334,-4.7596255033244805,-4.840370219067796
mp-758379,-2.253366345814208,-2.6243196183121076
mp-760697,-3.0710958907702093,-3.353304735897187
mp-555231,-3.160526352532235,-3.1047512767114456
mp-738714,-3.3115864076786417,-3.037384131965683
mp-650140,-3.3904130605025022,-3.6467427169564095
mp-767636,-1.8386322076594561,-1.9514084559932159
mp-562065,-2.485453176683371,-2.5639258495047867
mp-560453,-2.7772853493998477,-2.714630127094251
mp-680722,-3.0963712793491354,-3.03650763866357
mp-556726,-3.328833639055562,-3.3257453169043556
mp-698494,-3.2388294557691766,-3.1368953487940887
mp-9843,-1.8728954288703108,-2.0398743660477603
mp-6290,-2.928120569330841,-3.266380008707398
mp-570803,-2.056011470854674,-2.0262440972566833
mp-697960,-3.559101932854804,-3.363242829568149
mp-12878,-3.324228071678943,-3.066329777040148
mp-568611,-2.663541666952201,-2.6966104102032658
mp-554034,-2.5783972245399256,-2.673534044948546
mp-761759,-2.8153105559727623,-3.234306465121456
mp-752730,-3.1272652481684178,-3.167394472797789
mp-758814,-3.737565522674952,-3.981033920309752
mp-553890,-3.5702590214904415,-3.493373505447326
mp-669348,-3.2984380589016453,-3.2386532514497683
mp-770808,-2.126679804969585,-2.3325473438369726
mp-754730,-2.609066128799065,-2.6747392676406627
mp-510240,-2.247952090064293,-2.476110233282902
mp-6397,-3.2313670780110764,-3.3266657114953637
mp-722348,-3.2881986740719116,-3.3457787851933034
mp-754162,-2.4934959150606515,-2.3723607310943406
mp-766885,-2.7099669480086317,-2.9798824441660177
mp-626024,-3.3536031364952454,-3.4829553082647924
mp-27747,-2.4975738359951944,-2.3901194277009807
mp-733610,-2.6819381265704276,-2.735201685866498
mp-704299,-2.9507846913489924,-3.020371777456935
mp-758031,-2.9318167363508256,-3.2750290349477553
mp-3520,-2.9172171424546853,-3.0667945679509554
mp-559520,-3.6861475378302364,-3.3455525023158765
mp-753769,-2.935544631750472,-2.6033552509675597
mp-772748,-3.8416586200504637,-3.6324411917999533
mp-28256,-2.7644733204811387,-2.634120583060339
mp-582723,-3.3882841249765008,-3.387872310349756
mp-781622,-3.2724644360361403,-3.3465520602114682
mp-772296,-2.485453176683371,-2.502694606583326
mp-772158,-2.354578418797236,-2.2760217007419947
mp-759485,-2.404504549589866,-2.5731861449268583
mp-200,-2.20690888954317,-2.1251369909286164
mp-36053,-2.4168020197504307,-2.2734493266243274
mp-707081,-3.7878310470837753,-3.702629318064966
