Sample Name,True Value,Predicted Value
mp-27047,-2.046240646160462,-2.0565013734334014
mp-769153,-2.3344196656012253,-2.2639135480912893
mp-560611,-1.9100951361595317,-2.0064337128555008
mp-27996,-2.1938205010098493,-2.2288847207299627
mp-542903,-1.9914001260453345,-2.018233360310899
mp-558534,-2.247184106113649,-2.1965471793529643
mp-754658,-2.027797486100481,-1.965249156311685
mp-17975,-2.033389341300488,-1.9999119471653204
mp-647343,-2.204815897189596,-2.353447497671761
mp-769381,-2.052076722735352,-2.0916307088334487
mp-11116,-1.958607591369304,-1.9632046182763485
mp-541513,-2.0525666211221862,-2.6464060745429023
mp-703380,-2.4584216295817325,-2.4014625224010486
mp-601286,-1.8477118700888824,-1.9035622724026278
mp-27352,-2.1719853877181214,-2.067592720938209
mp-722315,-2.067019532733094,-2.0789327668544337
mp-18997,-2.70114845167172,-2.6409052086055222
mp-555915,-2.8664633273449995,-2.5780167617195113
mp-780580,-2.3053954151542473,-2.270442387617983
mp-18373,-2.2644016588351703,-2.231340141909654
mp-571387,-2.0177290836731756,-2.01461670897835
mp-557589,-2.217527877660582,-2.1997745816169574
mp-4350,-2.333482674186134,-2.661803414425112
mp-28534,-2.0376309955226315,-1.9786724178769608
mp-9475,-2.7670056678173087,-3.1702268218974674
mp-3032,-2.0639895562668142,-2.0555114662251754
mp-559882,-2.1348964397425405,-2.2152571318521033
mp-24359,-2.099633253397825,-2.0301209161165206
mp-16848,-2.1630437055127976,-1.9937517692119704
mp-28291,-2.3904063379444693,-2.4323661143180773
mp-775980,-2.187755771422652,-2.3018701505047594
mp-22857,-2.2076088013327575,-2.382283723439778
mp-680193,-1.9625737809048023,-1.9925149277755427
mp-20546,-1.9665765264872554,-1.9553702701534876
mp-17799,-2.146302213779112,-2.1658806484638045
mp-706285,-2.3946957083583165,-1.9638365773375175
mp-35082,-2.0540396402879475,-2.041535216790076
mp-6057,-2.1255185878828833,-2.0239984399852355
mp-22848,-2.514279567485247,-2.4099608853404
mp-675172,-2.0824948576012887,-2.021726254034654
mp-23292,-2.0540396402879475,-1.9290757444622113
mp-768814,-2.0501226371966963,-2.0100892614361885
mp-768254,-2.2740889394404844,-2.3371862944337924
mp-554282,-2.1857528702673314,-2.2030718922244774
mp-28473,-2.2941368864376908,-2.18716205042162
mp-779515,-2.0990873139174253,-2.097389072092665
mp-756354,-2.1012752018463026,-2.108315678157167
mp-556247,-1.9706165061179783,-1.9986963732643241
mp-676556,-2.167491534068079,-2.2642794799979735
mp-555394,-2.2668032969340737,-2.165016195876538
mp-561457,-2.0287244757930027,-2.022330846729842
mp-41109,-2.0540396402879475,-2.0475898081067196
mp-556087,-2.2620132297702598,-2.309442505636585
mp-3552,-2.026872469410904,-2.0452527286526254
mp-20496,-2.0052433626986286,-2.0386523589629597
mp-24018,-2.0087742342104544,-2.0450295309400617
mp-867590,-2.6777821526506846,-2.735123256622359
mp-17765,-2.2125400209319914,-2.346881338783267
mp-556798,-1.9706165061179783,-1.9267232370980585
mp-15148,-2.358526583078493,-2.59650239964173
mp-8360,-2.00568315501038,-1.9372692784110876
mp-2511,-1.950782248434136,-1.9945895682017267
mp-772876,-2.040005495340191,-2.102500504735529
mp-18480,-2.2525887358395846,-2.2040805752046513
mp-505321,-2.332547700777132,-2.3275684021667975
mp-680683,-2.046724001537033,-2.033823187380625
mp-760401,-1.8041005416345262,-1.6267688772121875
mp-505782,-2.0376309955226315,-2.0602143507146042
mp-756979,-2.0078888215786614,-1.9948999810637937
mp-19042,-2.1713405540479154,-2.1244722108324336
mp-754117,-2.0486628210517406,-1.983098301217264
mp-567918,-2.1965433619973345,-2.0838369387884783
mp-561647,-2.2806692931647716,-2.2958108391716427
mp-558121,-2.5883814723199605,-2.614908518653806
mp-570480,-2.4934959150606515,-2.6203043086892297
mp-559612,-2.022276715006578,-2.0277793184490345
mp-11623,-2.0376309955226315,-2.044229128986323
mp-770663,-3.1798031402094917,-2.928782384473173
mp-583499,-2.6925054595697606,-2.5947588418694534
mp-23291,-2.0181817100033874,-2.0254593231788007
mp-695948,-2.0579922944357243,-2.0268496383823575
mp-753425,-2.127261580515121,-2.087197602863061
mp-755537,-2.050610334580064,-2.0441889043139327
mp-277,-2.087778315100694,-2.167714130142404
mp-675286,-2.772115093856607,-2.245218466953996
mp-696658,-2.3767514338247397,-3.054134103370323
mp-568514,-2.8601231169486137,-2.6366297506415646
mp-556631,-2.8696684839031548,-2.642838805545071
mp-556983,-2.0172769283436502,-2.0403374408164843
mp-558628,-2.0629842444523248,-2.052825529865293
mp-17066,-2.0947443291172507,-2.0395913752992665
mp-647557,-1.906578560166309,-2.015253229987228
mp-27650,-3.0026166744226157,-2.621108955610472
mp-29036,-1.9871630701516896,-2.034812726551168
mp-866827,-2.0241091853596718,-2.025625443741388
mp-772609,-1.9914001260453345,-1.9822206660351798
mp-17854,-1.9956789269962798,-1.9986065623905824
mp-505274,-2.0545317596782966,-2.0426127205689504
mp-560642,-2.1444812679976093,-2.1822660536259866
mp-559493,-3.826834135575767,-3.932583173029928
mp-629080,-3.7447443845582664,-3.752328264604919
mp-2125,-2.0061233933227633,-1.9933745655591515
mp-4438,-2.0136765367319374,-2.010229381534976
mp-555251,-2.0680342405628793,-2.0299216861234064
mp-722245,-2.47625444319897,-2.28114480607177
mp-38307,-2.0000003040062437,-2.026180381040802
mp-707391,-2.137272889018222,-2.1280930652497756
mp-644271,-2.0639895562668142,-2.0087005487477696
mp-551243,-1.9430954156721327,-1.9415744026528072
mp-554529,-2.2557075647591516,-2.1343583311138414
mp-764341,-2.982969584145775,-2.9704285913271002
mp-643701,-2.0163740286866543,-2.548042801745661
mp-554288,-2.030118681837354,-2.0394390196345857
mp-556021,-2.270026280119805,-2.1676011422453865
mp-3977,-2.0705814316544258,-2.0645354181152515
mp-703293,-2.301900063231163,-3.0808531689783694
mp-736446,-4.020483492640559,-3.1949483807848997
mp-554863,-2.213249074742339,-2.1055354772028267
mp-8714,-2.7520284515521967,-2.655298769032686
mp-17921,-3.844685222690812,-3.094835039705474
mp-505139,-2.3316147353741745,-3.019695268586868
mp-9010,-1.939302424353244,-1.9169928241644332
mp-22888,-2.1112594317729645,-2.0183710805470763
mp-29985,-2.987165726525924,-2.839082009171538
mp-766448,-2.147520432975121,-2.290561931883766
mp-555561,-4.0000304016778045,-3.7204912493577598
mp-13791,-2.0433517569185136,-2.015541442455405
mp-540586,-1.9914001260453345,-1.9033643958611812
mp-27979,-3.03292354547449,-2.4123200963664355
mp-25082,-2.3410358236806372,-2.986171552878494
mp-769128,-2.102373293818066,-2.0986976122798926
mp-626218,-1.9706165061179783,-1.9815623835083354
mp-12431,-2.0433517569185136,-2.0432844385541493
mp-638061,-2.0915153563163815,-2.1567039038319327
mp-504474,-2.020907417999212,-2.07436739310662
mp-27167,-2.004804015387507,-1.981940884844492
mp-766134,-5.418733194637876,-5.518966714762854
mp-10368,-2.114074055326756,-1.8361516558796112
mp-22512,-1.982966953313692,-1.9558753795081423
mp-28597,-1.9208190073385216,-1.9865069791227492
mp-722910,-2.5497519700372866,-2.361104016913886
mp-559764,-2.1426679262309523,-2.1833147689557166
mp-675215,-2.0004348163105545,-2.0117328196992594
mp-643060,-2.0096614558448325,-2.0330875848229346
mp-572707,-2.838634094599113,-3.3600484546528664
mp-31086,-1.8927902675048591,-1.881690592233319
mp-556932,-2.1432715328181993,-2.0371498132443002
mp-559849,-1.9914001260453345,-2.0071953190795306
mp-755751,-2.0315173778884423,-2.0852386321585192
mp-19100,-2.1542824156751625,-2.1235228057437583
mp-5391,-2.0078888215786614,-1.9986317695913238
mp-23922,-2.2668032969340737,-2.1142345264770674
mp-13676,-1.9871630701516896,-1.9378541264005626
mp-556167,-2.0362125034415794,-2.015661338905948
mp-764236,-2.0447937990357596,-2.543104646061318
mp-17146,-2.41341348258138,-2.4057264480471536
