Sample Name,True Value,Predicted Value
mp-768931,-1.982966953313692,-1.9293596884027036
mp-540610,-4.365593270795219,-4.2611748739255155
mp-555321,-2.187087110702001,-2.366819734105753
mp-8267,-2.0665130663196516,-2.1732980114264917
mp-761683,-2.0705814316544258,-2.0662381119173654
mp-540686,-2.462181786178104,-2.5310143090823902
mp-16970,-2.0087742342104544,-2.03436921332479
mp-760091,-2.6716218242612073,-2.5379611221172884
mp-30209,-2.1850872845532936,-2.079723131266122
mp-3051,-2.01055049348181,-1.979779361577937
mp-8973,-2.0145738403808147,-1.9843449782228746
mp-554788,-3.147524275770105,-3.105082493441594
mp-557680,-1.8477118700888824,-2.0166477810987464
mp-625830,-2.022276715006578,-2.020013891277755
mp-680333,-1.9788109905297508,-1.9861957279077442
mp-12453,-1.8996296962747796,-1.9972840931660798
mp-510057,-3.6420784868072014,-3.6545464458498125
mp-774651,-2.048177304671795,-2.0437721773392026
mp-24150,-1.924453294467418,-1.9692053990704586
mp-755742,-2.102373293818066,-2.0804999786684055
mp-721084,-2.00305105814929,-1.9616402971492664
mp-778347,-2.492145072119464,-2.747245054788456
mp-560591,-2.6675629539843357,-2.9731390983405737
mp-774708,-2.6497533391723773,-2.5481001213994263
mp-30077,-2.11182089928108,-1.966449507291837
mp-28595,-1.9625737809048023,-1.973517321384682
mp-6955,-1.9871630701516896,-2.008145497903613
mp-677103,-2.050610334580064,-2.0466563619752347
mp-10070,-2.0629842444523248,-2.0879354362460236
mp-555070,-2.040005495340191,-2.036378283597483
mp-619661,-2.1034741687947625,-2.0667969919014895
mp-768382,-2.249492144975713,-2.2405136668396715
mp-775932,-2.4522261562080425,-2.808348202005925
mp-22574,-2.010105747162995,-2.0539281181886317
mp-27674,-2.0525666211221862,-2.0661086273090383
mp-672237,-1.8996296962747796,-1.9329771515798795
mp-554006,-1.9956789269962798,-2.012984260998952
mp-20310,-1.9788109905297508,-1.9293906385953983
mp-13868,-2.595167479876205,-2.45024753512862
mp-542697,-2.856987387100021,-2.718858242047471
mp-625621,-1.9469218260320633,-2.0144698460344945
mp-771816,-2.2967092239927682,-2.302262009404187
mp-776890,-2.0078888215786614,-2.0302451687271983
mp-643009,-2.0315173778884423,-1.9658926003882529
mp-9323,-2.0447937990357596,-2.001040649375605
mp-557614,-2.0357407000827936,-2.053386764829313
mp-583345,-2.024568512699735,-1.9696924065589723
mp-27622,-2.029653449488492,-2.0701295916873885
mp-6647,-2.068542484979229,-1.9947826395939132
mp-27250,-2.638273485767826,-2.665474472087082
mp-7798,-1.9625737809048023,-1.94728898987565
mp-7077,-1.9706165061179783,-1.9222410445811013
mp-555050,-2.153663321057392,-2.1887212441458734
mp-738680,-4.201397689348963,-4.1692619970407865
mp-29510,-2.126679804969585,-2.023749969559655
mp-758587,-2.0510985809642936,-2.0535201333479525
mp-2079,-2.035269408724786,-2.0034008797608136
mp-706632,-2.204815897189596,-2.2905225753513903
mp-720895,-3.663554275725376,-3.7307985950735203
mp-31306,-3.0385822284841555,-3.070600179548837
mp-755792,-2.0052433626986286,-2.0066976651722586
mp-31097,-2.09420449764754,-1.9798314316027432
mp-684503,-2.2684117990191743,-2.280012152868536
mp-760477,-2.0486628210517406,-2.021329547202182
mp-554782,-1.9871630701516896,-1.9732994480173052
mp-779858,-2.1850872845532936,-2.177590528203343
mp-851118,-2.0385792382472716,-2.0873434144249914
mp-768942,-2.2596378637387837,-2.3438793061435517
mp-651231,-3.0352723762591256,-3.005071539439521
mp-8673,-2.029653449488492,-2.0160646571456096
mp-2895,-2.0254886293820253,-1.9952748243994334
mp-753564,-2.0390541366107806,-1.9617917089992407
mp-17685,-2.0109956958012782,-2.0082801381040634
mp-16608,-1.866461315533982,-1.9753512957517672
mp-555939,-2.2668032969340737,-2.2839307803183364
mp-765457,-2.16367632715786,-2.187264759929017
mp-11321,-2.2225736855230642,-2.2105512924889754
mp-16280,-1.982966953313692,-1.9597966174419865
mp-560794,-2.205512440971602,-2.405016305230272
mp-4906,-2.0819700301573256,-2.169580600864629
mp-776697,-2.092589015245382,-2.103364453293163
mp-28471,-2.0371576501614963,-2.077066091334825
mp-638009,-2.0004348163105545,-2.1604310293792963
mp-9066,-2.0574962410391078,-2.0596718854370186
mp-568949,-1.7772837110396413,-1.815040927345175
mp-616327,-1.9281182506323962,-1.910183931945431
mp-23454,-1.9914001260453345,-1.984983823860318
mp-721279,-2.055024437069533,-2.0567288019537875
mp-755139,-1.856985418709506,-1.9597653383431284
mp-27987,-2.5451562066895113,-2.600945933121415
mp-554012,-2.2839972406275804,-2.269400539712949
mp-782065,-1.9100951361595317,-2.21947171723114
mp-560872,-1.9871630701516896,-2.029758868566597
mp-558226,-2.032920593946334,-2.0456523187934867
mp-9173,-2.2823300793876267,-2.168564294095729
