Sample Name,True Value,Predicted Value
mp-27047,-3.245657016253705,-3.0666290653612065
mp-769153,-2.6925054595697606,-2.9995982393353278
mp-560611,-2.140261853898183,-2.012472794087567
mp-27996,-2.517127416021339,-2.5610429726441013
mp-542903,-2.36451695671848,-2.426705320507413
mp-558534,-2.850783043077246,-2.7136256790656783
mp-754658,-2.8326847330738842,-2.861939706561639
mp-17975,-3.008777026114519,-2.916956409148103
mp-647343,-3.123786201653617,-2.832242236900394
mp-769381,-3.083023633477309,-2.926882427981608
mp-11116,-2.630785442173471,-2.5226955204309225
mp-541513,-2.4294578772215676,-2.219583364555055
mp-703380,-2.5986006653752356,-2.6374515136678895
mp-601286,-2.060980573834591,-2.071074557698366
mp-27352,-2.7746925275641097,-2.6093008113685747
mp-722315,-3.066516255209526,-3.1380938509163236
mp-18997,-2.3391351857693663,-2.7590327060439184
mp-555915,-2.7931760122409828,-2.9728583859796074
mp-780580,-2.838634094599113,-3.108971954531168
mp-18373,-2.2464174771663576,-2.3918204506554868
mp-571387,-2.675718985789772,-3.18065801610663
mp-557589,-3.047695382938891,-2.7141024331819446
mp-4350,-2.3429448166175586,-2.448031303252693
mp-28534,-2.543635029959823,-2.511129636370921
mp-9475,-2.742323104595166,-2.796924043469414
mp-3032,-4.134937501214732,-3.709401955615752
mp-559882,-2.6420664863622982,-2.5581293547165274
mp-24359,-3.8416586200504637,-3.5203984038730907
mp-16848,-2.380907399784598,-2.372144260262356
mp-28291,-2.7304886904446755,-3.0031324863216873
mp-775980,-2.4329744578656523,-2.3903214997917126
mp-22857,-2.3169535927185856,-2.3127565115268025
mp-680193,-2.434153007104419,-3.342267695483154
mp-20546,-2.4934959150606515,-2.3745818338358626
mp-17799,-3.4828133424064274,-3.284656428961928
mp-706285,-2.511450270034034,-2.433228178024385
mp-35082,-2.57186634035274,-2.7323336957102566
mp-6057,-2.3279027888220507,-2.146999921585941
mp-22848,-2.5044566332666993,-2.6479251782743076
mp-675172,-2.369572836958751,-2.153015432746507
mp-23292,-2.7375505712388994,-2.671665302188571
mp-768814,-2.8794283720829057,-2.8964647642387806
mp-768254,-2.679855168577256,-2.540377290572975
mp-554282,-2.954679759802665,-2.810523635525313
mp-28473,-3.333488570905823,-3.270458358454034
mp-779515,-4.153706195876842,-3.743536633942754
mp-756354,-2.6819381265704276,-2.623412548811153
mp-556247,-2.3595192586667753,-2.2118439974166164
mp-676556,-3.12263268593035,-2.7626577852541745
mp-555394,-5.349401101825484,-4.287119195990801
mp-561457,-2.6716218242612073,-3.3649570238330733
mp-41109,-2.795881917042513,-2.7744563892861227
mp-556087,-2.841639619158863,-2.6950675212613895
mp-3552,-3.109582893580523,-3.01342738458198
mp-20496,-2.4202172030168874,-2.605763322919392
mp-24018,-2.8794283720829057,-3.3143613598175556
mp-867590,-2.8477137968935704,-2.8888366484379944
mp-17765,-2.4461178221799837,-2.4171264421060004
mp-556798,-2.284833227754031,-2.293027868564006
mp-15148,-2.9172171424546853,-2.968520048604091
mp-8360,-1.8794262993077409,-2.08507343037092
mp-2511,-2.318759396346582,-2.405873549866741
mp-772876,-2.7746925275641097,-2.7863451817913525
mp-18480,-3.037160630626324,-2.693341780180152
mp-505321,-1.9430954156721327,-1.967836135439861
mp-680683,-3.4389069678972604,-3.511505729026019
mp-760401,-2.603801873909899,-2.5096161599986804
mp-505782,-3.588392077343469,-3.4557491240898055
mp-756979,-2.7851580056999157,-2.966466314932419
mp-19042,-2.8181584120449825,-2.7310525050758394
mp-754117,-2.920821287391867,-2.708151861697916
mp-567918,-2.33724282888341,-2.2179370692036113
mp-561647,-3.1798031402094917,-3.2401789689208593
mp-558121,-2.200659933549693,-2.2129056668460043
mp-570480,-2.609066128799065,-2.677480747088784
mp-559612,-2.9065807666693186,-3.0537968937859987
mp-11623,-2.7851580056999157,-2.651392670243506
mp-770663,-2.4841270828489685,-2.558740762752365
mp-583499,-2.958610078700952,-3.0149902338055767
mp-23291,-2.5497519700372866,-2.610671197145765
mp-695948,-3.7122139407021684,-3.5135247177064426
mp-753425,-2.415669567683372,-2.466682899099476
mp-755537,-2.6252529367282125,-2.6021394783804594
mp-277,-1.866461315533982,-1.939552687215389
mp-675286,-2.0726299963454653,-1.9968424336048647
mp-696658,-2.464706766316174,-2.7175824459207485
mp-568514,-2.974697002991899,-3.141087596500344
mp-556631,-2.6020612070262508,-2.4475161168390507
mp-556983,-2.6497533391723773,-2.552333579799101
mp-558628,-3.2636090761300895,-3.218715250188157
mp-17066,-3.5702590214904415,-3.11684177681219
mp-647557,-2.2724593123002554,-2.4498258125632457
mp-27650,-3.4449140192200813,-3.0847232792893116
mp-29036,-2.263604055809785,-2.238365882612893
mp-866827,-2.2062101037561224,-2.32644007043475
mp-772609,-2.275724703596864,-2.008938214595496
mp-17854,-2.928120569330841,-3.2046319688550935
mp-505274,-3.295855491067985,-3.2538760718563298
