Sample Name,True Value,Predicted Value
mp-768931,-3.863301623795933,-3.635449747546474
mp-540610,-2.514279567485247,-2.490244591103768
mp-555321,-3.1152085995922363,-3.099145390688437
mp-8267,-2.0746882700525697,-2.4188208761110954
mp-761683,-3.1598982991744977,-3.205035951399656
mp-540686,-2.5575213284964673,-3.089346420796755
mp-16970,-3.2313670780110764,-3.1343167506065948
mp-760091,-2.70114845167172,-2.5195159894299857
mp-30209,-2.4056082235532017,-2.371252604309037
mp-3051,-2.8601231169486137,-2.864425624228007
mp-8973,-2.6736655729935817,-2.6586647443127815
mp-554788,-3.428299318375063,-3.5066840600635403
mp-557680,-2.1325329244915627,-2.0310121966311154
mp-625830,-2.974697002991899,-2.8969634123988777
mp-680333,-2.593461012182568,-2.7400338187436235
mp-12453,-2.0376309955226315,-1.97012892232354
mp-510057,-1.8416377191154243,-2.1526627495063115
mp-774651,-3.4111761092803965,-3.3087029649854953
mp-24150,-2.17392565074074,-2.418809879593387
mp-755742,-2.4571754440786306,-2.416329405749132
mp-721084,-3.0034913925888116,-3.0627221628076238
mp-778347,-2.469801198774193,-2.3640006321247387
mp-560591,-2.74714866736163,-2.587462472990851
mp-774708,-3.0118902844319737,-2.9690478620179386
mp-30077,-2.6819381265704276,-2.5210403306359273
mp-28595,-2.982969584145775,-2.906468613297687
mp-6955,-3.104581321779785,-3.005944097753626
mp-677103,-3.3625172748061902,-3.355417543732895
mp-10070,-3.9031143081719866,-3.834529005866938
mp-555070,-2.798604787992496,-2.7781292154978714
mp-619661,-2.518558374321743,-2.325623656610517
mp-768382,-3.03621547742711,-2.72261478900281
mp-775932,-2.64781883314049,-2.5205554584362
mp-22574,-2.2232993243717645,-2.221103092409585
mp-27674,-3.7851746893552125,-3.9183268700016955
mp-672237,-2.5968806806069487,-2.7398774772752
mp-554006,-3.094207896490178,-3.3561722258201336
mp-20310,-2.7304886904446755,-2.594174191361902
mp-13868,-2.756963688181401,-2.69316351620605
mp-542697,-2.943097815728693,-2.746980272254318
mp-625621,-2.7670056678173087,-2.8651458965672147
mp-771816,-2.3777867025522466,-2.357962992420061
mp-776890,-3.417944595348762,-3.428959694885695
mp-643009,-2.026410700067217,-1.881692432996703
mp-9323,-2.2915796949243554,-2.2674768915658774
mp-557614,-3.356554233285362,-3.214266882464428
mp-583345,-3.3169592692270755,-3.1791874570251037
mp-27622,-2.6161858902255246,-2.760306191101628
mp-6647,-2.1260988084255077,-1.9906361875933318
mp-27250,-2.9706190631881455,-2.9188097191768114
mp-7798,-2.64781883314049,-2.7585595760822335
mp-7077,-2.1438759794070834,-2.3028650764984135
mp-555050,-2.754489059311033,-2.7049159146581805
mp-738680,-3.314264529213009,-3.4272066634487697
mp-29510,-2.3595192586667753,-2.3712858747342507
mp-758587,-3.2881986740719116,-3.0730702416669775
mp-2079,-2.2464174771663576,-2.1857005388600586
mp-706632,-3.33819393727789,-3.208765420624804
mp-720895,-4.690518881189941,-4.381748716574549
mp-31306,-3.1505848859666505,-3.249720502608536
mp-755792,-2.7619556542644648,-2.8743537387649054
mp-31097,-2.5883814723199605,-2.449295211219021
mp-684503,-2.6675629539843357,-2.67569860579873
mp-760477,-2.4388994511824986,-2.6680593632857237
mp-554782,-2.7167003543681836,-2.58056291194424
mp-779858,-2.3196651216688093,-2.4479333264246397
mp-851118,-2.9665790598807673,-2.9399157306935986
mp-768942,-2.3160534984127485,-2.533934756047017
mp-651231,-3.063992726680998,-3.239384370142808
mp-8673,-2.850783043077246,-2.893599441078924
mp-2895,-2.835649226238808,-2.86341314698381
mp-753564,-2.4989416970109564,-2.4833595576825997
mp-17685,-3.5301882894150585,-3.362752888773924
mp-16608,-1.906578560166309,-1.7180073935342342
mp-555939,-2.5986006653752356,-2.7135739514012887
mp-765457,-2.665547656438102,-3.01390478647407
mp-11321,-2.36451695671848,-2.295469214184432
mp-16280,-2.86328165202857,-3.0024524737137646
mp-560794,-3.105134215706912,-2.9882270737299508
mp-4906,-2.2992968885903378,-2.3989923319189876
mp-776697,-4.340150327225931,-4.159195994999128
mp-28471,-2.492145072119464,-2.4766008137743003
mp-638009,-2.6020612070262508,-2.638059637347759
mp-9066,-3.2168163173672206,-3.0867452657950163
mp-568949,-2.065501902495653,-2.064789492070216
mp-616327,-2.903092419055909,-2.6528164456572214
mp-23454,-2.5391032089256242,-2.9519690052677463
mp-721279,-3.7958990177992136,-3.626970435214043
mp-755139,-1.896196518374977,-2.060130847046379
mp-27987,-2.33724282888341,-2.5279912180981285
mp-554012,-3.8124990201069253,-3.7313226372519352
mp-782065,-2.2269458196582077,-2.331610593767655
mp-560872,-3.187759987249256,-3.1773707200075454
mp-558226,-3.555966139610243,-3.4281444467593687
mp-9173,-2.2189635643217107,-2.232233441513345
