Sample Name,True Value,Predicted Value
mp-561083,-2.539103209,-2.471449154661456
mp-27047,-2.046240646,-2.0559129991183642
mp-14889,-3.712213941,-3.8176065598289997
mp-757074,-1.924453294,-2.0151292963197123
mp-11709,-2.218963564,-2.312193079813501
mp-775265,-2.181774568,-2.2502378969724277
mp-769153,-2.334419666,-2.2655810918818613
mp-744439,-1.962573781,-3.415920588717808
mp-3370,-1.991400126,-2.011409131748164
mp-560611,-1.910095136,-2.0054854814284253
mp-680286,-2.917217142,-3.2942309064822317
mp-557531,-1.974694422,-2.0693182646751818
mp-27996,-2.193820501,-2.21631265878804
mp-542903,-1.991400126,-1.9936837380912729
mp-560209,-2.036212503,-2.0541011327435243
mp-558534,-2.247184106,-2.1321432517058
mp-552185,-2.196543362,-2.2621761175629223
mp-6610,-2.659557273,-2.403123768898213
mp-22990,-2.039054137,-2.1768994861117097
mp-754658,-2.027797486,-2.030130154497507
mp-17975,-2.033389341,-2.033001002439282
mp-29391,-2.186419478,-2.1312021944220527
mp-772801,-2.101275202,-1.9920400830009362
mp-569225,-2.242604502,-2.289197910998887
mp-865353,-1.920819007,-2.0954617943729272
mp-27954,-1.917214881,-2.0069084837753124
mp-23151,-2.039054137,-2.0571086434850163
mp-647343,-2.204815897,-2.362256336641167
mp-504902,-2.44249364,-2.406175046962545
mp-542785,-2.602061207,-2.705640843164489
mp-775466,-2.049635487,-2.0554163858249437
mp-769381,-2.052076723,-2.0759138130040804
mp-11116,-1.958607591,-1.9412252829042935
mp-675022,-1.954677295,-1.8681605703024542
mp-707900,-2.059982194,-2.0668222758059276
mp-505700,-1.939302424,-2.0111732160117297
mp-15988,-1.835647352,-1.7388569491896788
mp-14243,-1.946921826,-1.9991827539385212
mp-683791,-2.876150645,-2.985643221940238
mp-758504,-2.011441355,-2.0034313176734377
mp-541513,-2.052566621,-2.8254341733506694
mp-676002,-2.084073157,-2.173819063242096
mp-625557,-1.954677295,-1.8898029913458303
mp-6499,-2.059483864,-2.102544715208604
mp-746702,-4.511547998,-4.234910271192435
mp-11009,-2.148742079,-2.2883110433996263
mp-703380,-2.45842163,-2.4390235227353703
mp-10935,-2.034798628,-2.0390055538435936
mp-698518,-1.785156337,-2.454412344441548
mp-601286,-1.84771187,-1.916301853865834
mp-23167,-1.730487219,-1.8046659452981269
mp-37605,-1.806875597,-1.873206375665742
mp-27352,-2.171985388,-2.0929175268340825
mp-722315,-2.067019533,-2.0900694581147894
mp-573281,-2.166216071,-2.258778079029801
mp-243,-2.101823901,-2.116148456141433
mp-572598,-2.063989556,-1.9972701865649374
mp-18578,-2.092051854,-2.129354610631012
mp-765358,-3.220408559,-3.2427688418549434
mp-561133,-2.136083039,-2.1947548190932755
mp-18997,-2.701148452,-2.6881715840392517
mp-555915,-2.866463327,-2.5763161142153
mp-780580,-2.305395415,-2.2602953426300623
mp-562920,-2.020451944,-2.055862983671954
mp-556942,-2.049148881,-2.028668097043659
mp-568819,-2.152427773,-2.3283978897777864
mp-772181,-2.009661456,-2.0067270335960714
mp-18373,-2.264401659,-2.212155768852812
mp-4170,-1.642065286,-1.827160410353824
mp-760781,-3.76197147,-3.3927592584499786
mp-553970,-2.111820899,-2.089168590477295
mp-571387,-2.017729084,-1.9987826244621918
mp-568244,-1.866461316,-2.0068307696204113
mp-707219,-4.301960381,-3.8912618330790982
mp-558982,-2.179799001,-2.30822141460909
mp-682,-2.056011471,-2.0362782666185466
mp-10390,-2.034798628,-2.0508020426059743
mp-772036,-2.218963564,-2.219124254637861
mp-754818,-2.079355364,-1.9224782295998708
mp-1170,-1.754487505,-1.9924823771475546
mp-23644,-2.148130827,-2.121717606782579
mp-849391,-2.058986104,-2.0474312460284225
mp-541352,-2.634513325,-2.4307156770208076
mp-569132,-2.136677556,-2.1385522622127136
mp-765511,-3.638285382,-3.128628329598346
mp-542734,-2.203426153,-2.0338200990050157
mp-555966,-2.200659934,-2.104067032143883
mp-558295,-3.504465375,-3.105226104742003
mp-753945,-3.189772188,-2.681029431072105
mp-24121,-2.059982194,-1.9950017297677356
mp-561179,-2.072116949,-2.0498182603956483
mp-556859,-2.095826011,-2.085080930335869
mp-19367,-2.366532251,-2.380221250254332
mp-756443,-2.53760305,-2.456221245511012
mp-773040,-2.605549545,-2.2618793141281355
mp-557589,-2.217527878,-2.1991041185752653
mp-552857,-1.910095136,-1.8976720090528467
mp-720849,-2.084073157,-2.5967891055304144
mp-571162,-1.970616506,-1.9831012292761887
mp-540629,-4.023223732,-4.034827860889476
mp-556225,-1.838632208,-1.885698313542472
mp-648164,-2.725843768,-2.6250579265710967
mp-625320,-2.030118682,-2.021556477949309
mp-27487,-1.939302424,-1.9671170635175872
mp-4350,-2.333482674,-2.589052118674714
mp-557914,-2.157391197,-2.1575202872378565
mp-28593,-1.853872181,-1.9981395132487914
mp-9488,-2.020907418,-2.3604990192993562
