Sample Name,True Value,Predicted Value
mp-740714,-2.074172786,-2.0898248811493803
mp-19386,-2.29243042,-2.3096070841602603
mp-695843,-2.23657253,-2.1581556413194067
mp-680198,-2.271646786,-2.3555891356355816
mp-12385,-1.84771187,-1.9785311463845432
mp-559145,-2.063989556,-2.070604381877848
mp-768931,-1.982966953,-1.9888165302451584
mp-625860,-2.100727196,-2.0811438766990413
mp-19784,-1.974694422,-2.011381507301815
mp-570053,-2.640165846,-2.553580016081917
mp-866690,-2.123205428,-2.1080320744292296
mp-23484,-1.619788885,-1.74251693339363
mp-31212,-2.060980574,-2.0728510855148765
mp-571425,-1.950782248,-1.972757432239177
mp-684704,-2.082494858,-2.0250628429168684
mp-16861,-1.970616506,-1.9364943035951678
mp-676951,-2.754489059,-2.529047700149706
mp-675192,-2.982969584,-3.1035274820204894
mp-540610,-4.365593271,-4.259997850191674
mp-774712,-1.896196518,-1.8533195677193135
mp-555321,-2.187087111,-2.3963850377701146
mp-8267,-2.066513066,-2.135995176384712
mp-557930,-2.052566621,-2.0470602110509017
mp-13602,-1.978810991,-2.0204475372989106
mp-6019,-2.111259432,-2.047592511515968
mp-643246,-1.974694422,-2.029966991962063
mp-29598,-2.073657913,-2.0731348468630104
mp-19144,-2.201349838,-2.3024688492739767
mp-761683,-2.070581432,-2.0716918013932872
mp-540686,-2.462181786,-2.5563479418517243
mp-642735,-2.03715765,-1.9978262206408417
mp-674537,-2.234331966,-2.2194139730374935
mp-622196,-2.163676327,-2.2026688810417125
mp-616196,-2.45469375,-2.4205225117026945
mp-557466,-1.928118251,-1.9884532300408744
mp-16970,-2.008774234,-2.0199477224665636
mp-772779,-2.168130674,-2.4006609080325583
mp-771260,-2.070581432,-2.098344996819786
mp-760091,-2.671621824,-2.4634813644049367
mp-571490,-2.588381472,-2.5479214598712043
mp-13032,-1.970616506,-1.8948515590300703
mp-30209,-2.185087285,-2.1285557729856652
mp-29803,-1.47108339,-1.794903059226526
mp-3051,-2.010550493,-2.0171972065953967
mp-20727,-2.015923281,-1.9986877602617084
mp-756132,-2.444906398,-2.313060842435476
mp-752515,-2.095826011,-2.048380897621651
mp-36641,-1.879426299,-1.8795861139009782
mp-554645,-2.393619387,-2.4878382528606413
mp-675989,-1.586700353,-1.6844377188327662
mp-8973,-2.01457384,-1.9477305607070012
mp-11684,-2.034798628,-2.043890179558681
mp-13954,-2.099633253,-2.095937141977528
mp-29437,-1.962573781,-2.0182449681730987
mp-754161,-2.027797486,-1.9994409925776548
mp-2488,-2.085657213,-1.961735005053673
mp-753619,-1.863279655,-1.9199542406103753
mp-27556,-2.806877351,-2.610902084239024
mp-32465,-2.756963688,-2.645763423182693
mp-781505,-2.257275419,-2.2426338633785394
mp-686718,-3.138469771,-3.184824736077645
mp-17761,-2.02594942,-2.012922712936276
mp-546625,-1.935542273,-1.8816734181470025
mp-554788,-3.147524276,-3.081430446840922
mp-31049,-2.115205032,-2.1456820615551724
mp-709350,-2.062984244,-2.028503308071782
