Sample Name,True Value,Predicted Value
mp-3955,-3.205516833,-3.160264096745987
mp-29479,-3.705549206,-3.6233966545604033
mp-558118,-3.241093404,-3.418735026867159
mp-10392,-2.752028452,-2.7333810179832563
mp-560067,-2.910097361,-2.7411018045776534
mp-741045,-3.575129792,-3.631642290123607
mp-764957,-3.614406237,-2.918548624618403
mp-600005,-5.201832941,-4.455928553043157
mp-6599,-2.034798628,-2.0587456895824614
mp-15016,-1.98716307,-1.9385925159617141
mp-27850,-1.705533928,-2.0385575767113457
mp-707929,-3.0324553,-3.0361849658827946
mp-21166,-1.995678927,-2.137506644749825
mp-2911,-2.531653704,-2.374498253509676
mp-1707,-2.804102284,-2.703949685402092
mp-772529,-2.657578701,-2.70505976809676
mp-676975,-2.585027821,-3.0056947102190654
mp-22473,-2.135489334,-2.4881904784775344
mp-644852,-2.742323105,-2.5329564902993806
mp-5036,-2.081445836,-2.3613195256909023
mp-18577,-2.761955654,-2.630115549698966
mp-570485,-1.889410526,-1.964326763155902
mp-15750,-3.423666714,-3.366553903700989
mp-467,-2.031050646,-2.4601259564966758
mp-600220,-3.389347288,-3.1005521467669075
mp-28672,-3.258066429,-3.007578348920024
mp-6822,-3.079880328,-3.2184378596371364
mp-707854,-4.30457962,-4.469013538407713
mp-571458,-2.219683192,-2.069233150636246
mp-554206,-2.76447332,-2.8167703214323936
mp-706292,-2.943097816,-2.645262871117326
mp-29186,-2.366532251,-2.469537732159685
mp-23798,-3.171989453,-3.4019769796876744
mp-31115,-2.718968225,-2.9720896401679573
mp-760582,-3.243369216,-3.0084252637900772
mp-765294,-3.057003873,-2.8724704942209858
mp-851090,-2.821025066,-2.7071755295572992
mp-77,-2.519994064,-2.6164637104258848
mp-636839,-1.924453294,-2.141243706311433
mp-559348,-2.58670141,-2.3161257926514818
mp-24761,-3.135493072,-3.7194319645740404
mp-4591,-2.903092419,-2.6973145650556862
mp-30237,-2.295850084,-2.4867527480788665
mp-29170,-2.643975482,-2.578738440031387
mp-23295,-2.970619063,-2.992209994068842
