Sample Name,True Value,Predicted Value
mp-775843,-2.684031124,-2.6234978848595136
mp-866506,-2.021819803,-2.0975240936371122
mp-559389,-2.54668273,-2.5822363193925213
mp-561664,-1.892790268,-1.9819854179840863
mp-555016,-3.821043186,-3.7431594999673576
mp-23127,-2.274906052,-2.508515899149732
mp-2201,-1.645891696,-1.57458146163717
mp-568136,-2.344862238,-2.3190101196523667
mp-23684,-2.57024885,-2.5236934224984027
mp-779863,-2.568637362,-2.678140013082733
mp-542445,-2.806877351,-2.8835418633556773
mp-561751,-2.115205032,-2.083216848982988
mp-24239,-3.508648113,-3.329413621501018
mp-570268,-2.130182202,-1.9944142937766498
mp-571519,-2.26520073,-2.2673470792554236
mp-777804,-3.071095891,-2.963078820495596
mp-556546,-3.669600433,-3.6347709563260153
mp-766204,-3.129600192,-2.9638166204613
mp-560944,-3.790503751,-3.7560895738786995
mp-13596,-2.974697003,-2.8752768269929816
mp-779307,-2.70774548,-2.7473150922426095
mp-763560,-3.08937933,-3.0019957681815557
mp-720741,-2.95467976,-3.120215232246901
mp-600219,-2.024109185,-2.369512645911599
mp-774423,-2.527244575,-2.655889224277505
mp-581922,-3.34776043,-3.2535813323607714
mp-555159,-2.876150645,-2.6762604833861205
mp-23612,-3.703350164,-3.521396625183594
mp-865532,-2.349693157,-2.5514591515229346
mp-556112,-2.823910768,-2.943098356136525
mp-3733,-3.102376757,-3.0076544345599485
mp-625565,-2.767005668,-2.787514535862323
mp-551470,-2.090979521,-2.229080175816917
mp-23091,-2.192465446,-2.3950842878183995
mp-753842,-2.906580767,-2.6509906117166597
mp-546125,-2.779893743,-2.776601155670999
mp-755116,-2.899631868,-2.8271127399100364
mp-757917,-3.136681304,-3.505693478331748
mp-768517,-2.767005668,-2.9747681147847764
mp-17562,-2.686134256,-2.6090988541638804
mp-684017,-2.407824021,-2.5045196159557768
mp-766570,-1.995678927,-2.040125923631722
mp-770862,-2.774692528,-2.9395193755555247
mp-558713,-2.962576291,-2.9259979101136864
mp-754363,-2.602061207,-2.6326846445242547
mp-569984,-3.735198699,-3.5076605387251707
mp-27650,-3.444914019,-3.419944367611727
mp-555546,-4.029220904,-4.09504321254726
mp-604119,-4.031549741,-3.7471032713792534
mp-772160,-1.614393851,-1.712867263602197
mp-30164,-2.583360658,-2.5319945529571672
mp-557260,-2.585027821,-2.9910475547245072
mp-3009,-3.759468224,-3.578218437201287
mp-504598,-2.906580767,-2.9478943477180874
mp-23199,-2.649753339,-2.6154772292956996
mp-27457,-3.238829456,-3.4058241468660477
mp-4644,-2.326058645,-2.605261030054746
mp-569613,-1.98716307,-2.2765744051450096
mp-867590,-2.847713797,-2.751160982314281
mp-628618,-3.295855491,-3.2219225606920245
mp-8446,-2.774692528,-2.629491294566451
mp-12929,-2.892792405,-2.89335257337621
mp-2079,-2.246417477,-2.129284033881156
mp-761148,-2.186419478,-2.318558197882666
mp-849230,-3.95470441,-3.8735546751815457
mp-634105,-2.657578701,-2.604209534404704
mp-37947,-2.210419782,-2.5245707714622414
mp-720439,-3.876171217,-3.9992954661098015
mp-567744,-2.906580767,-2.8625433049637192
mp-866829,-2.287350887,-2.490196597411151
mp-4691,-2.289037472,-2.6184656149978767
mp-696815,-3.18046067,-3.2529590311705525
mp-754403,-2.575119506,-2.418283091121217
mp-556154,-2.712199837,-3.0641852611373026
mp-3080,-3.139666186,-3.1021326102231437
mp-18757,-2.350665823,-2.457695757586896
mp-17805,-2.463442441,-2.598781485445532
mp-555939,-2.598600665,-2.7217172346776186
mp-32850,-2.300162881,-2.452673794930661
mp-721707,-2.869668484,-2.75163807770251
mp-19886,-1.863279655,-1.8749275781411814
mp-768871,-2.476254443,-2.673219302264868
mp-555779,-2.903092419,-2.8542000588065117
mp-769411,-2.548214638,-2.585758092980265
mp-10086,-2.191114605,-2.3735570239112374
mp-18772,-2.974697003,-3.053452208984015
mp-683981,-2.473661628,-2.5204977116888303
mp-772869,-2.627089285,-2.5961644099375762
mp-28159,-3.00000304,-2.9592624535892615
mp-560077,-3.294998037,-3.284413025916148
mp-19931,-3.341041824,-3.3771537528994644
mp-20863,-2.106793636,-2.2482625204478097
mp-8959,-3.767021669,-3.7366510118162077
mp-673834,-2.718968225,-2.796613635217289
mp-9126,-3.150584886,-3.133166791503063
mp-758861,-4.405684812,-4.385664619891569
mp-7792,-1.801343105,-1.9075457164109122
mp-4122,-3.522888879,-3.3715248625734695
mp-756389,-2.690371323,-2.668869572294327
mp-581696,-2.196543362,-2.205009216536017
mp-768373,-2.844666089,-2.855921388857348
mp-17434,-3.612622633,-3.621898333852053
mp-706285,-2.51145027,-2.41104604574031
mp-560151,-3.066010375,-3.0166218594343297
mp-570744,-1.841637719,-1.8100794625350778
mp-29825,-4.204168627,-3.9673315682167445
mp-720430,-3.66757568,-3.4491287079642596
mp-767462,-3.673678479,-3.7218702910720234
mp-14232,-2.58670141,-2.479497885683488
mp-542453,-2.555956298,-2.7250357925884874
mp-13591,-2.995681636,-3.0057051032396607
mp-760683,-3.020454812,-3.1603550844584962
mp-542374,-1.958607591,-2.006324161749763
mp-9318,-1.970616506,-2.061929241699877
mp-778814,-2.568637362,-2.599341673705151
mp-558270,-3.432981873,-3.23937113467313
mp-27725,-1.869666457,-2.0916719440532
mp-23417,-2.244125677,-2.1036305282575105
mp-652048,-3.818176413,-3.81028854936279
mp-13973,-2.000000304,-1.8495562129560983
mp-24357,-2.995681636,-3.1110197535589794
mp-5808,-1.850781103,-1.8329430804315738
mp-695648,-4.144523246,-3.860246254837236
mp-647226,-2.09854206,-2.1884090212908243
mp-22535,-2.545156207,-2.4371576541898037
mp-775170,-2.903092419,-2.9450367790721317
mp-695843,-2.809670263,-2.8167989180971382
mp-752695,-2.286510045,-2.569603604120333
mp-706455,-4.078349934,-4.082105407163313
mp-23015,-3.095829423,-3.0299417578038517
mp-759651,-2.767005668,-2.8256538832599487
mp-19921,-2.62342432,-2.586368912678137
mp-676802,-5.247721015,-5.194004148784621
mp-767395,-2.669587648,-2.7507881272191668
mp-604120,-4.231413692,-3.837841223615024
mp-559932,-2.935544632,-3.255785990062386
mp-40830,-2.603801874,-2.8063105954162717
mp-777480,-2.60032749,-2.492188847448067
mp-6978,-2.408936173,-2.4882628609343516
mp-14526,-2.844666089,-2.9455007757447764
mp-5146,-2.54975197,-2.5946287703702104
mp-7074,-2.199283403,-2.23869624323477
mp-16402,-2.630785442,-2.7018433094447123
mp-556588,-3.213963766,-3.1721098954126266
mp-774586,-2.514279567,-2.527865803978834
mp-6694,-2.510042505,-2.4306936145331446
mp-569427,-2.863281652,-2.888861727463737
mp-31016,-3.003491393,-3.061795352745036
mp-675701,-2.211125378,-1.9991116979143682
mp-555088,-2.573489878,-2.4854737950609467
mp-760091,-2.701148452,-2.472700792728762
mp-29688,-3.939328596,-3.9760561019151957
mp-19407,-2.141463223,-2.2304789174547293
mp-30219,-3.420224403,-3.3875755284443234
mp-540545,-2.872897471,-3.026202731501908
mp-667343,-2.591761223,-2.7572331749285803
mp-707839,-3.67163467,-3.5191302104831053
mp-675539,-2.879428372,-2.8878104698835982
mp-776689,-2.703336345,-2.907843563744201
mp-4200,-2.154902394,-2.342831136234494
mp-698396,-1.966576526,-2.017258491521212
mp-766275,-2.939304804,-2.87655081945273
mp-28278,-2.363512806,-2.62227306943071
mp-31020,-2.924455594,-2.7062043390334205
mp-558964,-2.785158006,-2.756673560453331
mp-3051,-2.860123117,-2.799951543378214
mp-559755,-2.832684733,-2.6625950406138053
mp-769319,-2.53461819,-2.5364097770823117
mp-734019,-3.400124566,-3.333675208350906
mp-662823,-2.61261142,-2.76544721337664
mp-26675,-2.667562954,-2.6164846698231754
mp-6217,-2.076238401,-2.2428896353035253
mp-758253,-2.869668484,-2.797704333483329
mp-676563,-2.06752659,-2.2325969188791865
mp-7831,-3.148745933,-3.1666721379700045
mp-768995,-3.030121614,-3.0359577766071504
mp-562394,-3.053551174,-3.5141517985188306
mp-29236,-2.448550856,-2.567530225817084
mp-775918,-2.115205032,-2.151735751016587
mp-27234,-2.642066486,-2.538362376233448
mp-754665,-2.368556941,-2.432474121444128
mp-2784,-2.818158412,-2.678446061313368
mp-640357,-3.712213941,-3.567756401853037
mp-696794,-4.120944281,-3.799384060570897
mp-776268,-2.278189962,-2.2022351220967336
mp-24465,-3.76197147,-3.6962988314117178
mp-754637,-2.610835157,-2.750159160685109
mp-4236,-3.139666186,-2.9085257656438674
mp-864891,-3.625264481,-3.5456677242611185
mp-776356,-2.732829915,-2.5376716061175353
mp-720825,-3.690384736,-3.795190097546633
mp-720895,-4.690518881,-4.448207934756254
mp-22951,-2.638273486,-2.707652305840382
mp-559748,-3.06500038,-3.1865213560116707
mp-6684,-3.050125708,-2.9987822276469367
mp-9672,-1.958607591,-1.906506611534344
mp-753673,-3.151199605,-2.8110752185830847
mp-735485,-3.489464373,-3.6688745898147883
mp-581862,-4.128467927,-4.055112084379289
mp-765457,-2.665547656,-3.140545248804019
mp-556258,-3.051101659,-3.336515249043903
mp-504601,-3.692518938,-3.559648736281268
