Sample Name,True Value,Predicted Value
mp-29391,-2.1864194779835646,-2.24788091120987
mp-27954,-1.9172148812448147,-2.016174603643533
mp-23151,-2.0390541366107806,-2.0447379147298195
mp-37605,-1.806875596875773,-1.8763584500535582
mp-243,-2.1018239013315703,-2.1542689625992906
mp-562920,-2.0204519436648307,-2.032951589432733
mp-568244,-1.866461315533982,-2.2573071455300724
mp-552857,-1.9100951361595317,-1.9043586954904819
mp-6127,-3.4001245664123325,-3.0911377160300075
mp-5259,-2.0472078959144437,-2.0496184926457843
mp-555359,-2.1655797411043816,-2.15769156268814
mp-15922,-2.2262140667951456,-2.374367837139644
mp-28796,-2.0136765367319374,-2.0908295994675004
mp-561291,-2.046240646160462,-2.0459374244766826
mp-8799,-1.9746944217983378,-1.9693026275416292
mp-23504,-1.9956789269962798,-2.00938078225933
mp-29475,-2.4841270828489685,-2.310819178025568
mp-9179,-1.7495801687899983,-1.9207796580712002
mp-707491,-2.721247999035249,-2.6335429323977397
mp-677095,-1.9788109905297508,-2.0057042150233437
mp-35751,-2.318759396346582,-2.230090548960051
mp-707337,-2.033389341300488,-2.0382147788939387
mp-7908,-1.7189667921655463,-1.9062230211946178
mp-561254,-2.0452755464098282,-2.0475457986763486
mp-5072,-2.09420449764754,-2.009589556838792
mp-709066,-2.0287244757930027,-2.0524727576704853
mp-541040,-2.0496354868141893,-2.054770225402765
mp-643257,-2.108462932251956,-1.9293267558658043
mp-9250,-1.9746944217983378,-1.9750842052427169
mp-22255,-1.982966953313692,-1.905352636911511
mp-13897,-4.974981027982186,-4.579706848679349
mp-7724,-3.2168163173672206,-3.2635643968145795
mp-571587,-1.9746944217983378,-2.02845210114618
mp-581833,-1.9625737809048023,-2.101789606403748
mp-3595,-2.053548078898482,-1.9334033210311405
mp-24424,-2.0366848198011462,-1.9739353223423146
mp-558314,-1.9871630701516896,-2.0018164153314126
mp-31367,-2.220404013993877,-2.1854368916506743
mp-866922,-2.102373293818066,-1.9974626826765949
mp-19956,-1.9746944217983378,-1.9917849123954097
mp-27355,-2.050610334580064,-1.92422749942014
mp-22909,-2.0472078959144437,-1.9948474234439943
mp-720526,-2.161151349588828,-2.129795803041267
mp-552028,-2.007005210949437,-1.8473235385958513
mp-5388,-2.188425463145527,-2.0694282818297105
mp-697135,-2.066007189907172,-2.057588784668703
mp-552292,-1.8996296962747796,-1.8893758466449477
mp-19507,-2.295850083803058,-2.292688096757741
mp-21526,-1.6716205397259096,-1.8768589313170847
mp-27211,-2.2365725301488286,-2.19683433647629
mp-776104,-2.0034886344579084,-2.0553527775291536
mp-27824,-3.1278478076384615,-2.7585272653176256
mp-4961,-2.040005495340191,-1.9349920002162815
mp-6189,-3.403410600426097,-3.0803852229905253
mp-19197,-2.2083098421248932,-2.194578020533579
mp-40143,-2.841639619158863,-2.5449766885548257
mp-561827,-2.117475860435487,-2.0796323221086426
mp-19765,-2.00305105814929,-1.9364639273145516
mp-27293,-2.0343283580110962,-2.0574613467793483
mp-23520,-1.8538721811472947,-2.146374590911803
mp-12240,-2.066007189907172,-2.0867805927515097
mp-13170,-3.4659827831593155,-3.2804312293167843
mp-19027,-2.7878142610723335,-2.858165409733918
mp-15983,-2.0525666211221862,-2.281247723088118
mp-35787,-2.0819700301573256,-2.0463867592710816
mp-12867,-1.9746944217983378,-1.9771334946658208
mp-554710,-2.841639619158863,-2.6331652417643108
mp-4888,-2.2269458196582077,-2.128177894403076
mp-559539,-3.0428751574890893,-3.0649117111812814
mp-3992,-1.9788109905297508,-1.9831640507992305
mp-4024,-1.9355422730743355,-1.8778023443037215
mp-9194,-1.9665765264872554,-1.9557137363893113
mp-569679,-1.7619540727261263,-1.8589998842633095
mp-37478,-2.1791424702240154,-2.161771743822201
mp-557724,-2.3053954151542473,-2.169017247930367
mp-505357,-1.9746944217983378,-1.9409608060454384
mp-644494,-2.1232054277267975,-2.0229525610996606
mp-6770,-2.2225736855230642,-2.0990982373986964
mp-14715,-2.772115093856607,-2.6709036398621913
mp-760417,-1.9956789269962798,-1.9753972154479529
mp-695514,-1.9355422730743355,-2.018291784765749
mp-698375,-2.301900063231163,-2.305277919610108
mp-568008,-2.2708357771759995,-2.5241830412692314
mp-7457,-1.8927902675048591,-1.9636846689133367
mp-673656,-2.0705814316544258,-2.076306541239483
