Sample Name,True Value,Predicted Value
mp-12385,-1.8477118700888824,-1.9360956373587865
mp-23484,-1.6197888846692428,-1.6487296486882042
mp-31212,-2.060980573834591,-2.053333480546113
mp-675192,-2.982969584145775,-3.0394198235318863
mp-557930,-2.0525666211221862,-2.0396849337245175
mp-642735,-2.0371576501614963,-1.9749637384312029
mp-771260,-2.0705814316544258,-2.0643171231348023
mp-756132,-2.4449063978145773,-2.376826458135981
mp-675989,-1.5867003533769033,-1.636640140849684
mp-753619,-1.8632796549023465,-1.9137451942548593
mp-546625,-1.9355422730743355,-1.905924018690359
mp-766938,-2.1499671713874116,-2.2663936897777925
mp-38240,-2.105130730269137,-2.0655314357512427
mp-673650,-2.0452755464098282,-2.0522183983079474
mp-30164,-1.8794262993077409,-2.023524443284267
mp-560835,-2.44249364012308,-2.3828371755954496
mp-618991,-2.0545317596782966,-1.987697402747807
mp-34932,-1.9914001260453345,-1.9623945048784905
mp-16587,-2.247952090064293,-2.162901271607568
mp-771976,-2.010105747162995,-2.0196460512978036
mp-37263,-2.0665130663196516,-1.9784338774062913
mp-8959,-3.134308081792737,-3.3499449918474435
mp-23541,-1.850781102607243,-1.9540179049633597
mp-36592,-2.156145012539097,-2.075670155531711
mp-676156,-3.4672545362274976,-3.4057855822964767
mp-5999,-2.0039266527671495,-1.9236890305610728
mp-28274,-2.092589015245382,-2.0858236188742567
mp-4342,-1.7746908989560712,-2.115985237986421
mp-550433,-2.0000003040062437,-1.9858825867674015
mp-559932,-2.2380726879624944,-2.197486089917069
mp-560043,-2.2604282097455948,-2.2594889447892084
mp-560449,-4.721406431711678,-4.576931268856556
mp-22987,-1.7423215929592244,-1.9371820139397689
mp-849798,-2.0452755464098282,-2.050470924572457
mp-561194,-2.605549544832929,-2.4875247105654346
mp-5860,-2.105684324763103,-2.0343361165033853
mp-28067,-2.074172785624275,-2.1347218012931335
mp-556048,-2.0000003040062437,-1.9396550769164564
mp-697085,-2.0287244757930027,-2.029670243991386
mp-850274,-1.9136404181854296,-1.9395287493173783
mp-4255,-1.8477118700888824,-1.858148583181298
mp-13591,-3.193824776121873,-3.1571193941958184
mp-29287,-3.036687797022801,-2.9790572480850286
mp-8016,-1.9546772948794895,-1.9037598727707907
mp-676077,-3.0043678757799173,-3.1221581161155756
mp-696597,-2.1765262274659114,-2.1850406069897397
mp-23417,-1.7695512578271768,-1.8747162803315522
mp-3813,-1.6989701560030956,-1.779214987059812
mp-29136,-2.055517673461657,-2.0076000006379604
mp-16929,-2.2083098421248932,-2.195328062847301
mp-23432,-2.0472078959144437,-2.0395374693322643
mp-5425,-2.0381048578845555,-1.9583313886025326
mp-13151,-1.8927902675048591,-1.887108641031844
mp-540895,-2.469801198774193,-2.3966256630387184
mp-654105,-2.3429448166175586,-2.3149930985655147
mp-32645,-2.035269408724786,-2.0811450089647274
mp-606393,-2.782517898465348,-2.6495242160929484
mp-22917,-1.9706165061179783,-1.9534978155052793
mp-531006,-2.450997596775248,-2.6211493032952626
mp-7618,-2.0486628210517406,-2.102728957291404
mp-23195,-2.019088379665881,-1.9398097469608029
mp-754736,-2.008331302894237,-2.0109080653791844
mp-676665,-2.17848693053137,-2.0936240733751585
mp-561384,-2.4202172030168874,-2.4673120733358447
mp-570922,-2.0273347317553254,-2.0239678949447906
mp-540995,-2.1420651566453324,-2.345299305044134
mp-5990,-2.0867164691920235,-2.113096135749421
mp-555105,-2.269218289067537,-2.346975440224424
mp-28920,-1.9100951361595317,-1.8588947825842375
mp-568228,-3.017279775446871,-3.0721312750661505
mp-556645,-2.403403673636472,-2.4518068813047975
mp-5884,-2.056011470854674,-2.0333576243675124
mp-3667,-2.1307686908192984,-2.1146562052361038
mp-29254,-2.026410700067217,-2.0392440346937675
mp-34376,-1.9136404181854296,-1.9877084419679345
mp-686526,-2.039529554975086,-2.0488821777158996
mp-754605,-2.020907417999212,-1.9858656465102447
mp-23101,-1.7851563373696353,-1.7175920922401533
mp-28577,-2.4559328245898326,-2.332994444096236
mp-557738,-2.069051325396556,-2.023010583593353
mp-662553,-1.8761485875761035,-2.051187335463695
mp-555508,-2.031984613240314,-2.0331956145593746
mp-8666,-2.0000003040062437,-2.0285714907258976
mp-10322,-1.7399287790363713,-1.6625442755857225
mp-695892,-2.3160534984127485,-2.310396174196867
mp-556546,-3.6968190679468353,-3.6307810844241315
mp-571166,-2.078834313515905,-2.027322668484932
mp-23072,-1.8013431054089903,-1.9440724635722961
mp-22271,-2.995681635972185,-2.902311005989575
mp-30237,-2.3819526355455265,-2.4308603851206847
mp-557035,-2.042393048177789,-2.074198036060427
mp-34141,-2.116907038913974,-2.139124916873846
mp-23710,-1.8268139360310125,-1.8664159403158853
mp-676023,-2.3288278052012026,-2.306804137009172
mp-5914,-2.035269408724786,-2.05900073697658
mp-662556,-2.6925054595697606,-2.6713314667692565
mp-38394,-1.9914001260453345,-1.9155010692338217
mp-22951,-2.0199969463311507,-2.0195212119674113
mp-5256,-1.9956789269962798,-1.9298320667600652
mp-545728,-1.8927902675048591,-1.911521243599142
mp-34116,-2.1243604678019694,-2.047819137897927
mp-4586,-1.7851563373696353,-1.8730570580777475
mp-34770,-4.106832124205192,-3.9565268504329367
mp-695815,-2.72353980450106,-2.506355982621928
mp-568742,-2.0034886344579084,-1.9216371258174174
mp-23562,-2.1354893343091295,-2.0921397141118114
mp-29273,-1.9956789269962798,-2.011983444107764
mp-861871,-1.5543959059627868,-1.682633035709
mp-600016,-2.080399341831847,-2.0529896011421775
mp-32959,-2.030584414186966,-1.9946785819009782
mp-560571,-2.542119162256125,-2.448676599835927
mp-19179,-2.640165845539747,-2.5617799217236135
mp-677072,-1.9546772948794895,-1.8996192057186467
mp-684911,-2.002177224533914,-1.9936305815637765
mp-726,-1.9469218260320633,-2.029791189422081
mp-17895,-2.0619812536415925,-2.0759868796588177
mp-15703,-2.0004348163105545,-2.0075889881118405
mp-643895,-1.9208190073385216,-1.9481525507235091
mp-675067,-1.9956789269962798,-1.9850084068780627
mp-556194,-1.7594509267162064,-1.805669729490662
mp-556364,-2.033389341300488,-2.0280470032930062
mp-558317,-2.1135096698133453,-2.131452252502217
mp-33606,-2.0540396402879475,-2.0658561209432493
mp-16452,-2.0540396402879475,-2.037148121651507
mp-9490,-1.9788109905297508,-1.9399420658210884
mp-29873,-2.0371576501614963,-1.9996356853385973
mp-28855,-1.9871630701516896,-2.0225056275568765
mp-19420,-2.061480625237627,-2.0999154687048076
mp-30274,-2.030118681837354,-2.0092007400690863
mp-866482,-1.9208190073385216,-1.8879358473252292
mp-323,-2.903092419055909,-2.7727533560994413
