Sample Name,True Value,Predicted Value
mp-29391,-4.017308247505688,-3.7778954316175497
mp-27954,-2.36451695671848,-2.328364404556028
mp-23151,-3.6840443415351674,-3.5176359431095703
mp-37605,-1.9546772948794895,-1.881863930859026
mp-243,-2.8996318677538246,-2.561784414718231
mp-562920,-3.459679286072149,-3.49509291508794
mp-568244,-2.5199940636440052,-2.2728381256655954
mp-552857,-2.47625444319897,-2.857924256898374
mp-6127,-3.50585514989576,-3.4149761024261838
mp-5259,-3.1101421966225344,-3.1615558350040933
mp-555359,-2.5883814723199605,-2.648066338022905
mp-15922,-2.595167479876205,-2.407786097184868
mp-28796,-2.4907984191964925,-2.3461365903047198
mp-561291,-2.6819381265704276,-2.857610981104095
mp-8799,-2.8860589865150468,-2.777447380111191
mp-23504,-2.690371323228722,-2.5621309867925177
mp-29475,-2.782517898465348,-2.8186052160910866
mp-9179,-2.34198927114587,-1.9799305223840666
mp-707491,-2.300162880799101,-2.8717657104477667
mp-677095,-3.2612249895926886,-3.1445464245976384
mp-35751,-2.5128626152491345,-2.503090098975848
mp-707337,-3.5528528264977757,-3.497786924859833
mp-7908,-2.3178555560298517,-2.436546789053084
mp-561254,-3.468530024449026,-3.5700903119694742
mp-5072,-2.8239107677123116,-2.6452580154684555
mp-709066,-4.974981027982186,-4.3818371642607294
mp-541040,-3.093130232130801,-2.8918367294694156
mp-643257,-3.1456982098548996,-2.68743368172371
mp-9250,-2.6736655729935817,-2.7698483662565376
mp-22255,-2.3736603516912274,-2.232834689168256
mp-13897,-5.88505558394133,-4.515615811000655
mp-7724,-2.344862237580471,-2.2572820752760765
mp-571587,-3.096913813093342,-2.93593827272248
mp-581833,-2.665547656438102,-2.5103736522869555
mp-3595,-2.795881917042513,-2.2385840077887313
mp-24424,-2.385103521879601,-2.521660767623362
mp-558314,-2.739930282366604,-2.7265479761026286
mp-31367,-2.987165726525924,-3.1461669319490753
mp-866922,-2.8664633273449995,-2.699190672436485
mp-19956,-2.4001176918351876,-2.4415810206871176
mp-27355,-3.182439257210907,-2.894618700082266
mp-22909,-2.7328299152795283,-2.7269674347544117
mp-720526,-3.3767579483016905,-3.3643009431499626
mp-552028,-1.779892095136266,-2.1572191190362977
mp-5388,-2.454693750115216,-2.542991732123009
mp-697135,-3.2636090761300895,-3.1397184228779382
mp-552292,-2.5086392866660656,-2.6369761634492797
mp-19507,-2.958610078700952,-2.9336590719199647
mp-21526,-1.850781102607243,-1.8992299285153658
mp-27211,-2.7670056678173087,-2.634664545651768
mp-776104,-3.3353646042692664,-3.3965280347820648
mp-27824,-2.8996318677538246,-3.0763792233916694
mp-4961,-2.7931760122409828,-2.603114076712355
mp-6189,-3.1505848859666505,-3.448364175630155
mp-19197,-2.978813596306197,-2.791872481602021
mp-40143,-2.603801873909899,-2.9331514463485746
mp-561827,-2.5376030502982903,-3.4672410037697747
mp-19765,-2.835649226238808,-2.729770748456658
mp-27293,-2.029653449488492,-2.0073779702985304
mp-23520,-2.2125400209319914,-2.204053463949988
mp-12240,-3.1891004177292372,-3.4214889730934535
mp-13170,-1.86966645718979,-2.1774559163573266
mp-19027,-2.835649226238808,-3.093946832085129
mp-15983,-2.4271292108513953,-2.7909529154188464
mp-35787,-2.3205727389965682,-2.3281824180755732
mp-12867,-2.86328165202857,-2.795631778004618
mp-554710,-2.6345133253732587,-2.892423280527175
mp-4888,-2.300162880799101,-2.262054631005728
mp-559539,-2.8961986727557094,-2.7574148226778954
mp-3992,-2.2247542500777104,-2.411615247186915
mp-4024,-1.931814397834383,-1.967805227651373
mp-9194,-2.5086392866660656,-2.4249256478833225
mp-569679,-2.306273666397475,-2.176018772745928
mp-37478,-2.2941368864376908,-2.554293462025993
mp-557724,-3.301036076165312,-3.1662678611494606
mp-505357,-3.4100582141381204,-3.034953212943594
mp-644494,-3.2549306757706975,-2.773780669726504
mp-6770,-2.0404819567060963,-2.126668308984096
mp-14715,-4.049669228742905,-3.901865635317652
mp-760417,-2.6861342557604573,-3.3425126142196
mp-695514,-2.71444426616419,-3.038993073059076
mp-698375,-4.060515691639983,-3.6935415873819792
mp-568008,-1.9469218260320633,-2.7196144706838137
mp-7457,-2.2518125158684414,-2.4752574657109467
mp-673656,-2.321482258329896,-2.309003181192285
