Sample Name,True Value,Predicted Value
mp-12385,-2.4294578772215676,-2.5283008057163285
mp-23484,-1.625251782272651,-1.8482567189391872
mp-31212,-3.294998037217678,-3.136263899836243
mp-675192,-2.1420651566453324,-2.1679553238982083
mp-557930,-3.01954528799216,-2.8895051844507393
mp-642735,-3.364523290236116,-3.067762001685603
mp-771260,-3.1146427384312867,-3.03940821654682
mp-756132,-2.5128626152491345,-2.5349214036938403
mp-675989,-1.9706165061179783,-2.006901296577477
mp-753619,-2.215383206189346,-2.5265138233452307
mp-546625,-2.543635029959823,-2.3875742116549046
mp-766938,-2.4934959150606515,-2.675905136310314
mp-38240,-2.3736603516912274,-2.438392298044195
mp-673650,-2.3233070300133916,-2.585357419187314
mp-30164,-2.583360657776035,-2.4495895872567566
mp-560835,-1.9546772948794895,-2.0468903256600055
mp-618991,-2.4801729244485156,-2.4451780297050703
mp-34932,-2.5686373619501164,-2.711253801991174
mp-16587,-2.7619556542644648,-2.5719479983477407
mp-771976,-3.886080033717125,-3.5747055312700144
mp-37263,-2.1694117800491792,-1.9843332627935242
mp-8959,-3.767021668500592,-3.611436030174261
mp-23541,-2.586701409770457,-2.3479789387679255
mp-36592,-2.4609247796313434,-2.4692384684027626
mp-676156,-2.00305105814929,-2.0823061094803803
mp-5999,-1.7878125825068727,-1.9709486926471442
mp-28274,-3.391481453900439,-3.4238953389724647
mp-4342,-2.4078240205099997,-2.5230735754411455
mp-550433,-2.71444426616419,-2.571159347959601
mp-559932,-2.935544631750472,-3.2380768649790843
mp-560043,-3.1378727969285594,-2.9347951994575774
mp-560449,-4.7078990618761845,-4.284892554519411
mp-22987,-2.160522392951218,-2.3232594031474187
mp-849798,-3.651708769776182,-3.6144348198663483
mp-561194,-2.1655797411043816,-2.1640654316102848
mp-5860,-2.8961986727557094,-2.788240699404345
mp-28067,-2.2557075647591516,-2.134986761992686
mp-556048,-3.481495272404897,-3.432163669405059
mp-697085,-3.151199605057288,-3.103368290702102
mp-850274,-2.4436983434623127,-2.5000558494665794
mp-4255,-2.583360657776035,-2.2218582633606005
mp-13591,-2.995681635972185,-3.0010226886574327
mp-29287,-3.2225782532573284,-3.1508512499094676
mp-8016,-2.7189682246580866,-2.678735683469387
mp-676077,-2.2083098421248932,-2.2749778509525758
mp-696597,-2.679855168577256,-2.512977204877503
mp-23417,-2.2441256773444276,-2.035332481595118
mp-3813,-2.322393685668825,-1.9295300087569913
mp-29136,-2.809670263334348,-2.8407204027247763
mp-16929,-2.0899098279314487,-2.1302201967305447
mp-23432,-2.850783043077246,-2.7243883709765644
mp-5425,-2.4596714010992615,-2.536577803528111
mp-13151,-2.0705814316544258,-2.0975999934176364
mp-540895,-3.0491519453373885,-2.8807459891619933
mp-654105,-2.4962102699983415,-2.7320551838325233
mp-32645,-2.2823300793876267,-2.284787057781244
mp-606393,-2.2572754187401984,-2.6891668756364613
mp-22917,-2.8181584120449825,-2.7118093550380604
mp-531006,-3.2692233747084543,-3.3605465729865958
mp-7618,-3.0746915195392086,-3.1969904054199034
mp-23195,-2.9172171424546853,-2.7508743475089585
mp-754736,-2.1001798808794354,-2.1489067698183355
mp-676665,-1.8124794764066272,-2.3264825382238734
mp-561384,-2.6615449005258034,-3.0116194391625406
mp-570922,-3.123786201653617,-3.174671458818531
mp-540995,-4.228463961325282,-3.964591027745766
mp-5990,-4.197958695142139,-3.6533704772121
mp-555105,-2.779893743366135,-2.912051650865086
mp-28920,-1.772113474885325,-1.7995404075775576
mp-568228,-2.3045189369160326,-2.356272046691001
mp-556645,-2.211125378319204,-2.601825365121006
mp-5884,-2.826815772314441,-2.8719798803912853
mp-3667,-3.024112077607424,-2.9432172686277083
mp-29254,-1.906578560166309,-2.056375795356822
mp-34376,-2.4497725033561615,-2.5311658741860152
mp-686526,-3.0952882408961715,-3.192238102941772
mp-754605,-2.354578418797236,-2.4947146122969666
mp-23101,-2.1505810159947494,-2.095068666137087
mp-28577,-4.083056759176744,-3.8131166951682394
mp-557738,-2.991402808462552,-2.8973921133968847
mp-662553,-2.229885221139759,-2.288838029007168
mp-555508,-2.5287093160489755,-3.122925464245331
mp-8666,-2.798604787992496,-2.827847651942625
mp-10322,-2.0985420604382323,-2.04507350476979
mp-695892,-3.496218847077521,-3.3681594996384288
mp-556546,-3.669600433126624,-3.420138743385984
mp-571166,-2.4248129635277134,-2.41884931047543
mp-23072,-2.4559328245898326,-2.310744189266391
