Sample Name,True Value,Predicted Value
mp-680286,-2.9172171424546853,-3.2474160260407507
mp-683791,-2.876150644766446,-3.0055227357473893
mp-676002,-2.084073156939644,-2.1974375184696777
mp-849391,-2.058986104231683,-2.0102329713758493
mp-541352,-2.6345133253732587,-2.4181280724275434
mp-765511,-3.638285381859288,-3.130538373011852
mp-753945,-3.1897721880028547,-2.834622505253124
mp-720849,-2.084073156939644,-2.575963434645505
mp-648164,-2.7258437680569334,-2.6439967240858047
mp-625320,-2.030118681837354,-2.031840396139483
mp-775843,-2.1001798808794354,-2.106816470818179
mp-28382,-2.024568512699735,-2.038173133706641
mp-759763,-2.7594524991652247,-2.8327672121945215
mp-626735,-2.056011470854674,-2.0503040219041693
mp-28293,-2.7670056678173087,-2.5319772877836804
mp-653243,-3.524338979548369,-3.2352692639254736
mp-780274,-2.0861865187393507,-2.0761563085909978
mp-23273,-1.9871630701516896,-1.8481184340702383
mp-561974,-2.421361592127752,-2.3221133405666787
mp-555407,-2.583360657776035,-2.4038021254780464
mp-626435,-2.030118681837354,-2.0307880145625368
mp-28559,-2.0496354868141893,-2.046191889052089
mp-691091,-3.6090772511488938,-3.4382138639471806
mp-762012,-2.772115093856607,-2.288410965658833
mp-756755,-2.1290115951605384,-2.070938819291968
mp-10560,-2.2628079137881536,-2.150433133196436
mp-557441,-2.7281600187043105,-2.5064210143371595
mp-693763,-2.069051325396556,-2.053630425099872
mp-778756,-2.2464174771663576,-2.5058807342962153
mp-626165,-2.0675265901475015,-2.0718940871176557
mp-698396,-1.9706165061179783,-2.353117386992283
mp-626562,-2.4377079688943266,-2.2829470399472833
mp-693753,-2.039529554975086,-2.0080849282992066
mp-753532,-2.4078240205099997,-2.028660048641928
mp-23792,-2.0315173778884423,-2.0396458262918298
mp-555960,-2.1624120038696106,-2.5121618538558677
mp-680436,-1.9625737809048023,-1.89232220236611
mp-695984,-2.920821287391867,-2.6899917044332127
mp-775820,-2.1765262274659114,-2.1833406013753476
mp-773980,-2.795881917042513,-2.5424401609358878
mp-556369,-1.9956789269962798,-1.985772601961805
mp-766175,-2.0920518537803074,-2.072733541048238
mp-775205,-2.8728974707084447,-3.0088760200675067
mp-770862,-2.946924247328135,-2.93328177501185
mp-559955,-2.603801873909899,-2.3992242921818896
mp-558279,-2.0574962410391078,-2.113768421569453
mp-757885,-2.0227341083437826,-2.089196006049706
mp-780444,-3.0545348617952808,-2.0939732253183294
mp-782009,-4.935804164362413,-4.680483096221673
mp-760994,-2.00568315501038,-1.970880937296013
mp-627077,-2.0250283280405195,-2.020003552637974
mp-559795,-2.0096614558448325,-2.0105889854371966
mp-556588,-2.0315173778884423,-2.083338246474561
mp-626062,-2.9136426608607313,-2.810691631729005
mp-554421,-2.136677556446963,-2.1573652447285094
mp-554014,-2.383000393314963,-2.348408318443945
mp-28711,-1.821023254328615,-2.094222706967327
mp-770534,-2.8124812530703123,-2.597751064031498
mp-770876,-2.694650135983487,-2.891849290952261
mp-28623,-2.0227341083437826,-2.017061811436848
mp-559755,-2.3840506840929656,-2.2948436520815982
mp-27178,-2.0004348163105545,-2.0225299271451846
mp-559268,-3.7328447050750935,-3.354373154679929
mp-10621,-1.9136404181854296,-2.0005256700474066
mp-694958,-2.269218289067537,-2.995443073674624
mp-759486,-3.1924697073239057,-2.6983345754164065
mp-707840,-2.047692329292696,-2.049792724809557
mp-653267,-3.7905037512163724,-4.02922430099817
mp-39123,-3.5638484888987163,-3.347486774271412
mp-756721,-2.105130730269137,-2.1459039252678616
mp-778616,-2.2139592875553387,-2.6666837511108312
mp-756914,-2.552843054737563,-2.4365948842367042
mp-686588,-2.2798412760596958,-2.254316017443605
mp-740710,-2.065501902495653,-2.060663212384486
mp-778633,-2.17848693053137,-2.2845344148702957
mp-676813,-2.0231919836816985,-2.0449491240735043
mp-769511,-2.9507846913489924,-2.9813346652260657
mp-24345,-2.1817745680156513,-2.223380958359305
mp-708015,-4.17461932625156,-4.004469645044981
mp-774105,-2.039529554975086,-2.046551098982511
mp-677246,-2.595167479876205,-2.601610851325245
mp-694884,-3.534627560293891,-3.6250607483880297
mp-776214,-2.096367863533421,-2.084766707594032
mp-674363,-2.7447291839262697,-2.6725540277601345
mp-703521,-2.2076088013327575,-2.171162939970064
mp-763560,-3.1090243105514777,-3.277150128512782
mp-699447,-2.0675265901475015,-2.0880342653636066
mp-722316,-2.6819381265704276,-2.698598393116456
mp-627442,-2.033858595655408,-2.04523744627229
