Sample Name,True Value,Predicted Value
mp-625860,-2.100727196362259,-2.092246848655277
mp-676951,-2.754489059311033,-2.5679782736266947
mp-686718,-3.1384697706726388,-3.18177855736283
mp-17761,-2.025949419724257,-2.0391740317217604
mp-572409,-2.70114845167172,-2.805412682902318
mp-720112,-2.0736579131969943,-2.021263586290042
mp-676693,-2.232102902782114,-2.316289795498755
mp-532803,-2.663541666952201,-2.7010649014730697
mp-767162,-2.6882476219593,-2.6115424894941275
mp-773074,-3.0985454933973986,-2.9420176321152294
mp-765294,-2.1791424702240154,-2.254705603203719
mp-706426,-2.0472078959144437,-2.026742531221323
mp-776502,-3.4621897168614946,-3.3519986335096066
mp-696736,-2.072116948921208,-2.0987417860643656
mp-720825,-2.060481096432482,-2.038170323108609
mp-631378,-2.419075821917103,-2.3005514768537947
mp-23724,-2.1001798808794354,-2.1017160248911124
mp-615529,-3.3001683420291625,-3.2097873875555165
mp-775783,-2.1029233823057956,-2.084766707594032
mp-34580,-2.160522392951218,-2.224281434231605
mp-626542,-2.841639619158863,-2.722934925601165
mp-758269,-2.01502318870626,-2.0302437053952045
mp-780060,-2.0969103930078377,-2.0813281184657626
mp-707160,-2.47625444319897,-2.520147322126985
mp-567743,-2.209012016919595,-2.1703128251792014
mp-754500,-2.0525666211221862,-2.0683262891784016
mp-780204,-3.4989503282048604,-3.4885911779212027
mp-721067,-2.06248245904649,-2.045196219993213
mp-626103,-2.0409589420728076,-2.03706396345398
mp-693340,-2.0491488814325383,-2.083212115252766
mp-720205,-2.3124716632430307,-2.4568946645573626
mp-766881,-2.462181786178104,-2.486422429567299
mp-733858,-2.253366345814208,-2.2494297987206
mp-626340,-2.3798646740321168,-2.3859269709499586
mp-695582,-1.896196518374977,-1.9779643203294868
mp-27896,-2.060980573834591,-2.1204632736242
mp-22551,-3.134308081792737,-3.2532894402396297
mp-30942,-2.0545317596782966,-2.083353819227481
mp-685043,-2.326058645081276,-2.1875225547444352
mp-626829,-2.7328299152795283,-2.6233983303832176
mp-674352,-1.9746944217983378,-2.0504847463705356
mp-683652,-2.8696684839031548,-2.930494526273674
mp-684617,-2.0904443453919566,-2.0667517913258857
mp-8190,-1.8538721811472947,-1.893986430857729
