Sample Name,True Value,Predicted Value
mp-680286,-3.4056151855940215,-3.6681522466211267
mp-683791,-3.3196708337298326,-3.3367394634884224
mp-676002,-3.7281746503169577,-3.4162242387047224
mp-849391,-3.17522808901393,-3.310981673468644
mp-541352,-2.8153105559727623,-2.636257747544858
mp-765511,-2.698971524033346,-2.928409532618074
mp-753945,-3.381959228510869,-3.390492866049657
mp-720849,-2.2083098421248932,-3.048517718071314
mp-648164,-2.772115093856607,-2.843372545107075
mp-625320,-3.041917499098115,-2.916964252180878
mp-775843,-2.684031123631167,-2.599159738527415
mp-28382,-3.643987535547352,-3.802950124957517
mp-759763,-3.3419952845049585,-2.9937802765613397
mp-626735,-3.3851101628524263,-3.1406205306886665
mp-28293,-3.5361174580719528,-3.475260883379354
mp-653243,-3.8327033461820155,-3.767057154722965
mp-780274,-2.5783972245399256,-2.497619409422963
mp-23273,-2.946924247328135,-2.878389048090427
mp-561974,-2.3010306040127,-2.3789290235709393
mp-555407,-2.84466608892225,-2.554356798437955
mp-626435,-3.2533712491728344,-3.1066245679853455
mp-28559,-3.041917499098115,-3.109359011665577
mp-691091,-3.1146427384312867,-3.1854760890694283
mp-762012,-2.798604787992496,-2.3517611476416818
mp-756755,-3.048665881529389,-2.8386949909837225
mp-10560,-2.358526583078493,-2.1928474557133306
mp-557441,-2.8696684839031548,-2.864860520034603
mp-693763,-4.251866263203447,-3.7134590288216707
mp-778756,-3.514288508954736,-2.946959876755847
mp-626165,-4.407901000890968,-3.718076322364123
mp-698396,-1.9665765264872554,-2.4942597095972374
mp-626562,-3.348728771904295,-4.235356977186636
mp-693753,-3.7644892281350932,-4.655369809268714
mp-753532,-2.4975738359951944,-2.2761270865270506
mp-23792,-3.8508024482541554,-3.426829707740663
mp-555960,-4.31342628820845,-4.540015780240447
mp-680436,-2.1319440499326308,-2.308693433773967
mp-695984,-3.107909294532067,-3.1074677720629813
mp-775820,-2.286510045020006,-2.305271335129705
mp-773980,-2.9244555936809395,-2.9352123681635605
mp-556369,-2.84466608892225,-2.76345412686353
mp-766175,-3.1694158215126853,-3.2384553065836945
mp-775205,-2.392545727633087,-2.8201359310229304
mp-770862,-2.7746925275641097,-3.0695564436066998
mp-559955,-2.9136426608607313,-2.590478013415333
mp-558279,-2.488117574404507,-2.427426235088902
mp-757885,-2.694650135983487,-2.562230586475561
mp-780444,-2.9100973606016476,-2.939325226696943
mp-782009,-2.835649226238808,-3.1004540011104487
mp-760994,-2.8996318677538246,-2.88960529647534
mp-627077,-3.2915850492802283,-3.2647876480116746
mp-559795,-3.869688751557007,-3.8227965559681065
mp-556588,-3.213963765579034,-2.992863124909735
mp-626062,-2.4934959150606515,-2.375976481242672
mp-554421,-2.177178812152327,-2.3749235963175894
mp-554014,-2.5086392866660656,-2.3475460847098844
mp-28711,-2.2781899618621244,-2.2273588380298137
mp-770534,-2.9318167363508256,-2.850754260364666
mp-770876,-2.841639619158863,-2.7489892292890508
mp-28623,-3.497582440046646,-3.482578112872301
mp-559755,-2.8326847330738842,-2.572627291467375
mp-27178,-2.3675434166395934,-2.2914685103276335
mp-559268,-3.2549306757706975,-3.110977281831118
mp-10621,-2.6777821526506846,-2.5908993575363537
mp-694958,-3.8601429439889983,-4.975907371510766
mp-759486,-2.835649226238808,-2.696439773109331
mp-707840,-3.7905037512163724,-3.580273365576048
mp-653267,-4.818356462105399,-4.470185040908196
mp-39123,-2.511450270034034,-2.420465058411044
mp-756721,-2.6326453837493307,-2.545174263658296
mp-778616,-2.563838466577023,-2.6863705014067065
mp-756914,-2.6925054595697606,-2.7025247619373056
mp-686588,-6.443697499489704,-5.56696829460563
mp-740710,-4.007477409463068,-3.801481884134358
mp-778633,-4.165623808696459,-3.629322813629479
mp-676813,-3.754504605419485,-3.2580817155207575
mp-769511,-2.6345133253732587,-2.9264729470185076
mp-24345,-2.8239107677123116,-2.9081152217681776
mp-708015,-4.134345359704959,-3.349691820298357
mp-774105,-3.1169106201561485,-3.4420251676596805
mp-677246,-3.0565089464982815,-2.92181246098136
mp-694884,-2.605549544832929,-2.996948237474991
mp-776214,-2.5199940636440052,-2.497022439933974
mp-674363,-2.6073042777958233,-2.5966502814187824
mp-703521,-2.9065807666693186,-3.4527466808313947
mp-763560,-3.0893793297351895,-2.931883516777341
mp-699447,-3.886080033717125,-4.018855397944608
mp-722316,-3.7258583218402848,-3.0262466365876772
mp-627442,-4.038612131985423,-3.4745453705057807
