Sample Name,True Value,Predicted Value
mp-625860,-4.857203964540667,-4.4460270847395655
mp-676951,-2.3178555560298517,-2.436673321637387
mp-686718,-5.694004117142108,-5.512053850692443
mp-17761,-3.524338979548369,-3.4270052024402076
mp-572409,-3.749597077332323,-3.58567864594564
mp-720112,-4.623550795459212,-5.0033084928296585
mp-676693,-2.469801198774193,-2.5759642821613404
mp-532803,-2.3297547965862497,-2.5308872486986527
mp-767162,-3.2993023389413754,-3.030523824163268
mp-773074,-2.935544631750472,-2.753359223100824
mp-765294,-3.057003873446418,-2.9251118802154954
mp-706426,-3.3635191249837164,-3.343065740079874
mp-776502,-2.928120569330841,-2.7890421836420773
mp-696736,-3.182439257210907,-3.2045272648291743
mp-720825,-3.6903847355173305,-3.7858950915356226
mp-631378,-2.4814869812316958,-2.5352928034254103
mp-23724,-3.0530601641111796,-3.1674552370134
mp-615529,-3.3516468206523236,-3.179225490297376
mp-775783,-2.609066128799065,-2.5914993687726993
mp-34580,-3.0990907511893697,-3.1283335852032113
mp-626542,-2.9507846913489924,-2.669756760294305
mp-758269,-3.107909294532067,-3.1390499227356297
mp-780060,-2.70114845167172,-2.5920963385808466
mp-707160,-2.638273485767826,-3.000371566442733
mp-567743,-2.0594838636310313,-2.5906763652280556
mp-754500,-3.647830993594066,-3.6349597467717327
mp-780204,-3.455940641976505,-3.405322734458755
mp-721067,-3.991429633546002,-3.7659080444981075
mp-626103,-2.978813596306197,-3.2836607337675985
mp-693340,-3.779910226008874,-3.823723822509124
mp-720205,-3.1101421966225344,-3.1828717064083145
mp-766881,-3.906602832316015,-3.672584764676626
mp-733858,-2.882731024663735,-2.941666697075732
mp-626340,-4.0146049652079885,-4.029188642757416
mp-695582,-2.284833227754031,-2.6093385589835467
mp-27896,-3.962601393366915,-3.884684678499824
mp-22551,-2.361511441865246,-2.5173659423111556
mp-30942,-4.970900432861461,-4.905815451513815
mp-685043,-2.5003138790458026,-2.3878057061817692
mp-626829,-3.2676118697797714,-3.163741026220551
mp-674352,-2.5331334175648483,-2.6497287595676795
