Sample Name,True Value,Predicted Value
mp-757074,-1.924453294467418,-2.0354821345013145
mp-560209,-2.0362125034415794,-2.0569076498201984
mp-552185,-2.1965433619973345,-2.3038406630716532
mp-6610,-2.659557273158096,-2.418944874333237
mp-22990,-2.0390541366107806,-2.056197587297264
mp-772801,-2.1012752018463026,-2.001927645432892
mp-675022,-1.9546772948794895,-1.8632801476844811
mp-625557,-1.9546772948794895,-1.9636810220969538
mp-760781,-3.761971469964624,-3.3847228647356777
mp-1170,-1.7544875047307942,-1.9355672320271513
mp-542734,-2.2034261526330794,-2.1504857416549643
mp-27487,-1.939302424353244,-2.043658990564288
mp-9488,-2.020907417999212,-2.360865924248594
mp-29331,-2.0726299963454653,-2.080539140642361
mp-676561,-1.9546772948794895,-1.9112441886968803
mp-571592,-1.9172148812448147,-1.825619516816661
mp-9081,-1.8326828718069454,-1.8653733913736976
mp-755313,-2.11182089928108,-2.2729372757481503
mp-35906,-2.0078888215786614,-2.031935421088452
mp-572149,-3.0209102890026616,-3.339992432928921
mp-7748,-2.0061233933227633,-1.9855745022936584
mp-23165,-2.505846380379738,-2.4355184709411
mp-735483,-4.787998942891841,-3.958631185414654
mp-27396,-2.161151349588828,-2.479632119833802
mp-29844,-3.6903847355173305,-3.6482844162895214
mp-754883,-1.8827289360658153,-1.9317867559038613
mp-680158,-2.1630437055127976,-2.2453530752033326
mp-23281,-2.141463223061336,-1.9886798637806733
mp-27377,-2.3344196656012253,-2.114959404173352
mp-568692,-2.0883102135567007,-2.1258425522752344
mp-8579,-1.9430954156721327,-1.863432315697912
mp-558273,-2.0343283580110962,-2.027593541635872
mp-570097,-1.76447172974779,-1.9166830075949566
mp-27420,-2.2831628605054544,-2.1872090288655945
mp-21836,-1.958607591369304,-2.016680278114861
mp-23056,-1.939302424353244,-1.9670967044825665
mp-777553,-3.6556214821516653,-3.4528389885048267
mp-772295,-2.0888427640138256,-2.12877280329878
mp-5273,-1.8041005416345262,-1.8390236730757454
mp-6486,-2.0452755464098282,-2.0516525785738304
mp-569507,-1.7695512578271768,-1.7775344867172633
mp-9784,-2.065501902495653,-2.0315914273813127
mp-558370,-3.5030800338320396,-2.624594645593081
mp-753946,-1.856985418709506,-1.8868198003099925
mp-531175,-1.958607591369304,-1.996389698435634
mp-14322,-2.0639895562668142,-2.02140504182531
mp-556024,-3.826834135575767,-3.636097025885965
mp-8568,-2.295850083803058,-2.208042925799273
mp-7113,-1.8096684981330367,-1.8495199515059952
mp-760311,-1.9956789269962798,-2.0340471211648654
mp-23033,-1.8326828718069454,-1.9331154845200202
mp-567483,-1.9281182506323962,-2.1595954339668197
mp-647822,-3.610846324591045,-3.217203721319418
mp-18814,-2.3089191271575435,-2.4456785535791883
mp-17947,-1.9625737809048023,-1.9963074024721918
mp-11107,-2.0000003040062437,-2.0587146894515254
mp-467,-1.9172148812448147,-2.004695564738219
mp-772255,-2.1152050323575953,-2.1364060273421774
mp-13066,-2.010105747162995,-1.9784271837893994
mp-29644,-2.024568512699735,-1.7562380325038902
mp-13975,-1.9030902302049784,-1.9217483993987452
mp-3404,-2.2441256773444276,-2.226310527517775
mp-6930,-2.042393048177789,-2.0251993823282244
mp-23664,-2.1573911967906465,-2.1723979261507567
mp-754759,-2.053548078898482,-1.991331542418683
mp-7375,-2.0540396402879475,-1.9164700815793028
mp-774586,-2.551294761873722,-2.498104584632922
mp-571197,-1.9208190073385216,-1.9829952273205924
mp-10341,-2.0362125034415794,-2.0509238263799516
