Sample Name,True Value,Predicted Value
mp-19386,-2.2924304200908745,-2.317410074482656
mp-559145,-2.0639895562668142,-2.0637428900339816
mp-29803,-1.4710833899426536,-1.6634578675514722
mp-20727,-2.0159232813591776,-2.0301286975013273
mp-781505,-2.2572754187401984,-2.3089513034665146
mp-9059,-2.4078240205099997,-2.3266361173811645
mp-540789,-1.9281182506323962,-1.8843503817732374
mp-23054,-2.0163740286866543,-1.9822290638595368
mp-9519,-1.8538721811472947,-1.9133160087645715
mp-12509,-1.8827289360658153,-1.8597907522026003
mp-625487,-1.982966953313692,-1.9855359324778508
mp-555678,-2.187087110702001,-2.3509299995842676
mp-570472,-1.9208190073385216,-1.8921283967405425
mp-6721,-2.2441256773444276,-2.3135297655897964
mp-570738,-2.2907306327623926,-2.281497295867041
mp-558298,-2.060481096432482,-2.0073978439522375
mp-11742,-1.8096684981330367,-1.838035000964735
mp-754989,-2.12262905719135,-2.0440412708231426
mp-682548,-1.8860568818509382,-2.0049035073372523
mp-30241,-2.0486628210517406,-2.0120016861439622
mp-556458,-2.210419781516737,-2.1823294437843854
mp-866826,-2.00305105814929,-1.947408963807515
mp-27980,-3.559101932854804,-3.5623067137747344
mp-31408,-2.069051325396556,-2.019772254640276
mp-14787,-1.8894105256637364,-1.9687231415246957
mp-24241,-2.0172769283436502,-2.021438234638766
mp-6524,-2.2097153287168716,-2.20225374871287
mp-556719,-3.3767579483016905,-3.155167107217305
mp-3771,-2.417937432828314,-2.391774938244435
mp-30058,-2.1106986892661603,-1.987829246330109
mp-559608,-2.0052433626986286,-2.029301727143047
mp-30943,-1.8181566120040842,-1.9516222903295006
mp-768268,-2.6861342557604573,-2.5823245742328345
mp-569595,-1.9208190073385216,-1.9130316739662332
mp-14871,-1.9706165061179783,-2.0338550415912406
mp-29176,-2.026410700067217,-2.03622209241179
mp-753677,-1.8096684981330367,-1.9154608030545919
mp-23709,-2.078834313515905,-2.0286746959386073
mp-569806,-2.0736579131969943,-2.194009071784175
mp-9086,-1.8124794764066272,-1.8600547805776375
mp-29450,-1.850781102607243,-1.8830237902182756
mp-4326,-1.8326828718069454,-1.8775043471606534
mp-29415,-1.9788109905297508,-1.9603709529545477
mp-6814,-2.1931424442688034,-2.2301054015442894
mp-769394,-2.002613921841292,-2.068905583748347
mp-561492,-2.3767514338247397,-2.3417905451056686
mp-768827,-2.140261853898183,-2.178494213665293
mp-669326,-1.9136404181854296,-2.0466260944818395
mp-753774,-2.002613921841292,-1.9421058835422955
mp-28781,-3.025952324253362,-2.8904552669622077
mp-779545,-2.085128551837307,-2.090892526443111
mp-690794,-1.924453294467418,-1.9145202332992755
mp-543040,-2.333482674186134,-2.31231640197503
mp-759382,-2.2306231910175485,-2.1912892434342743
mp-27484,-1.6575774571846293,-1.6572091326230012
mp-554025,-2.46344244073967,-2.5068987621187055
mp-9036,-1.793174312823729,-1.828797397594059
mp-754777,-2.046240646160462,-2.016228616079605
mp-754537,-1.9546772948794895,-1.9191407983695108
mp-10461,-2.0123340477636287,-1.9937890251229988
mp-608014,-1.950782248434136,-2.0037833225439066
mp-554051,-2.0893759684720736,-2.1748227042361203
mp-8891,-2.209012016919595,-2.156087833538113
mp-19188,-2.3151552661123076,-2.3098680382235037
mp-22661,-2.0000003040062437,-2.014537635014786
mp-5331,-2.065501902495653,-2.0572295825970057
mp-15079,-2.051587376349388,-2.038214988951334
mp-22566,-1.7144428485161622,-1.7981793392484073
mp-14205,-1.7471471388358641,-1.8260146441615965
mp-29585,-1.9546772948794895,-1.929561127011063
mp-774423,-2.4723710010963,-2.528755702762057
mp-33302,-2.0404819567060963,-1.9360728113184507
mp-8301,-1.8927902675048591,-1.9987297406826965
mp-770341,-2.220404013993877,-2.245280345301276
mp-40886,-2.3169535927185856,-2.4112417712190233
mp-28044,-1.939302424353244,-2.062820044984723
mp-532294,-2.0680342405628793,-2.0681336932673138
mp-685318,-1.9956789269962798,-1.9555701854826735
mp-3775,-2.0501226371966963,-2.070671824530955
mp-757917,-1.9956789269962798,-2.046399983817762
mp-6949,-2.0385792382472716,-2.010541526712006
mp-530852,-2.0680342405628793,-2.301347010514465
mp-7337,-2.2823300793876267,-2.3381803209533394
mp-559400,-2.1290115951605384,-2.1218581307321887
mp-4511,-2.059982194031297,-2.0851385193942265
mp-569684,-3.3893472881947377,-3.3620346879321388
mp-3487,-2.0287244757930027,-2.0915822234653954
mp-8276,-1.5228788463353908,-1.770433628162124
mp-9518,-1.7447276638923317,-1.8522518190428452
mp-541368,-2.2083098421248932,-2.2717335647871946
mp-17447,-2.1062386262583317,-2.082782499614483
mp-570081,-1.9706165061179783,-1.9079820306904243
mp-557227,-2.053548078898482,-2.0437768437777346
mp-9567,-1.6575774571846293,-1.7110257345971835
mp-554949,-2.546682730445465,-2.5304506828783633
mp-4900,-3.6968190679468353,-3.6610260495859372
mp-776767,-2.3685569412952945,-2.3638317546063843
mp-9365,-1.8386322076594561,-1.878159479173884
mp-556173,-2.4436983434623127,-2.4864181631719986
mp-582994,-2.068542484979229,-2.2029861808915823
mp-39140,-2.026410700067217,-2.0309214933195037
mp-7974,-1.8860568818509382,-1.926091194822329
mp-6788,-2.016825244014811,-2.050966166284806
mp-8256,-2.2518125158684414,-2.2763182980009637
mp-542832,-2.0639895562668142,-2.0181755051966777
mp-10919,-1.723538356849838,-1.8119106668148175
mp-617,-2.0043651120770147,-1.962678184122067
mp-567196,-2.010105747162995,-2.093508759862538
mp-553303,-2.205512440971602,-2.012049333904157
mp-891955,-2.7328299152795283,-2.6748727039889397
mp-37995,-2.146302213779112,-2.0537587557872836
mp-9636,-2.1791424702240154,-2.2076304159553564
mp-20402,-3.85700707149587,-3.76380043785694
mp-552537,-2.068542484979229,-2.0028724833839098
mp-768500,-2.105130730269137,-2.1010216448150225
mp-672264,-2.536108055695887,-2.639968733751754
mp-27814,-2.2284130333930916,-2.1487212793253785
mp-559092,-2.099633253397825,-2.147821387172637
mp-775155,-4.134345359704959,-4.034041590434501
mp-22473,-1.7011470767669299,-1.867739752846445
mp-15567,-1.8894105256637364,-1.9312608080727542
mp-8188,-1.9665765264872554,-1.9595643801961868
mp-752922,-2.127844135062121,-2.2301950483793673
mp-13067,-2.021819802670083,-1.984800483420022
mp-20072,-1.9546772948794895,-1.9442238648277346
mp-761676,-2.0710926680756927,-2.0977755873146373
mp-553912,-2.3777867025522466,-2.319376811532479
mp-555661,-2.199283403022636,-2.150628575000671
mp-18909,-3.6882609688208703,-3.4177497109673918
mp-10918,-1.8268139360310125,-1.8204947937634046
mp-541312,-1.5816988250328927,-1.6866764368817506
mp-28483,-2.225483544934985,-2.2356263627362525
