Sample Name,True Value,Predicted Value
mp-757074,-2.586701409770457,-2.884714188165821
mp-560209,-3.954704409803907,-3.8490710813951408
mp-552185,-2.7099669480086317,-2.6476924559573383
mp-6610,-3.7189825498433735,-3.0296764566492937
mp-22990,-2.2604282097455948,-2.1724729129584475
mp-772801,-2.583360657776035,-2.403427138522047
mp-675022,-1.6861329275758203,-1.6316920152219905
mp-625557,-2.6345133253732587,-2.593192712820482
mp-760781,-3.463450394477621,-3.3208085232047875
mp-1170,-1.8794262993077409,-2.3866729235010897
mp-542734,-2.3625109704755345,-2.456504463461477
mp-27487,-1.906578560166309,-1.9104000517337774
mp-9488,-2.3410358236806372,-2.27058196858467
mp-29331,-3.5606783609093253,-3.418064185880251
mp-676561,-2.8696684839031548,-2.7487958271847974
mp-571592,-2.2502642249365237,-2.2754967949880505
mp-9081,-2.141463223061336,-2.05269996151573
mp-755313,-2.536108055695887,-2.4595928426562574
mp-35906,-2.8794283720829057,-2.8186713718600807
mp-572149,-3.4775648954093783,-3.813280581358225
mp-7748,-2.9100973606016476,-2.95121595135236
mp-23165,-3.22988986642519,-2.9896962623714076
mp-735483,-3.920844088583713,-3.5115698993433946
mp-27396,-2.258061472736105,-2.831506208251401
mp-29844,-3.8210431863234606,-3.7200275003502385
mp-754883,-2.4828050260317958,-2.5534402413844344
mp-680158,-2.987165726525924,-3.3374298736286265
mp-23281,-2.5686373619501164,-2.5408387175931884
mp-27377,-2.4723710010963,-2.97560561725307
mp-568692,-3.055027542707666,-2.7822046893620076
mp-8579,-2.638273485767826,-2.4629219837130347
mp-558273,-2.9665790598807673,-3.183802412554397
mp-570097,-1.9355422730743355,-2.1386614522017426
mp-27420,-3.863301623795933,-3.3789521787335484
mp-21836,-3.6882609688208703,-3.1012827130922926
mp-23056,-3.6536607201860645,-3.3246078843551414
mp-777553,-3.027800403015692,-3.0079498269575273
mp-772295,-2.4122898205462846,-2.1876562076566444
mp-5273,-1.86966645718979,-1.8798372470182931
mp-6486,-2.573489877601259,-2.953346656302706
mp-569507,-1.4534574233653883,-1.323052179352882
mp-9784,-2.630785442173471,-3.2034015996675316
mp-558370,-2.074172785624275,-2.4499148234992383
mp-753946,-2.1493541937817877,-2.1723168661354837
mp-531175,-3.777301733341856,-3.4438429216856714
mp-14322,-3.0000030400720137,-2.710678085212161
mp-556024,-3.6736784791488852,-3.2605381295667146
mp-8568,-2.4801729244485156,-2.5361082176354577
mp-7113,-2.2232993243717645,-1.9130920670414533
mp-760311,-3.872917889617785,-3.6310746127652602
mp-23033,-3.1798031402094917,-3.0735152743779177
mp-567483,-2.2831628605054544,-2.304546384969816
mp-647822,-2.4485508559506637,-2.68361198825389
mp-18814,-2.5287093160489755,-2.386009305012278
mp-17947,-2.754489059311033,-2.666656102873021
mp-11107,-2.7695528672750798,-2.483744780402743
mp-467,-2.031050645537327,-2.4236123696002543
mp-772255,-2.978813596306197,-2.9820961394667056
mp-13066,-2.3904063379444693,-2.249027618048498
mp-29644,-2.2118321241242844,-1.997617824117177
mp-13975,-2.0250283280405195,-2.1263357802808094
mp-3404,-2.5482146382279613,-3.6272890589273885
mp-6930,-3.025952324253362,-3.0399110157085922
mp-23664,-2.3306837699772265,-2.7955085329378226
mp-754759,-2.9100973606016476,-2.5750685264677844
mp-7375,-2.3160534984127485,-2.2584775339036547
mp-774586,-2.514279567485247,-2.531429752017905
mp-571197,-2.2572754187401984,-2.2977030027003327
mp-10341,-3.2815041237757496,-3.0381447172205114
