iter	RMSE
0	0.4360456518
1	0.3806535719
2	0.3339381483
3	0.3142217354
4	0.294976539
5	0.2835895397
6	0.2754524975
7	0.2682095037
8	0.2635390176
9	0.2581357145
10	0.2535259301
11	0.2496244882
12	0.2442694546
13	0.2394651295
14	0.2352922952
15	0.2312293951
16	0.2285584833
17	0.2249320856
18	0.2225065246
19	0.2198609262
20	0.2161438749
21	0.2118212042
22	0.2083834817
23	0.2079936006
24	0.207533602
25	0.2072405488
26	0.2069834375
27	0.2066931233
28	0.206564942
29	0.2064109436
30	0.2062597913
31	0.2061517024
32	0.2060592335
33	0.2059382531
34	0.2058434272
35	0.2057530294
36	0.2056792171
37	0.205601265
38	0.2055322047
39	0.2054651683
40	0.2053939495
41	0.2053261374
42	0.2052649947
43	0.2051975441
44	0.2051333124
45	0.2050783902
46	0.2022249337
47	0.2001437982
48	0.1987831037
49	0.1973024695
50	0.1970771788
51	0.1968996474
52	0.1967492313
53	0.1966036057
54	0.1964377235
55	0.1944900894
56	0.1943878383
57	0.1942921545
58	0.1942480632
59	0.1942025358
60	0.1941608464
61	0.1941202827
62	0.1940810271
63	0.1940406308
64	0.1940014973
65	0.1939655857
66	0.1939077113
67	0.1938450458
68	0.1915642114
69	0.191536608
70	0.1915135047
71	0.1914873542
72	0.1914642343
73	0.1914408786
74	0.1914202862
75	0.191398191
76	0.1913787545
77	0.1913578398
78	0.1913394735
79	0.1913181534
80	0.1912995625
81	0.1912793217
82	0.1912617535
83	0.1912425314
84	0.1910415684
85	0.190900201
86	0.1907687554
87	0.1907539841
88	0.1907396374
89	0.1907123015
90	0.1906987121
91	0.1906367169
92	0.1890332725
93	0.1864762948
94	0.1863600997
95	0.184758721
96	0.1823156946
97	0.180730035
98	0.1806080398
99	0.1805015895
100	0.1792944864
101	0.178195325
102	0.1781185696
103	0.1771364949
104	0.1771156217
105	0.1769429713
106	0.1766330017
107	0.1765758139
108	0.1747624098
109	0.1740749118
110	0.1738216495
111	0.1737896294
112	0.1737058844
113	0.173693728
114	0.1736818946
115	0.1736704789
116	0.1736572916
117	0.173619756
118	0.1736091784
119	0.1733848215
120	0.1709127986
121	0.1708946449
122	0.1683201882
123	0.1665474909
124	0.1659083677
125	0.1649333206
126	0.1629662389
127	0.1629042291
128	0.162783827
129	0.1627750837
130	0.1627439603
131	0.1624371361
132	0.1610011339
133	0.1609445384
134	0.1596910258
135	0.1590908498
136	0.1590217339
137	0.1581429505
138	0.1578476657
139	0.1574060508
140	0.1563220108
141	0.1558631196
