iter	Passed	Remaining
0	80	37943
1	153	36233
2	229	36117
3	300	35385
4	375	35333
5	448	35027
6	525	35134
7	604	35272
8	679	35176
9	753	35043
10	834	35190
11	910	35134
12	988	35146
13	1059	34897
14	1132	34723
15	1202	34500
16	1277	34411
17	1351	34308
18	1426	34235
19	1503	34198
20	1579	34136
21	1656	34100
22	1729	33989
23	1813	34085
24	1893	34079
25	1977	34143
26	2057	34134
27	2135	34087
28	2214	34063
29	2294	34032
30	2370	33956
31	2444	33837
32	2518	33733
33	2595	33670
34	2670	33569
35	2745	33482
36	2824	33437
37	2906	33420
38	2982	33345
39	3057	33246
40	3134	33182
41	3208	33078
42	3288	33040
43	3363	32947
44	3440	32872
45	3513	32769
46	3588	32674
47	3666	32612
48	3743	32541
49	3823	32501
50	3903	32456
51	3978	32361
52	4053	32276
53	4134	32233
54	4218	32217
55	4295	32138
56	4380	32121
57	4457	32051
58	4538	32003
59	4613	31909
60	4686	31805
61	4763	31730
62	4841	31660
63	4912	31545
64	4987	31461
65	5059	31352
66	5138	31293
67	5212	31196
68	5285	31102
69	5357	30999
70	5429	30894
71	5502	30798
72	5574	30698
73	5653	30636
74	5726	30540
75	5800	30452
76	5874	30366
77	5945	30262
78	6015	30151
79	6084	30041
80	6153	29933
81	6223	29826
82	6292	29719
83	6359	29603
84	6429	29500
85	6500	29405
86	6571	29309
87	6643	29214
88	6713	29117
89	6784	29020
90	6854	28924
91	6928	28841
92	7000	28755
93	7072	28664
94	7141	28565
95	7210	28465
96	7281	28373
97	7350	28277
98	7422	28189
99	7495	28109
100	7577	28057
101	7655	27994
102	7733	27929
103	7808	27856
104	7884	27783
105	7959	27709
106	8031	27622
107	8105	27544
108	8180	27469
109	8255	27393
110	8329	27314
111	8399	27224
112	8473	27145
113	8545	27060
114	8617	26974
115	8689	26892
116	8759	26801
117	8826	26705
118	8898	26621
119	8971	26540
120	9046	26465
121	9116	26377
122	9187	26293
123	9258	26207
124	9329	26122
125	9397	26029
126	9468	25944
127	9544	25874
128	9613	25785
129	9687	25708
130	9760	25630
131	9832	25549
132	9911	25487
133	9991	25427
134	10065	25350
135	10142	25281
136	10218	25210
137	10293	25136
138	10364	25053
139	10434	24968
140	10508	24891
141	10582	24816
