mpid,formula,crystal_system,e_hull,band_gap,formation,space_group
mp-1220802,NaHSeO4,1,0,3.4107,-1.453205484,1
mp-28189,FeSeCl7,1,0,1.3187,-1.007458817,1
mp-1217322,TeSe,1,0,0.7062,-0.010930726,1
mp-1205403,AlSeCl7,1,0,2.5979,-0.963339142,1
mp-1173441,Re3Se2Br5,1,0,1.727,-0.868476721,1
mp-1228884,CsH3(SeO3)2,1,0,4.1517,-1.401269504,1
mp-773053,MgCr3Se3(SO8)3,1,0,0.1549,-1.738842697,1
mp-695043,K4PH5Se3O16,1,0,3.7688,-1.693741929,1
mp-1219132,Re2MoSe4,1,0,1.0564,-0.553162964,1
mp-1225986,Cu2Ag5Se4NO15,1,0,0.525,-0.901119048,1
mp-1224708,Fe2Pb(SeO3)4,1,0,1.8645,-1.433985983,1
mp-672258,CsHo2Cu3Se5,1,0,1.2914,-1.320056361,1
mp-1222696,Li5Mn5(SeO3)8,1,0,0.8682,-1.7384175,1
mp-720110,KRe3Os3(Se4Cl3)2,1,0,1.3025,-0.995741801,1
mp-675310,Na3(VSe2)5,1,0,0.1373,-1.080705707,1
mp-32633,Dy6Se11,1,0,0.5317,-1.930073411,1
mp-721239,Li10Ge(PSe6)2,1,0,1.3131,-1.049683512,1
mp-721253,Li10Si(PSe6)2,1,0,1.4633,-1.074566643,1
mp-1225982,CsGa5(HgSe3)4,1,0,0.8075,-0.799704149,1
mp-721252,Li10Sn(PSe6)2,1,0,1.3659,-1.053918454,1
mp-673706,Li7(Mo3Se4)4,1,0,0.0,-0.87501907,1
mp-680260,Ti45Se16,1,0,0.0,-0.77901078,1
mp-32873,Hf23Se25,1,0,0.0,-1.32180748,1
mp-1224120,La12Mn3(AlSe7)4,1,0,0.0635,-1.8493983,1
mp-684619,Pr27Se40,1,0,0.0,-2.189709401,1
mp-674338,K16Zr12Se61,1,0,1.3747,-1.277895571,1
mp-1209082,RbYSeCl2O3,1,0,4.313,-2.413829996,2
mp-560404,InHSeO4,1,0,3.4401,-1.527632935,2
mp-29871,Na4SeO5,1,0,1.3349,-1.522151527,2
mp-1226376,Cs2AsH3SeO8,1,0,3.8623,-1.620681281,2
mp-866480,CoMoH2SeO7,1,0,0.0528,-1.508496866,2
mp-560757,Ni3Mo2SeO11,1,0,2.3644,-1.605863343,2
mp-1196979,MoPbSeO6,1,0,2.3078,-1.694850116,2
mp-1197821,AlH14SeNO14,1,0,3.5761,-1.383017102,2
mp-23955,CuH2SeO5,1,0,0.0,-1.114410267,2
mp-560549,AuSeClO3,1,0,1.3674,-0.913483849,2
mp-556369,CdHg2SeO6,1,0,0.9506,-1.067895063,2
mp-1200193,Bi2Mo2Se2O13,1,0,2.8105,-1.689291039,2
mp-28346,SrSe2O5,1,0,3.2926,-1.597256957,2
mp-1189259,RbSbSe2,1,0,1.5375,-0.92486303,2
mp-1192612,RbZn2HSe2O7,1,0,4.2094,-1.598303197,2
mp-541582,ReSe2,1,0,1.1434,-0.463165818,2
mp-697945,K2CdH4(SeO5)2,1,0,2.9829,-1.491379394,2
mp-644334,K2CoH4(SeO5)2,1,0,0.3139,-1.477983089,2
mp-1189952,Na2NiH4(SeO5)2,1,0,3.1791,-1.438557191,2
mp-27361,Nb(SeCl)2,1,0,0.9934,-1.05477413,2
mp-1210406,NaInH12(SeO7)2,1,0,3.6739,-1.36063117,2
mp-643776,Na2ZnH4(SeO5)2,1,0,3.0449,-1.486083095,2
mp-1194909,AlSb2(SeCl2)2,1,0,1.122,-1.301343703,2
mp-1200408,SrMo2Se2O11,1,0,2.7115,-1.933386667,2
mp-560898,NaPr(SeO4)2,1,0,3.3741,-1.967363212,2
mp-559068,Na2Pd(SeO4)2,1,0,1.5109,-1.39716369,2
mp-1190423,Na2Se2O7,1,0,2.8061,-1.16538767,2
mp-1204412,Mo2PbSe2O11,1,0,2.476,-1.652577404,2
mp-560590,Nd2Mo(SeO5)2,1,0,3.3219,-2.432704633,2
mp-555354,KMn(SeO4)2,1,0,0.0371,-1.509976607,2
mp-559195,SmMnSe2ClO6,1,0,2.6978,-2.097448187,2
mp-1204562,Y2Mo(SeO4)3,1,0,2.9162,-2.241358452,2
mp-1542038,CsSnSe3,1,0,1.1896,-0.968889664,2
mp-579463,Cu2Pb(SeO3)3,1,0,0.2694,-1.217982516,2
mp-17540,Sr2Co(SeO3)3,1,0,2.9627,-1.988783393,2
mp-24540,Ni3H2Se3O10,1,0,2.6843,-1.287918129,2
mp-9692,K2GeSe3,1,0,1.7264,-1.096713106,2
mp-559755,Sm2(SeO3)3,1,0,3.9313,-2.046057625,2
mp-582378,Gd2Mo(SeO4)3,1,0,2.7362,-2.236155758,2
mp-1194712,Pr5Si2Se3O17F,1,0,3.9696,-3.013528909,2
mp-9693,K2SnSe3,1,0,1.646,-1.119194034,2
mp-31352,Er2(SeO3)3,1,0,3.9485,-2.077625936,2
mp-1194096,Sr2Ni(SeO3)3,1,0,3.0767,-1.981155261,2
mp-14242,Tl2GeSe3,1,0,1.153,-0.611030479,2
mp-14241,Tl2SiSe3,1,0,1.6828,-0.715550341,2
mp-1195382,Li2SnH14Se3O7,1,0,1.9732,-1.236122738,2
mp-613162,CsSnSe3,1,0,1.0499,-0.968224314,2
mp-28535,Ca2Se3O8,1,0,3.433,-1.777328824,2
mp-9145,Rb2SnSe3,1,0,1.6655,-1.137568621,2
mp-24178,Mn3H2Se3O10,1,0,2.7171,-1.592277962,2
mp-505097,Co3H2Se3O10,1,0,2.486,-1.305517294,2
mp-769014,Ho2(SeO3)3,1,0,3.9351,-2.074649478,2
mp-773051,Li2Mn3(SeO3)4,1,0,2.3399,-1.736354168,2
mp-562833,Co5Se4(BrO6)2,1,0,2.3268,-1.265273049,2
mp-555343,Ni5Se4(BrO6)2,1,0,2.8709,-1.224104052,2
mp-9797,K(SbSe2)2,1,0,1.1173,-0.574347675,2
mp-1006591,Mg(InSe2)2,1,0,0.7981,-1.002653055,2
mp-1211552,Li3Mn2(SeO3)4,1,0,0.7033,-1.735428198,2
mp-3312,Cs(SbSe2)2,1,0,1.122,-0.777727565,2
mp-1219275,Re2Os(Se2Cl)2,1,0,1.2869,-0.835952359,2
mp-505564,Bi2Se4Cl7,1,0,1.0179,-0.965965842,2
mp-1193700,Na3H5(SeO4)4,1,0,3.4814,-1.368960736,2
mp-556074,K2Cu3(SeO3)4,1,0,0.0913,-1.327130296,2
mp-1198097,Sr2SnH18(SeO3)4,1,0,0.8188,-1.446336102,2
mp-1192640,Na2Nb4Se4O19,1,0,2.3695,-2.242094083,2
mp-1198311,Hf(TlSe)4,1,0,1.3377,-0.933557289,2
mp-1221499,Mo2RuSe4,1,0,0.6317,-0.6708962,2
mp-1205061,Zr(TlSe)4,1,0,1.3254,-0.873788117,2
mp-1197266,Nd7Se4Cl3O17,1,0,3.7944,-2.816267007,2
mp-9798,Rb(SbSe2)2,1,0,1.1191,-0.767052543,2
mp-580748,Re3Se4Cl,1,0,1.1641,-0.560260591,2
mp-1194971,Ni5Se4(ClO6)2,1,0,3.1026,-1.265406134,2
mp-1205363,Ba2NdGaSe5,1,0,1.6574,-1.905005201,2
mp-28355,Na4Ge2Se5,1,0,1.6797,-1.014689077,2
mp-569060,Cs2PSe5,1,0,1.4824,-0.940226126,2
mp-1189376,Ba2SmGaSe5,1,0,1.708,-1.907945854,2
mp-1192085,Cs2Cu2Sb2Se5,1,0,0.8173,-0.761215186,2
mp-1212753,Fe2Ni3H4(Se3O10)2,1,0,2.0918,-1.335406478,2
mp-19985,TlIn(PSe3)2,1,0,1.4263,-0.558605098,2
mp-2422143,Pd(Se3Br)2,1,0,1.0937,-0.594833158,2
mp-1210726,Mg3Fe2H4(Se3O10)2,1,0,2.1885,-1.675461437,2
mp-558944,Tl2Cu3(SeO3)6,1,0,0.1641,-1.14759204,2
mp-645663,Te2Mo3Se7Br10,1,0,1.4804,-0.921716075,2
mp-861898,Rb3GePSe7,1,0,1.5629,-0.953461705,2
mp-1191952,Cs3SnPSe7,1,0,1.4189,-0.984912626,2
mp-1203849,Ga8Sb7Se8Cl29,1,0,1.6847,-1.290699506,2
mp-29589,Ta3(Se4Br3)2,1,0,0.0,-1.137392646,2
mp-541689,Na7In3Se8,1,0,1.1676,-1.119107746,2
mp-23635,TlRe6Se8Cl3,1,0,1.4347,-0.872135978,2
mp-541818,Rb4(BSe)9,1,0,2.1943,-0.774684622,2
mp-686581,In2(PSe3)3,1,0,0.7303,-0.354263834,2
mp-1202194,Cs2Hg(BSe)9,1,0,1.8712,-0.649333288,2
mp-541106,Nb2Se9,1,0,0.7747,-0.581150554,2
mp-541819,Rb2Hg(BSe)9,1,0,1.8297,-0.635178729,2
mp-1198415,Cs4(BSe)9,1,0,2.5433,-0.794855779,2
mp-676780,LiMn9Se10,1,0,0.0,-0.978702217,2
