mpid,formula,m_n,m_p,e_hull,band_gap,formation,space_group,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,compound possible,max ionic char,avg ionic char,band center,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,NComp,1,2,3,4
mp-1220802,NaHSeO4,,,0,3.4107,-1.453205484,1,1,34,33,11.14285714,6.530612245,8,2,92,90,75.85714286,21.10204082,87,1.00794,78.96,77.95206,23.85075847,15.74549758,15.9994,14.01,494,479.99,156.8685714,157.4665306,54.8,1,16,15,11.71428571,6.12244898,16,1,4,3,2.285714286,0.693877551,2,31,166,135,83,34.28571429,66,0.93,3.44,2.51,2.777142857,0.75755102,3.44,1,2,1,1.714285714,0.408163265,2,0,4,4,2.857142857,1.632653061,4,0,10,10,1.428571429,2.448979592,0,0,0,0,0,0,0,1,16,15,6,2.857142857,6,0,1,1,0.285714286,0.408163265,0,0,2,2,1.428571429,0.816326531,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.714285714,0.408163265,2,6.615,29.24333333,22.62833333,14.02833333,7.744761905,9.105,0,7.853,7.853,1.236,1.890571429,0,0,0,0,0,0,0,12,229,217,69.28571429,81.26530612,12,4,0.622699849,0.580221157,0.571763001,0.571443518,0.571428735,1.714285714,2.857142857,1.428571429,0,0.285714286,0.476190476,0.238095238,0,TRUE,0.792997622,0.122658879,6.286955556,0.142857143,0,0,0,0,0,0,0.571428571,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,54,34,1,13.5
mp-28189,FeSeCl7,,,0,1.3187,-1.007458817,1,17,34,17,19.88888889,4.49382716,17,55,94,39,89.11111111,7.604938272,94,35.453,78.96,43.507,42.55288889,11.0442716,35.453,171.6,1811,1639.4,389.5777778,339.0765432,171.6,8,17,9,15.88888889,1.75308642,17,3,4,1,3.222222222,0.345679012,3,102,132,30,107.3333333,8.296296296,102,1.83,3.16,1.33,2.944444444,0.335308642,3.16,2,2,0,2,0,2,0,5,5,4.333333333,1.037037037,5,0,10,10,1.777777778,2.765432099,0,0,0,0,0,0,0,7,16,9,8.111111111,1.75308642,7,0,0,0,0,0,0,0,2,2,1,0.222222222,1,0,4,4,0.444444444,0.790123457,0,0,0,0,0,0,0,1,4,3,1.444444444,0.691358025,1,10.73,25.92,15.19,23.12583333,2.75462963,24.4975,0,2.493,2.493,2.027777778,0.723679012,2.493,0,2.1106628,2.1106628,0.234518089,0.416921047,0,14,229,215,76.77777778,33.82716049,64,3,0.793492048,0.779286565,0.777796288,0.777778048,0.777777778,2,4.333333333,1.777777778,0,0.246575342,0.534246575,0.219178082,0,TRUE,0.357394967,0.040063247,7.368635763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,34,17,25.66666667
mp-1217322,TeSe,,,0,0.7062,-0.010930726,1,34,52,18,43,9,34,89,90,1,89.5,0.5,89,78.96,127.6,48.64,103.28,24.32,78.96,494,722.66,228.66,608.33,114.33,494,16,16,0,16,0,16,4,5,1,4.5,0.5,4,120,138,18,129,9,120,2.1,2.55,0.45,2.325,0.225,2.1,2,2,0,2,0,2,4,4,0,4,0,4,10,10,0,10,0,10,0,0,0,0,0,0,16,16,0,16,0,16,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,25.92,34.76333333,8.843333333,30.34166667,4.421666667,25.92,0.464,0.799,0.335,0.6315,0.1675,0.464,0,0,0,0,0,0,14,152,138,83,69,14,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,2,4,10,0,0.125,0.25,0.625,0,TRUE,0.049364908,0.012341227,5.685548332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,52,34,43
mp-1205403,AlSeCl7,,,0,2.5979,-0.963339142,1,13,34,21,18.44444444,3.456790123,17,73,94,21,91.11111111,4.49382716,94,26.9815386,78.96,51.9784614,39.34583762,8.803147195,35.453,171.6,933.47,761.87,292.0744444,187.4046914,171.6,13,17,4,16.44444444,0.864197531,17,3,4,1,3.111111111,0.197530864,3,102,121,19,106.1111111,6.395061728,102,1.61,3.16,1.55,2.92,0.373333333,3.16,2,2,0,2,0,2,1,5,4,4.444444444,0.864197531,5,0,10,10,1.111111111,1.975308642,0,0,0,0,0,0,0,3,16,13,7.555555556,1.87654321,7,0,0,0,0,0,0,1,5,4,1.555555556,0.864197531,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1.555555556,0.864197531,1,16.48,25.92,9.44,23.76472222,1.61882716,24.4975,0,2.493,2.493,2.027777778,0.723679012,2.493,0,0,0,0,0,0,14,225,211,76.33333333,33.03703704,64,3,0.793492048,0.779286565,0.777796288,0.777778048,0.777777778,2,4.444444444,1.111111111,0,0.264705882,0.588235294,0.147058824,0,TRUE,0.451531264,0.049144777,7.184895804,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64,34,13,21.33333333
mp-1173441,Re3Se2Br5,,,0,1.727,-0.868476721,1,34,75,41,46.8,16.92,35,54,95,41,81.5,16.5,95,78.96,186.207,107.247,111.6061,44.76054,79.904,265.8,3459,3193.2,1269.4,1313.76,265.8,7,17,10,13.8,4.08,17,4,6,2,4.6,0.84,4,120,151,31,129.3,13.02,120,1.9,2.96,1.06,2.56,0.4,2.96,2,2,0,2,0,2,0,5,5,3.3,1.98,5,5,10,5,8.5,2.1,10,0,14,14,4.2,5.88,0,16,21,5,18,1.8,17,0,0,0,0,0,0,0,2,2,0.9,0.54,1,0,5,5,1.5,2.1,0,0,0,0,0,0,0,1,5,4,2.4,1.56,1,14.655,29.48,14.825,24.3205,5.7993,29.48,0,1.457,1.457,0.8883,0.5687,1.457,0,0,0,0,0,0,14,194,180,93,60.6,64,3,0.6164414,0.542883523,0.508505651,0.502090175,0.500306726,2,3.3,8.5,4.2,0.111111111,0.183333333,0.472222222,0.233333333,FALSE,0.244896158,0.046864123,5.958809349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,144,75,34,48
mp-1228884,CsH3(SeO3)2,,,0,4.1517,-1.401269504,1,1,55,54,14.5,13.25,8,5,92,87,81.75,12.79166667,87,1.00794,132.9054519,131.8975119,32.48713932,32.22733899,15.9994,14.01,494,479.99,138.3683333,145.7475,54.8,1,16,15,11,6.666666667,16,1,6,5,2.416666667,1.125,2,31,244,213,81.08333333,40.125,66,0.79,3.44,2.65,2.760833333,0.679166667,3.44,1,2,1,1.666666667,0.444444444,2,0,4,4,2.666666667,1.777777778,4,0,10,10,1.666666667,2.777777778,0,0,0,0,0,0,0,1,16,15,6,3.333333333,6,0,1,1,0.333333333,0.444444444,0,0,2,2,1.333333333,0.888888889,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.666666667,0.444444444,2,6.615,115.765,109.15,20.17333333,17.8475,9.105,0,7.853,7.853,2.096416667,2.878291667,0,0,0,0,0,0,0,12,229,217,75.91666667,84.55555556,12,4,0.589255651,0.5263633,0.503500037,0.500588867,0.500049654,1.666666667,2.666666667,1.666666667,0,0.277777778,0.444444444,0.277777778,0,TRUE,0.827200791,0.106232924,6.445151504,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,98,55,1,24.5
mp-773053,MgCr3Se3(SO8)3,,,0,0.1549,-1.738842697,1,8,34,26,12.52941176,6.425605536,8,49,89,40,83.35294118,6.965397924,87,15.9994,78.96,62.9606,26.39276176,14.79579083,15.9994,54.8,2180,2125.2,336.0376471,397.0413841,54.8,2,16,14,14.70588235,2.283737024,16,2,4,2,2.470588235,0.664359862,2,66,141,75,82.85294118,23.79238754,66,1.31,3.44,2.13,3.065882353,0.52816609,3.44,1,2,1,1.911764706,0.160899654,2,0,4,4,3.529411765,0.830449827,4,0,10,10,1.323529412,2.179930796,0,0,0,0,0,0,0,2,16,14,6.764705882,1.629757785,6,0,1,1,0.088235294,0.160899654,0,0,2,2,1.764705882,0.415224913,2,0,5,5,0.441176471,0.80449827,0,0,0,0,0,0,0,0,6,6,2.294117647,0.653979239,2,9.105,25.92,16.815,12.65001838,5.262382137,9.105,0,2.202,2.202,0.264794118,0.436131488,0,0,0,0,0,0,0,12,229,217,41.79411765,46.96712803,12,5,0.722835631,0.7072753,0.705895295,0.705882497,0.705882353,1.911764706,3.529411765,1.323529412,0,0.282608696,0.52173913,0.195652174,0,TRUE,0.67832868,0.074515288,6.678983486,0,0,0,0,0,0,0,0.705882353,0,0,0,0.029411765,0,0,0,0.088235294,0,0,0,0,0,0,0,0.088235294,0,0,0,0,0,0,0,0,0,0.088235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,94,34,8,18.8
mp-695043,K4PH5Se3O16,,,0,3.7688,-1.693741929,1,1,34,33,11.24137931,7.108204518,8,3,92,89,76.34482759,20.23305589,87,1.00794,78.96,77.95206,23.63024352,16.22103544,15.9994,14.01,494,479.99,141.1127586,139.0702021,54.8,1,16,15,11.31034483,6.399524376,16,1,4,3,2.344827586,0.844233056,2,31,203,172,85.86206897,40.83472057,66,0.82,3.44,2.62,2.729655172,0.783828775,3.44,1,2,1,1.689655172,0.428061831,2,0,4,4,2.724137931,1.690844233,4,0,10,10,1.034482759,1.854934602,0,0,0,0,0,0,0,1,16,15,5.448275862,2.791914388,6,0,1,1,0.310344828,0.428061831,0,0,3,3,1.413793103,0.877526754,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.724137931,0.449464923,2,6.615,73.10666667,66.49166667,19.70730706,16.21368609,9.105,0,7.853,7.853,1.492655172,2.202349584,0,0,0,0,0,0,0,2,229,227,73.17241379,84.65160523,12,5,0.60418674,0.561300146,0.552185654,0.551752526,0.551724684,1.689655172,2.724137931,1.034482759,0,0.310126582,0.5,0.189873418,0,TRUE,0.820234131,0.128141603,6.167325692,0.172413793,0,0,0,0,0,0,0.551724138,0,0,0,0,0,0,0.034482759,0,0,0,0.137931034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,77,34,1,15.4
mp-1219132,Re2MoSe4,,,0,1.0564,-0.553162964,1,34,75,41,46.85714286,16.08163265,34,50,89,39,73.42857143,17.79591837,89,78.96,186.207,107.247,112.0305714,42.38653061,78.96,494,3459,2965,1684.285714,1360.326531,494,6,16,10,12,4.571428571,16,4,6,2,4.714285714,0.816326531,4,120,154,34,133.7142857,15.67346939,120,1.9,2.55,0.65,2.308571429,0.275918367,2.55,1,2,1,1.857142857,0.244897959,2,0,4,4,2.285714286,1.959183673,4,5,10,5,7.857142857,2.448979592,10,0,14,14,4,5.714285714,0,6,21,15,16,2.857142857,16,0,1,1,0.142857143,0.244897959,0,0,2,2,1.142857143,0.979591837,2,0,5,5,2.142857143,2.448979592,0,0,0,0,0,0,0,2,6,4,3.428571429,1.632653061,2,14.655,25.92,11.265,21.24,5.348571429,25.92,0,0.799,0.799,0.456571429,0.391346939,0.799,0,0,0,0,0,0,14,229,215,96.14285714,93.87755102,14,3,0.654653671,0.597048457,0.575065028,0.572069151,0.571484405,1.857142857,2.285714286,7.857142857,4,0.116071429,0.142857143,0.491071429,0.25,FALSE,0.100238004,0.020095195,4.97888032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,151,75,34,50.33333333
mp-1225986,Cu2Ag5Se4NO15,,,0,0.525,-0.901119048,1,7,47,40,20.59259259,14.99862826,8,64,89,25,81.33333333,8.617283951,87,14.0067,107.8682,93.8615,45.7878037,35.45238217,15.9994,54.8,1357.77,1302.97,435.2311111,450.2702058,54.8,11,16,5,14.66666667,1.901234568,16,2,5,3,3,1.185185185,2,66,145,79,93.7037037,32.46364883,66,1.9,3.44,1.54,2.89962963,0.610809328,3.44,1,2,1,1.740740741,0.384087791,2,0,4,4,2.925925926,1.517146776,4,0,10,10,4.074074074,4.828532236,0,0,0,0,0,0,0,5,16,11,8.740740741,3.322359396,6,0,1,1,0.259259259,0.384087791,0,0,3,3,1.518518519,0.787379973,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.777777778,0.403292181,2,9.105,25.92,16.815,13.28939815,4.978131001,9.105,0,6.437,6.437,0.356777778,0.581415638,0,0,0,0,0,0,0,12,225,213,74.25925926,87.03155007,12,5,0.609706579,0.566213962,0.556166119,0.555599505,0.555556598,1.740740741,2.925925926,4.074074074,0,0.199152542,0.334745763,0.466101695,0,TRUE,0.447277936,0.08521568,6.332329367,0,0,0,0,0,0,0.037037037,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,125,47,7,25
