mpid,formula,num_sites,crystal_system,e_hull,band_gap,formation,space_group
mp-1215792,ZnCu2SnSeS3,8,1,0.0096170705624993,0.0268999999999994,-0.6822542006054686,1
mp-1247874,Ag2Se,9,1,2.37968280888889,0.0056000000000002,2.1620819936631954,1
mp-1217322,TeSe,6,1,0.0,0.7062000000000008,-0.0109307261979149,1
mp-1407746,K2Fe2SeS3,8,1,1.9031046906249989,0.0,0.9182183782070314,1
mp-1223698,K2Fe2SeS3,8,1,0.0196031681249992,0.0,-0.965283144292968,1
mp-2240101,MgTe2MoW2(SeS)2,10,1,0.356667763875004,0.0,-0.6073975848020823,1
mp-1080350,CeSe2,9,1,0.0797039972222197,0.4606000000000003,-1.8365744393402768,1
mp-2223123,MgTe2Mo3(SeS)2,10,1,0.2810663112500036,0.0,-0.7019660648020831,1
mp-2223700,MgMo3(SeS2)2,10,1,0.2335661037500003,0.0,-0.9371278619687502,1
mp-1100873,YAgSe2,8,1,0.0406727187499988,0.3965000000000001,-1.3951648115885409,1
mp-2223660,MgTe2MoW2(SeS)2,10,1,0.3382415148750031,0.0,-0.6258238338020832,1
mp-2239832,MgMoW2(SeS2)2,10,1,0.2674298432500013,0.0,-0.9074976579687488,1
mp-2222811,MgTe2Mo2W(SeS)2,10,1,0.3552104080000031,0.0,-0.6424253168020833,1
mp-2240226,MgMo2W(SeS2)2,10,1,0.2873459917499996,0.0,-0.90209970396875,1
mp-1247838,Al2Se3,10,1,1.8126235190000008,0.5873999999999997,0.8037999825625007,1
mp-1215670,ZnCu2SnSe3S,8,1,0.0170350866874988,0.0038999999999997,-0.6449702330664064,1
mp-998350,BaZrSe3,5,1,0.0775039104999999,0.2023999999999999,-1.8429590454062497,1
mp-723973,Sc2Se3,10,1,5.744780466500002,0.0,3.7815601825625,1
mp-1224081,In2CuSe3Br,7,1,0.0498288756349207,0.4907999999999997,-0.7693598443377968,1
mp-1220140,Ni2P2(SeS)3,10,1,0.0937045832884626,0.0,-0.4582394563816955,1
mp-2224231,MgMo2W(Se2S)2,10,1,0.3077561607500012,0.0,-0.8373532209375008,1
mp-1100951,V(FeSe2)2,7,1,0.6427123542857167,0.0584999999999999,-0.0788007513392849,1
mp-936895,V(FeSe2)2,7,1,4.506542715714287,0.0,3.785029610089286,1
mp-2239829,MgMoW2(Se2S)2,10,1,0.3162435665000007,0.0,-0.8216067179375003,1
mp-1215418,ZnIn3AsSe4,9,1,0.0034937088888882,0.8979999999999997,-0.7150630796527773,1
mp-676089,Fe2CoSe4,7,1,0.292938706631717,0.0,-0.2880089727678572,1
mp-1101116,Ti(FeSe2)2,7,1,0.3026721114285724,0.0,-0.5988578789583333,1
mp-675747,V(FeSe2)2,7,1,0.317484291428574,0.0,-0.4040288141964276,1
mp-2223049,MgMoW2(Se2S)2,10,1,0.3158947885000005,0.0,-0.8219554959375003,1
mp-673844,Cr(FeSe2)2,7,1,0.272014507857147,0.0,-0.3786143570535704,1
mp-686717,Fe2NiSe4,7,1,0.0762648079761918,0.0,-0.512654828482142,1
mp-1224175,In3CuSe5,9,1,0.0016925080555552,0.2720000000000002,-0.6278087005902775,1
mp-1227970,BaGa2GeSe6,10,1,0.0162886586250001,1.9186,-1.1116526904062505,1
mp-1227978,BaGa2SiSe6,10,1,0.0140687430000028,2.3894,-1.1697783619062498,1
mp-642890,LaSe,8,1,0.241330641250002,0.0,-2.022652615781247,2
mp-725554,RbSeO3,10,1,0.174372124499996,0.0368,-1.4310827674687494,2
mp-1215280,ZrSe,8,1,0.3384961262499999,0.0,-1.2186561607812507,2
mp-541667,Nb(SeBr)2,10,1,0.0003782164666619,0.9901,-1.1973849609374994,2
mp-27361,Nb(SeCl)2,10,1,0.0,0.9933999999999998,-1.0547741296249995,2
mp-29496,Pd(SeBr3)2,9,1,0.0767061558333335,1.3249,-0.6444979338541658,2
mp-1542038,CsSnSe3,10,1,0.0,1.1895999999999998,-0.9688896639924572,2
mp-613162,CsSnSe3,10,1,0.0,1.0499000000000005,-0.9682243143372836,2
mp-675929,Ti(FeSe2)2,7,1,0.1305040400000017,0.0,-0.7710259503869048,2
mp-1399607,Cr2CoSe4,7,1,1.200896426190459,0.0,0.4779387129464295,2
mp-676073,Cr2CoSe4,7,1,0.2422577276190303,0.0,-0.4806999856249995,2
mp-937728,Cr2CoSe4,7,1,2.513181204761888,0.0,1.790223491517858,2
mp-684963,Fe3Se4,7,1,0.5068632107142852,0.0,-0.0703976356249995,2
mp-2422143,Pd(Se3Br)2,9,1,0.0,1.0937,-0.5948331582291664,2
