mpid,formula,num_sites,crystal_system,e_hull,band_gap,formation,space_group
mp-1217322,TeSe,6,1,0.0,0.7062000000000008,-0.010930726197914945,1
mp-2240101,MgTe2MoW2(SeS)2,10,1,0.356667763875004,0.0,-0.6073975848020823,1
mp-2223123,MgTe2Mo3(SeS)2,10,1,0.2810663112500036,0.0,-0.7019660648020831,1
mp-2223660,MgTe2MoW2(SeS)2,10,1,0.3382415148750031,0.0,-0.6258238338020832,1
mp-2222811,MgTe2Mo2W(SeS)2,10,1,0.35521040800000314,0.0,-0.6424253168020833,1
mp-1217269,TeSe2,3,2,0.0,0.6533000000000002,-0.010185599374999299,5
mp-1224849,Ga2Ag2TeSe3,8,2,0.009506582812499609,0.23660000000000014,-0.6311258827539059,5
mp-1223912,InGaAg2(TeSe)2,8,2,0.0220878956249968,1.0227,-0.5684294894401032,5
mp-1224952,Ga2CuAg(TeSe)2,8,2,0.033422615000000544,0.09479999999999977,-0.572721685585937,5
mp-1224180,InGaCu2(TeSe)2,8,2,0.030783188124999583,0.04519999999999991,-0.43921763976562644,5
mp-1224053,In2CuAg(TeSe)2,8,2,0.02486909937500048,0.06789999999999985,-0.555001197877603,5
mp-1219000,Sn4TeSe3,8,2,0.019460226562500793,0.7153,-0.38696197464843607,6
mp-2222904,MgTe2MoW2(SeS)2,10,2,0.3228216458750035,0.0,-0.6412437028020832,8
mp-2240513,MgTe2Mo2W(SeS)2,10,2,0.3168646530000032,0.0,-0.6807710718020836,8
mp-2240667,MgTe2MoW2(SeS)2,10,2,0.31323789787500367,0.0,-0.6508274508020833,8
mp-2223324,MgTe2Mo2W(SeS)2,10,2,0.3552076740000034,0.0,-0.6424280508020835,8
mp-1219473,Sb4(TeSe)3,10,2,0.011204653000004505,0.24960000000000004,-0.46469748370312447,8
mp-1227439,Bi4(TeSe)3,10,2,0.00757922300000935,0.3995999999999995,-0.6035832837031243,8
mp-989651,HfTeSe4,6,2,0.027953376538459196,0.9563000000000001,-0.7596125728365403,10
mp-1077942,Rb2TeSe4,7,2,0.0071769645386905445,0.9114999999999998,-0.8959076487202375,12
mp-1217118,Ti3(TeSe)2,7,2,0.010301349285706252,0.0,-1.2118051340029763,12
mp-1226346,Cr3(TeSe)2,7,2,0.009391059761904685,0.0,-0.5981943511458313,12
mp-1216721,Tm5Te4Se,10,2,0.01817101600000015,0.0,-1.4875264519062512,12
mp-1224853,GaAgTeSe,8,3,0.014325260624999725,0.24649999999999972,-0.5789050782942704,24
mp-1223961,InAgTeSe,8,3,0.011545922500000305,0.8824000000000001,-0.5605730568359362,24
mp-1224187,InCuTeSe,8,3,0.017026631250001145,0.0,-0.4440359522656223,24
mp-1224994,GaCuTeSe,8,3,0.020910568750000635,0.0242,-0.4390858510156246,24
mp-1226768,Cd4TeSe3,8,3,0.009092463125001338,0.37250000000000005,-0.7817992892122385,25
mp-1224990,Fe4Te3Se,8,3,0.06668058906250085,0.0,-0.3201713315429684,25
mp-1226783,Cd4Te3Se,8,3,0.008960999375000611,0.6374,-0.688501870292967,25
mp-1216381,VCu3(TeSe)2,8,3,0.002294523125000225,0.5462000000000002,-0.5860634510026035,35
mp-1220411,NbCu3(TeSe)2,8,3,0.0022550031249997105,1.3948999999999998,-0.6245536172526034,35
mp-1225054,Fe4TeSe3,8,3,0.057581794687500576,0.0,-0.40998135296223914,38
mp-1224985,Fe4Te3Se,8,3,0.06829720656250071,0.0,-0.31855471404296853,38
mp-1229134,Ag2BiSb(TeSe)2,8,3,0.09700657374999988,0.0,-0.33348356891926967,44
mp-1216760,Tl2Bi2Te3Se,8,3,0.08450700874999884,0.0,-0.4895152298763037,44
mp-4034,LaTe2Se,8,3,0.0,0.0,-1.5815237164192704,63
mp-30125,PrTe2Se,8,3,0.0,0.0,-1.3219848776822936,63
mp-4437,NdTe2Se,8,3,0.0,0.0,-1.3124721641406225,63
mp-1221758,Mn3Te2Se,6,3,0.05590049451149781,0.0,-0.6683793359069649,71
mp-1225136,Fe2TeSe,4,4,0.08028175687500116,0.0,-0.3469257772526033,99
mp-1225000,Fe4Te3Se,8,4,0.06739564281250132,0.0,-0.3194562777929679,99
mp-1224987,Fe4Te3Se,8,4,0.0666714140625011,0.0,-0.32018050654296815,107
mp-1226952,Cd2TeSe,4,4,0.012285901249999398,0.4237000000000002,-0.7318914097526044,115
mp-1215633,Zn5TeSe4,10,4,0.013524158000000952,0.9239000000000002,-0.8845572736041664,119
mp-1216542,TlBiTeSe,4,4,0.15508988749999997,0.0,-0.45968129558593906,123
mp-1229083,AgBiTeSe,4,4,0.08827774875000038,0.0,-0.3833148201692702,123
mp-1226732,Ce2TeSe,4,4,0.051985922500000115,0.0,-1.758385859752602,123
mp-1229007,AgSbTeSe,4,4,0.08607196875000023,0.0,-0.29864999016926985,123
mp-1218887,SnTePbSe,4,4,0.04987301749999773,0.0,-0.42881508664062906,123
mp-1120787,ZrTeSe,6,4,0.4367654549999891,0.2353999999999994,-0.8877390113541447,129
mp-1224356,Ge5Te4Se,10,4,0.03980416649999885,0.41440000000000055,-0.29311196840104115,139
mp-1217406,Te4Pb5Se,10,4,0.02017860499999813,0.4436,-0.5173998659062533,139
