mpid,formula,log(PF_n),e_hull,formation,band_gap,space_group,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,compound possible,max ionic char,avg ionic char,band center,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,NComp,1,2,3,4
mp-203,NiTe,-2.155722932,0.03672251,-0.153693703,0,194,28,52,24,40,12,28,61,90,29,75.5,14.5,61,58.6934,127.6,68.9066,93.1467,34.4533,58.6934,722.66,1728,1005.34,1225.33,502.67,722.66,10,16,6,13,3,10,4,5,1,4.5,0.5,4,124,138,14,131,7,124,1.91,2.1,0.19,2.005,0.095,1.91,2,2,0,2,0,2,0,4,4,2,2,0,8,10,2,9,1,8,0,0,0,0,0,0,10,16,6,13,3,10,0,0,0,0,0,0,0,2,2,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,2,2,0,2,0,2,10.32,34.76333333,24.44333333,22.54166667,12.22166667,10.32,0,0.464,0.464,0.232,0.232,0,0,0.5953947,0.5953947,0.29769735,0.29769735,0,152,225,73,188.5,36.5,152,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,2,2,9,0,0.153846154,0.153846154,0.692307692,0,TRUE,0.008984397,0.002246099,4.915442391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,52,28,40
mp-607004,CeAsSe,-2.715203936,0,-1.603896787,0,62,33,58,25,41.66666667,10.88888889,33,15,89,74,62.66666667,31.77777778,15,74.9216,140.116,65.1944,97.9992,28.07786667,74.9216,494,1090,596,885,260.6666667,494,3,16,13,11.33333333,5.555555556,3,4,6,2,4.666666667,0.888888889,4,119,204,85,147.6666667,37.55555556,119,1.12,2.55,1.43,1.95,0.553333333,1.12,2,2,0,2,0,2,0,4,4,2.333333333,1.555555556,0,1,10,9,7,4,1,0,1,1,0.333333333,0.444444444,0,4,16,12,11.66666667,5.111111111,4,0,0,0,0,0,0,0,3,3,1.666666667,1.111111111,0,0,9,9,3,4,0,0,13,13,4.333333333,5.777777778,0,2,22,20,9,8.666666667,2,22.175,37.24,15.065,28.445,5.863333333,22.175,0,0.799,0.799,0.266333333,0.355111111,0,0,0,0,0,0,0,14,194,180,124.6666667,73.77777778,14,3,0.577350269,0.480749857,0.415243647,0.389976938,0.372041058,2,2.333333333,7,0.333333333,0.171428571,0.2,0.6,0.028571429,FALSE,0.400239578,0.075420187,4.558306365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,125,58,33,41.66666667
mp-1525,CeTe,-2.725115085,0,-1.571865663,0,225,52,58,6,55,3,52,15,90,75,52.5,37.5,15,127.6,140.116,12.516,133.858,6.258,127.6,722.66,1071,348.34,896.83,174.17,722.66,3,16,13,9.5,6.5,3,5,6,1,5.5,0.5,5,138,204,66,171,33,138,1.12,2.1,0.98,1.61,0.49,1.12,2,2,0,2,0,2,0,4,4,2,2,0,1,10,9,5.5,4.5,1,0,1,1,0.5,0.5,0,4,16,12,10,6,4,0,0,0,0,0,0,0,2,2,1,1,0,0,9,9,4.5,4.5,0,0,13,13,6.5,6.5,0,2,22,20,12,10,2,34.76333333,37.24,2.476666667,36.00166667,1.238333333,34.76333333,0,0.464,0.464,0.232,0.232,0,0,0,0,0,0,0,152,194,42,173,21,152,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,2,2,5.5,0.5,0.2,0.2,0.55,0.05,FALSE,0.213450798,0.053362699,4.07791617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110,58,52,55
mp-543029,La2TeI2,-2.765928375,0,-1.775061285,0,166,52,57,5,54.4,2.08,53,13,96,83,61.6,38.88,13,126.90447,138.90547,12.001,131.843976,5.6491952,126.90447,386.85,1193,806.15,776.472,333.2224,386.85,3,17,14,11.2,6.56,3,5,6,1,5.4,0.48,5,138,207,69,166,32.8,139,1.1,2.66,1.56,1.924,0.6592,1.1,2,2,0,2,0,2,0,5,5,2.8,2.24,0,1,10,9,6.4,4.32,1,0,0,0,0,0,0,3,17,14,11.2,6.56,3,0,0,0,0,0,0,0,2,2,0.8,0.64,0,0,9,9,3.6,4.32,0,0,0,0,0,0,0,1,9,8,4.4,3.68,1,34.76333333,43.015,8.251666667,38.91766667,3.277866667,36.8975,0,1.062,1.062,0.5176,0.43552,0,0,0,0,0,0,0,64,194,130,133.6,55.68,64,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,2,2.8,6.4,0,0.178571429,0.25,0.571428571,0,FALSE,0.455779074,0.096653028,4.707597581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,162,57,52,54
mp-976892,Na(TeMo)3,-2.785376003,0,-0.501976929,0,176,11,52,41,41.85714286,8.816326531,42,2,90,88,60.28571429,25.46938776,50,22.98976928,127.6,104.6102307,99.09568133,24.43227315,95.96,370.87,2896,2525.13,1603.835714,1107.569388,722.66,1,16,15,9.571428571,5.510204082,6,3,5,2,4.714285714,0.489795918,5,138,166,28,148.8571429,9.306122449,138,0.93,2.16,1.23,1.958571429,0.293877551,2.1,1,2,1,1.428571429,0.489795918,1,0,4,4,1.714285714,1.959183673,0,0,10,10,6.428571429,3.06122449,5,0,0,0,0,0,0,1,16,15,9.571428571,5.510204082,6,0,1,1,0.571428571,0.489795918,0,0,2,2,0.857142857,0.979591837,0,0,5,5,2.142857143,2.448979592,0,0,0,0,0,0,0,1,6,5,3.571428571,2.081632653,2,15.69,34.76333333,19.07333333,25.80047619,8.666122449,15.69,0,0.464,0.464,0.198857143,0.227265306,0,0,0,0,0,0,0,152,229,77,196,37.71428571,152,3,0.622699849,0.543278923,0.492501721,0.473196673,0.459331873,1.428571429,1.714285714,6.428571429,0,0.149253731,0.179104478,0.671641791,0,FALSE,0.314923659,0.03718984,4.325419551,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,105,52,11,35
mp-975237,Rb(TeMo)3,-2.811375207,0.06165244,-0.490961445,0,176,37,52,15,45.57142857,5.510204082,42,4,90,86,60.57142857,25.2244898,50,85.4678,127.6,42.1322,108.0211143,16.78190204,95.96,312.46,2896,2583.54,1595.491429,1114.721633,722.66,1,16,15,9.571428571,5.510204082,6,5,5,0,5,0,5,138,220,82,156.5714286,18.12244898,138,0.82,2.16,1.34,1.942857143,0.320816327,2.1,1,2,1,1.428571429,0.489795918,1,0,4,4,1.714285714,1.959183673,0,0,10,10,6.428571429,3.06122449,5,0,0,0,0,0,0,1,16,15,9.571428571,5.510204082,6,0,1,1,0.571428571,0.489795918,0,0,2,2,0.857142857,0.979591837,0,0,5,5,2.142857143,2.448979592,0,0,0,0,0,0,0,1,6,5,3.571428571,2.081632653,2,15.69,90.7225,75.0325,34.58321429,16.19418367,15.69,0,0.464,0.464,0.198857143,0.227265306,0,0,0,0,0,0,0,152,229,77,196,37.71428571,152,3,0.622699849,0.543278923,0.492501721,0.473196673,0.459331873,1.428571429,1.714285714,6.428571429,0,0.149253731,0.179104478,0.671641791,0,FALSE,0.361670072,0.042884883,4.204579338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,131,52,37,43.66666667
mp-2089,ZrTe3,-2.813450477,0.002800897,-0.823263469,0,11,40,52,12,49,4.5,52,44,90,46,78.5,17.25,90,91.224,127.6,36.376,118.506,13.641,127.6,722.66,2128,1405.34,1073.995,527.0025,722.66,4,16,12,13,4.5,16,5,5,0,5,0,5,138,175,37,147.25,13.875,138,1.33,2.1,0.77,1.9075,0.28875,2.1,2,2,0,2,0,2,0,4,4,3,1.5,4,2,10,8,8,3,10,0,0,0,0,0,0,4,16,12,13,4.5,16,0,0,0,0,0,0,0,2,2,1.5,0.75,2,0,8,8,2,3,0,0,0,0,0,0,0,2,8,6,3.5,2.25,2,23.195,34.76333333,11.56833333,31.87125,4.338125,34.76333333,0,0.464,0.464,0.348,0.174,0.464,0,0,0,0,0,0,152,194,42,162.5,15.75,152,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,2,3,8,0,0.153846154,0.230769231,0.615384615,0,FALSE,0.13776291,0.025830546,4.916738268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,52,40,46
mp-690674,NdAsSe,-2.881612908,0,-1.606506607,0.0309,64,33,60,27,42.33333333,11.77777778,33,19,89,70,64,30,19,74.9216,144.242,69.3204,99.37453333,29.91164444,74.9216,494,1294,800,959.3333333,310.2222222,494,3,16,13,11.33333333,5.555555556,3,4,6,2,4.666666667,0.888888889,4,119,201,82,146.6666667,36.22222222,119,1.14,2.55,1.41,1.956666667,0.544444444,1.14,2,2,0,2,0,2,0,4,4,2.333333333,1.555555556,0,0,10,10,6.666666667,4.444444444,0,0,4,4,1.333333333,1.777777778,0,6,16,10,12.33333333,4.222222222,6,0,0,0,0,0,0,0,3,3,1.666666667,1.111111111,0,0,0,0,0,0,0,0,10,10,3.333333333,4.444444444,0,2,10,8,5,3.333333333,2,22.175,34.81,12.635,27.635,4.783333333,22.175,0,0.799,0.799,0.266333333,0.355111111,0,0,0,0,0,0,0,14,194,180,124.6666667,73.77777778,14,3,0.577350269,0.480749857,0.415243647,0.389976938,0.372041058,2,2.333333333,6.666666667,1.333333333,0.162162162,0.189189189,0.540540541,0.108108108,FALSE,0.391662225,0.073581552,4.554923866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,127,60,33,42.33333333
mp-644,K5Te3,-2.978281598,0,-1.174004154,0.1716,87,19,52,33,31.375,15.46875,19,3,90,87,35.625,40.78125,3,39.0983,127.6,88.5017,72.2864375,41.48517187,39.0983,336.53,722.66,386.13,481.32875,180.9984375,336.53,1,16,15,6.625,7.03125,1,4,5,1,4.375,0.46875,4,138,203,65,178.625,30.46875,203,0.82,2.1,1.28,1.3,0.6,0.82,1,2,1,1.375,0.46875,1,0,4,4,1.5,1.875,0,0,10,10,3.75,4.6875,0,0,0,0,0,0,0,1,16,15,6.625,7.03125,1,0,1,1,0.625,0.46875,1,0,2,2,0.75,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.375,0.46875,1,34.76333333,73.10666667,38.34333333,58.72791667,17.9734375,73.10666667,0,0.464,0.464,0.174,0.2175,0,0,0,0,0,0,0,152,229,77,200.125,36.09375,229,2,0.728868987,0.667100412,0.63443105,0.627469952,0.625376889,1.375,1.5,3.75,0,0.20754717,0.226415094,0.566037736,0,FALSE,0.336084237,0.078769743,3.291431652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71,52,19,35.5
mp-19810,TaNiTe2,-3.050643177,0,-0.592638419,0,53,28,73,45,51.25,11.625,52,48,90,42,72.25,17.75,90,58.6934,180.94788,122.25448,123.71032,32.50846,127.6,722.66,3290,2567.34,1615.83,893.17,722.66,5,16,11,11.75,4.25,16,4,6,2,5,0.5,5,124,170,46,142.5,13.75,138,1.5,2.1,0.6,1.9025,0.20125,2.1,2,2,0,2,0,2,0,4,4,2,2,4,3,10,7,7.75,2.375,10,0,14,14,3.5,5.25,0,10,19,9,15.25,2.625,16,0,0,0,0,0,0,0,2,2,1,1,2,0,7,7,2.25,2.375,0,0,0,0,0,0,0,2,7,5,3.25,1.875,2,10.32,34.76333333,24.44333333,24.49166667,10.27166667,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0.5953947,0.5953947,0.148848675,0.223273013,0,152,229,77,189.5,37.5,152,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,2,2,7.75,3.5,0.131147541,0.131147541,0.508196721,0.229508197,FALSE,0.086068815,0.014453788,4.830634689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,153,73,28,51
