mpid,formula,num_sites,crystal_system,e_hull,band_gap,formation,space_group,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,compound possible,max ionic char,avg ionic char,band center,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,NComp,total_atom_number,max_atom_number,min_atom_number,average_atom_number
mp-24012,HoHSe,3,6,0,1.4981,-1.654941534,187,1,67,66,34,22,1,33,92,59,71.33333333,25.55555556,33,1.00794,164.93032,163.92238,81.63275333,55.53171111,1.00794,14.01,1747,1732.99,751.67,663.5533333,14.01,1,16,15,6.666666667,6.222222222,1,1,6,5,3.666666667,1.777777778,1,31,192,161,114.3333333,55.55555556,31,1.23,2.55,1.32,1.993333333,0.508888889,1.23,1,2,1,1.666666667,0.444444444,1,0,4,4,1.333333333,1.777777778,0,0,10,10,3.333333333,4.444444444,0,0,11,11,3.666666667,4.888888889,0,1,16,15,10,6,1,0,1,1,0.333333333,0.444444444,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,3,3,1,1.333333333,0,1,3,2,2,0.666666667,1,6.615,30.73333333,24.11833333,21.08944444,9.64962963,6.615,0,7.853,7.853,2.884,3.312666667,0,0,0,0,0,0,0,14,194,180,134,80,14,3,0.577350269,0.480749857,0.415243647,0.389976938,0.372041058,1.666666667,1.333333333,3.333333333,3.666666667,0.166666667,0.133333333,0.333333333,0.366666667,TRUE,0.353123575,0.065876821,5.169687499,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,102,67,1,34
mp-1182182,BaScCu3Se4,9,7,0.165108786,1.4923,-1.0297528,215,21,56,35,33.33333333,5.62962963,34,9,89,80,63.11111111,23.60493827,89,44.955912,137.327,92.371088,76.52899022,15.67156642,78.96,494,1814,1320,984.8122222,436.2775309,494,2,16,14,11.33333333,4.148148148,16,4,6,2,4.222222222,0.395061728,4,120,215,95,140.1111111,23.28395062,120,0.89,2.55,1.66,2.016666667,0.474074074,2.55,1,2,1,1.666666667,0.444444444,2,0,4,4,1.777777778,1.975308642,4,0,10,10,7.888888889,3.283950617,10,0,0,0,0,0,0,2,16,14,11.33333333,4.148148148,16,0,1,1,0.333333333,0.444444444,0,0,2,2,0.888888889,0.987654321,2,0,9,9,1,1.777777778,0,0,0,0,0,0,0,0,9,9,2.222222222,1.50617284,2,11.07,63.59,52.52,24.74611111,9.675432099,25.92,0,0.799,0.799,0.355111111,0.394567901,0.799,0,6.35E-06,6.35E-06,7.06E-07,1.25E-06,0,14,229,215,128.2222222,101.5308642,14,4,0.577350269,0.5034061,0.463927178,0.45247833,0.446886097,1.666666667,1.777777778,7.888888889,0,0.147058824,0.156862745,0.696078431,0,FALSE,0.497871894,0.065763814,4.6282805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,140,56,21,35
mp-1215430,Zn2SeS,4,4,0.01142901,1.4911,-0.995926644,115,16,34,18,27.5,5.75,30,69,89,20,78.75,9.75,69,32.065,78.96,46.895,60.44625,14.190625,65.38,388.36,692.68,304.32,566.93,125.75,692.68,12,16,4,14,2,12,3,4,1,3.75,0.375,4,105,122,17,117.25,6.125,122,1.65,2.58,0.93,2.1075,0.4575,1.65,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,7.5,3.75,10,0,0,0,0,0,0,6,16,10,11.5,2.75,12,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,13.96,25.92,11.96,19.90671875,5.94671875,13.96,0,2.202,2.202,0.75025,0.75025,0,0,0,0,0,0,0,14,194,180,118,76,194,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,2,2,7.5,0,0.173913043,0.173913043,0.652173913,0,TRUE,0.194445968,0.047233997,5.330848682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,80,34,16,26.66666667
mp-1120763,Cs3VSe4,8,7,0,1.4894,-1.274237555,217,23,55,32,40.5,10.875,34,5,89,84,52.125,36.875,89,50.9415,132.9054519,81.9639519,95.68723196,27.91366495,78.96,301.59,2183,1881.41,632.97125,387.5071875,494,1,16,15,9,7,16,4,6,2,4.75,0.9375,4,120,244,124,170.625,55.03125,120,0.79,2.55,1.76,1.775,0.775,2.55,1,2,1,1.625,0.46875,2,0,4,4,2,2,4,0,10,10,5.375,4.625,10,0,0,0,0,0,0,1,16,15,9,7,16,0,1,1,0.375,0.46875,0,0,2,2,1,1,2,0,7,7,0.875,1.53125,0,0,0,0,0,0,0,1,7,6,2.25,1.1875,2,13.01,115.765,102.755,57.998125,43.32515625,25.92,0,0.799,0.799,0.3995,0.3995,0.799,0,0,0,0,0,0,14,229,215,121.5,107.5,14,3,0.637377439,0.564294679,0.521835792,0.509034206,0.502746814,1.625,2,5.375,0,0.180555556,0.222222222,0.597222222,0,TRUE,0.539019714,0.120566178,3.820836647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,112,55,23,37.33333333
mp-16033,Sm2TeO2,5,4,0,1.4893,-3.27675914,139,8,62,54,38.4,24.32,8,23,90,67,62,31.2,23,15.9994,150.36,134.3606,92.06376,60.851488,15.9994,54.8,1345,1290.2,704.452,519.7216,54.8,3,16,13,10.8,6.24,3,2,6,4,4.2,1.76,2,66,198,132,133.2,53.76,66,1.17,3.44,2.27,2.264,0.9408,1.17,2,2,0,2,0,2,0,4,4,2.4,1.92,0,0,10,10,2,3.2,0,0,6,6,2.4,2.88,0,6,16,10,8.8,2.88,6,0,0,0,0,0,0,0,2,2,1.2,0.96,0,0,0,0,0,0,0,0,8,8,3.2,3.84,0,2,8,6,4.4,2.88,2,9.105,34.76333333,25.65833333,23.88666667,11.82533333,9.105,0,0.464,0.464,0.0928,0.14848,0,0,0,0,0,0,0,12,166,154,101.6,71.68,12,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,2,2.4,2,2.4,0.227272727,0.272727273,0.227272727,0.272727273,TRUE,0.724240177,0.160367712,4.94705687,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,122,62,8,40.66666667
mp-1207186,DyHSe,3,6,0,1.4877,-1.669261051,187,1,66,65,33.66666667,21.77777778,1,31,92,61,70.66666667,26.44444444,31,1.00794,162.5,161.49206,80.82264667,54.45156889,1.00794,14.01,1685,1670.99,731.0033333,635.9977778,14.01,1,16,15,6.666666667,6.222222222,1,1,6,5,3.666666667,1.777777778,1,31,192,161,114.3333333,55.55555556,31,1.22,2.55,1.33,1.99,0.513333333,1.22,1,2,1,1.666666667,0.444444444,1,0,4,4,1.333333333,1.777777778,0,0,10,10,3.333333333,4.444444444,0,0,10,10,3.333333333,4.444444444,0,1,16,15,9.666666667,5.777777778,1,0,1,1,0.333333333,0.444444444,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,1,4,3,2.333333333,1.111111111,1,6.615,31.24,24.625,21.25833333,9.762222222,6.615,0,7.853,7.853,2.884,3.312666667,0,0,0,0,0,0,0,14,194,180,134,80,14,3,0.577350269,0.480749857,0.415243647,0.389976938,0.372041058,1.666666667,1.333333333,3.333333333,3.333333333,0.172413793,0.137931034,0.344827586,0.344827586,TRUE,0.357394967,0.066778508,5.147746917,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,101,66,1,33.66666667
mp-983565,CuBSe2,8,4,0,1.487,-0.186407558,122,5,34,29,25.5,10.25,34,64,89,25,78.5,10.5,89,10.811,78.96,68.149,58.06925,23.629125,78.96,494,2348,1854,1173.4425,679.4425,494,11,16,5,14,2,16,2,4,2,3.5,0.75,4,84,132,48,114,15,120,1.9,2.55,0.65,2.26,0.29,2.55,1,2,1,1.75,0.375,2,0,4,4,2.25,1.75,4,0,10,10,7.5,3.75,10,0,0,0,0,0,0,3,16,13,11.5,4.5,16,0,1,1,0.25,0.375,0,0,5,5,2.25,1.375,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2.5,1.25,2,7.1725,25.92,18.7475,17.520625,8.399375,25.92,0,1.524,1.524,0.7805,0.39025,0.799,0,0,0,0,0,0,14,225,211,104.75,90.75,14,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,1.75,2.25,7.5,0,0.152173913,0.195652174,0.652173913,0,FALSE,0.100238004,0.020704747,5.078710994,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,34,5,22.66666667
mp-685146,CdTe,4,3,0.008631498,1.4843,-0.552108508,36,48,52,4,50,2,48,70,90,20,80,10,70,112.411,127.6,15.189,120.0055,7.5945,112.411,594.22,722.66,128.44,658.44,64.22,594.22,12,16,4,14,2,12,5,5,0,5,0,5,138,144,6,141,3,138,1.69,2.1,0.41,1.895,0.205,1.69,2,2,0,2,0,2,0,4,4,2,2,0,10,10,0,10,0,10,0,0,0,0,0,0,12,16,4,14,2,12,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,19.495,34.76333333,15.26833333,27.12916667,7.634166667,19.495,0,0.464,0.464,0.232,0.232,0,0,0,0,0,0,0,152,194,42,173,21,152,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,2,2,10,0,0.142857143,0.142857143,0.714285714,0,TRUE,0.041154191,0.010288548,4.96927479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,52,48,50
mp-35777,Mg(InTe2)2,7,4,0.004781954,1.4837,-0.714015102,121,12,52,40,45.42857143,9.551020408,52,68,90,22,82.57142857,8.489795918,90,24.305,127.6,103.295,109.1915714,24.25330612,127.6,429.75,923,493.25,667.5914286,135.9093878,722.66,2,16,14,13.14285714,3.265306122,16,3,5,2,4.714285714,0.489795918,5,138,142,4,139.5714286,1.795918367,138,1.31,2.1,0.79,1.895714286,0.233469388,2.1,2,2,0,2,0,2,0,4,4,2.571428571,1.632653061,4,0,10,10,8.571428571,2.448979592,10,0,0,0,0,0,0,2,16,14,13.14285714,3.265306122,16,0,0,0,0,0,0,0,5,5,2.571428571,1.387755102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2.571428571,1.387755102,2,22.89,34.76333333,11.87333333,30.06619048,5.368163265,34.76333333,0,0.464,0.464,0.265142857,0.227265306,0.464,0,0,0,0,0,0,139,194,55,154.2857143,11.34693878,152,3,0.654653671,0.597048457,0.575065028,0.572069151,0.571484405,2,2.571428571,8.571428571,0,0.152173913,0.195652174,0.652173913,0,TRUE,0.144462198,0.01811235,4.404946821,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,113,52,12,37.66666667
mp-1078823,Cs2Zr(AgTe2)2,9,3,0,1.4831,-0.986480983,21,40,55,15,50.22222222,3.703703704,52,5,90,85,60.44444444,28.2962963,90,91.224,132.9054519,41.6814519,120.3523671,12.02148917,127.6,301.59,2128,1826.41,899.0755556,422.362963,722.66,1,16,15,10.22222222,5.481481481,16,5,6,1,5.222222222,0.345679012,5,138,244,106,167.2222222,35.85185185,138,0.79,2.1,1.31,1.685555556,0.477037037,2.1,1,2,1,1.555555556,0.49382716,2,0,4,4,1.777777778,1.975308642,4,0,10,10,6.888888889,4.148148148,10,0,0,0,0,0,0,1,16,15,10.22222222,5.481481481,16,0,1,1,0.444444444,0.49382716,0,0,2,2,0.888888889,0.987654321,2,0,8,8,0.888888889,1.580246914,0,0,0,0,0,0,0,1,8,7,2.222222222,1.283950617,2,16.33,115.765,99.435,47.38203704,30.39242798,34.76333333,0,0.464,0.464,0.206222222,0.229135802,0.464,0,0,0,0,0,0,152,229,77,190,33.77777778,152,4,0.555555556,0.480749857,0.449948767,0.445433752,0.444531216,1.555555556,1.777777778,6.888888889,0,0.152173913,0.173913043,0.673913043,0,TRUE,0.34885635,0.05952896,4.062360072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0.222222222,0,0,0,0,0.444444444,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,194,55,40,48.5
