mpid,formula,log(PF_n),num_sites,e_hull,formation,band_gap,space_group
mp-203,NiTe,-2.155722932,4,0.03672251,-0.153693703,0,194
mp-607004,CeAsSe,-2.715203936,24,0,-1.603896787,0,62
mp-1525,CeTe,-2.725115085,2,0,-1.571865663,0,225
mp-543029,La2TeI2,-2.765928375,5,0,-1.775061285,0,166
mp-976892,Na(TeMo)3,-2.785376003,14,0,-0.501976929,0,176
mp-975237,Rb(TeMo)3,-2.811375207,14,0.06165244,-0.490961445,0,176
mp-2089,ZrTe3,-2.813450477,8,0.002800897,-0.823263469,0,11
mp-690674,NdAsSe,-2.881612908,12,0,-1.606506607,0.0309,64
mp-644,K5Te3,-2.978281598,16,0,-1.174004154,0.1716,87
mp-19810,TaNiTe2,-3.050643177,16,0,-0.592638419,0,53
mp-10445,Sc6FeTe2,-3.060761882,9,0,-0.717095009,0,189
mp-571547,Te2Au,-3.073497553,12,0.009720005,-0.081184139,0,7
mp-10027,TiSe,-3.077975063,4,0.264816064,-1.098326853,0,194
mp-8848,TaFeTe3,-3.192971267,10,0.020059773,-0.51038449,0,11
mp-21273,FeTe,-3.222400654,4,0.076453769,-0.270042538,0,129
mp-33333,NaSbSe2,-3.270576817,8,0.030758105,-0.696485387,0,141
