Unnamed: 0,mpid,pf_n,pf_p,formula,m_n,m_p,composition
0,mp-10070,0.865,0.0125,BaAg(PO3)3,0.578,72.8,"(Ba, Ag, P, O)"
1,mp-10086,1.05,0.644,YSF,0.541,4.02,"(Y, S, F)"
2,mp-10096,0.977,0.42,Na3Sr3GaP4,0.27,1.02,"(Na, Sr, Ga, P)"
3,mp-10103,0.889,0.0257,YbLiAlF6,0.5479999999999999,20.3,"(Yb, Li, Al, F)"
4,mp-10155,0.7190000000000001,1.57,P2Ir,1.16,0.667,"(P, Ir)"
5,mp-10159,1.1,0.0268,K3Sb,0.127,5.22,"(K, Sb)"
6,mp-10163,1.02,0.506,NaAlTe2,0.308,0.802,"(Na, Al, Te)"
7,mp-1022,1.01,0.0227,K2S,0.37,16.4,"(K, S)"
8,mp-10223,1.4,0.4370000000000001,Na2PdS2,2.58,2.83,"(Na, Pd, S)"
9,mp-10226,1.42,0.7809999999999999,NaYS2,0.624,1.56,"(Na, Y, S)"
10,mp-10233,0.932,0.347,Ca2BN2F,0.521,1.51,"(Ca, B, N, F)"
11,mp-10246,1.41,0.4920000000000001,Na2PtS2,2.22,4.52,"(Na, Pt, S)"
12,mp-10250,1.09,0.188,BaLiF3,0.618,3.59,"(Ba, Li, F)"
13,mp-10281,1.16,0.179,ZnS,0.184,1.2,"(Zn, S)"
14,mp-10288,1.14,0.7859999999999999,LaCuTeS,1.03,0.693,"(La, Cu, Te, S)"
15,mp-10289,1.21,1.45,Ca(BC)2,0.61,0.5660000000000001,"(Ca, B, C)"
16,mp-1029,0.913,0.0883,BaF2,0.507,5.24,"(Ba, F)"
17,mp-10293,0.978,0.153,BaC2,0.833,3.72,"(Ba, C)"
18,mp-10299,0.541,0.373,Ca4PdO6,2.61,3.91,"(Ca, Pd, O)"
19,mp-10322,1.82,0.797,BaHfN2,128.0,2.17,"(Ba, Hf, N)"
20,mp-10336,0.986,0.863,BaYCuTe3,0.687,0.6579999999999999,"(Ba, Y, Cu, Te)"
21,mp-10337,0.937,1.01,BaYAgTe3,0.8170000000000001,0.62,"(Ba, Y, Ag, Te)"
