mpid,band_gap
mp-1207297,0.20059999999999997
mp-1207291,0.2363
mp-1183074,0.2016
mp-1183079,0.22000000000000064
mp-867311,0.07939999999999969
mp-1183052,0.8071000000000002
mp-861502,0.9887999999999995
mp-861884,0.49099999999999966
mp-861605,0.6406999999999998
mp-861460,0.3799000000000001
mp-1184231,0.21850000000000014
mp-866056,0.0517000000000003
mp-865028,0.6253000000000002
mp-18125,0.25849999999999973
mp-600237,0.7095
mp-654937,0.7248000000000001
mp-732005,0.1241000000000001
mp-568386,0.774
mp-568392,0.8722000000000003
mp-1229222,0.2208000000000001
mp-1215080,0.3277000000000001
mp-1215073,0.3965999999999994
mp-1195193,0.22229999999999994
mp-1199256,0.3703000000000001
mp-560328,1.2258
mp-1229151,0.5666000000000002
mp-1245378,0.9837999999999998
mp-1215118,1.1012
mp-1205258,0.9809
mp-28729,0.050899999999999945
mp-1197575,0.5615000000000001
mp-851575,0.4140999999999999
mp-1229130,0.18899999999999917
mp-23558,0.3872
mp-561113,0.5211999999999999
mp-1199990,1.0895
mp-574486,1.0037
mp-1178578,0.44999999999999996
mp-1229177,0.4558
mp-4691,0.47360000000000024
mp-560717,0.7489999999999999
mp-676581,0.4907999999999999
mp-554988,0.7502
mp-983589,0.2116
mp-861942,1.3699000000000003
mp-9900,0.46460000000000035
mp-1096802,0.1251
mp-690687,1.4591
mp-555477,0.6966000000000001
mp-553949,0.13580000000000014
mp-1229184,0.8896000000000002
mp-23592,0.6403999999999999
mp-571425,0.7716000000000003
mp-672339,0.7439
mp-1229141,0.44410000000000016
mp-1229122,1.2763999999999998
mp-37163,0.08719999999999972
mp-570256,1.1003999999999998
mp-29816,0.4102999999999999
mp-9635,0.4190999999999998
mp-556866,1.2212000000000003
mp-557396,1.4835
mp-546190,0.347
mp-1190325,1.1667999999999998
mp-707138,1.3274000000000001
mp-558151,1.0803
mp-561822,1.4970999999999997
mp-13956,0.8588
mp-1229102,0.9013999999999998
mp-20210,1.3818000000000001
mp-28557,0.9506000000000001
mp-1102900,1.1839999999999997
mp-1393712,1.2299
mp-1537871,0.9753000000000001
mp-2025704,1.0778999999999996
mp-32669,1.3001000000000003
mp-32868,0.6242999999999999
mp-32884,1.4427999999999999
mp-36216,1.2959
mp-38511,0.12020000000000008
mp-556225,1.1894
mp-560025,0.3700999999999999
mp-610517,1.0006999999999997
mp-5625,1.2289
mp-660503,1.321
mp-1229100,0.09080000000000021
