MPID	log($PF_n$)	${\bar N_{{\rm{dU}}}}$	$N_{{\rm{dU}}}^{\max }$	$N_{\rm{U}}^{\max }$	$E_{\rm{g}}$	$\Delta {\bar r_{{\rm{cov}}}}$	$N_{\rm{M}}^{\max }$	${f_{\rm{p}}}$	$SG$	$T_{\rm{M}}^{\max }$	$\bar \chi $	${L_0}$	$r_{{\rm cov}} ^{\max }$
mp-14983	-1.787812583	0.333333333	3	4	1.4917	7.308641975	83	0.454545455	1	2607.0	2.062222222	3	146
mp-29157	-1.82973849	0.166666667	1	4	0.5757	7.388888889	83	0.260869565	1	2041.4	2.06	3	136
mp-758317	-1.853872181	2.307692308	9	9	2.333	46.43786982	87	0.315789474	1	3290.0	2.821538462	3	190
mp-695582	-1.896196518	2.14	9	9	1.9372	52.296	87	0.5	1	1941.0	2.5698	5	207
mp-682284	-1.946921826	0.0	0	5	0.6833	31.73553719	87	0.265306122	1	692.68	2.65	3	142
mp-673669	-1.954677295	0.0	0	5	0.8795	34.7700831	87	0.34939759	1	505.08	2.856842105	3	142
mp-778065	-1.962573781	0.0	0	5	1.0145	26.81632653	87	0.290322581	1	302.91	2.684285714	3	122
mp-674352	-1.974694422	0.5	7	7	0.3199	21.12244898	88	0.181818182	1	3290.0	2.177857143	3	170
mp-625094	-1.982966953	0.0	0	2	1.7067	30.56	92	0.307692308	1	594.22	2.594	3	144
mp-676348	-1.982966953	0.428571429	6	7	0.2857	20.75510204	88	0.203389831	1	2750.0	2.185	3	164
mp-758316	-1.98716307	2.0	9	9	1.2729	55.09333333	87	0.311320755	1	1193.0	2.667555556	3	207
mp-769484	-1.991400126	0.454545455	5	5	0.1276	27.80165289	87	0.559322034	1	3823.0	2.845454545	5	166
mp-655001	-1.991400126	0.0	0	5	0.874	41.28	92	0.083333333	1	2348.0	1.818	3	128
mp-625572	-1.995678927	0.0	0	2	4.1623	24.84375	95	0.382352941	1	265.8	2.605	3	120
mp-677520	-2.010550493	0.0	0	5	2.459	45.47928994	87	0.327338129	1	1000.0	2.504358974	5	215
mp-627418	-2.011441355	0.0	0	4	2.946	22.3125	92	0.417322835	1	1211.4	2.766458333	3	120
mp-32833	-2.011887472	0.0	0	3	0.5493	32.88581315	89	0.173228346	1	1747.0	2.084117647	2	192
mp-758033	-2.015473002	1.4625	9	9	4.0092	60.09	87	0.334494774	1	1799.0	2.554375	3	192
mp-626528	-2.015473002	1.2	6	7	2.5186	34.16	92	0.5	1	2750.0	2.824	3	164
mp-754453	-2.016825244	3.4	9	9	0.5629	55.6	87	0.458333333	1	1941.0	2.512	4	207
mp-684591	-2.017276928	0.0	0	5	3.3433	26.4	87	0.583333333	1	933.47	2.708	2	121
mp-775867	-2.017729084	0.0	0	3	1.5773	27.5	87	0.509803922	1	903.78	2.8025	4	139
mp-676813	-2.023191984	0.0	0	1	1.7042	14.1	96	0.192307692	1	1234.93	2.184	3	220
mp-627077	-2.025028328	0.0	0	2	4.1091	53.28	92	0.5	1	1000.0	2.434	3	215
mp-677638	-2.026872469	0.0	0	5	4.7813	35.23653968	87	0.614583333	1	1115.0	2.641118881	5	176
mp-626504	-2.028724476	0.0	0	5	4.7625	23.87755102	92	0.541666667	1	933.47	2.647142857	3	121
mp-625318	-2.029188714	0.0	0	5	5.0579	23.87755102	92	0.541666667	1	933.47	2.647142857	3	121
mp-695133	-2.029653449	0.0	0	5	4.044	28.50215455	87	0.59375	1	1687.0	2.736610169	5	244
mp-626435	-2.030118682	0.0	0	5	5.0015	23.87755102	92	0.541666667	1	933.47	2.647142857	3	121
mp-626431	-2.030118682	0.0	0	5	5.0535	23.87755102	92	0.541666667	1	933.47	2.647142857	3	121
mp-721171	-2.030584414	0.0	0	2	4.9182	33.84499055	94	0.541666667	1	923.0	2.548695652	5	244
mp-768947	-2.031050646	0.0	0	4	3.1107	29.50229568	87	0.363636364	1	1211.4	2.358484848	4	128
mp-556588	-2.031517378	0.0	0	4	4.2384	20.0	87	0.625	1	1687.0	2.926666667	2	111
mp-625641	-2.032452352	0.0	0	2	4.1744	21.03061224	95	0.42	1	265.8	2.608571429	3	120
mp-625687	-2.033858596	0.0	0	2	3.5223	21.03061224	95	0.42	1	265.8	2.608571429	3	120
