     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
         1   -0.1787812583E+01   -0.2605944985E+01    0.1998939957E+05   -0.1977391161E+01    0.6948576591E+01
         2   -0.1829738490E+01   -0.2220091370E+01    0.8185724631E+04    0.1080604612E+01    0.8632416427E+01
         3   -0.1853872181E+01   -0.2144626195E+01    0.2005904082E+05    0.8746177284E+01    0.4573288673E+01
         4   -0.1896196518E+01   -0.2394298486E+01    0.2717323200E+05    0.8746177284E+01    0.1027820810E+02
         5   -0.1946921826E+01   -0.2052618295E+01    0.6377970136E+04    0.5000000000E+01    0.1112073971E+02
         6   -0.1954677295E+01   -0.2109023177E+01    0.7938318084E+04    0.5000000000E+01    0.1249322584E+02
         7   -0.1962573781E+01   -0.2077632497E+01    0.7600615546E+04    0.5000000000E+01    0.1078202812E+02
         8   -0.1974694422E+01   -0.2106947456E+01    0.1498057144E+05    0.6132022834E+01    0.3120412542E+01
         9   -0.1982966953E+01   -0.2173686238E+01    0.3478449234E+04    0.2000000000E+01    0.1633785416E+02
        10   -0.1982966953E+01   -0.2176370593E+01    0.1564640613E+05    0.4892743454E+01    0.3379503787E+01
        11   -0.1987163070E+01   -0.2025460726E+01    0.1555540303E+05    0.8746177284E+01    0.3828677643E+01
        12   -0.1991400126E+01   -0.2981134447E+01    0.2880651773E+05   -0.1424669031E+01    0.2050314910E+02
        13   -0.1991400126E+01   -0.1863087421E+01    0.1944266659E+04    0.5000000000E+01    0.5064030644E+01
        14   -0.1995678927E+01   -0.2125692667E+01    0.5096645218E+04    0.2000000000E+01    0.9910946400E+01
        15   -0.2010550493E+01   -0.2175636459E+01    0.5912220522E+04    0.5000000000E+01    0.2102096082E+02
        16   -0.2011441355E+01   -0.2181174782E+01    0.1070224410E+05    0.4000000000E+01    0.9916444770E+01
        17   -0.2011887472E+01   -0.1956907676E+01    0.2595391596E+04    0.3000000000E+01    0.4895101982E+01
        18   -0.2015473002E+01   -0.1995117738E+01    0.1409596434E+05    0.8746177284E+01    0.4197292847E+01
        19   -0.2015473002E+01   -0.2682135652E+01    0.3458832000E+05    0.4892743454E+01    0.6847824146E+01
        20   -0.2016825244E+01   -0.2221149443E+01    0.2253734998E+05    0.8746177284E+01    0.5790085737E+01
        21   -0.2017276928E+01   -0.2167392098E+01    0.1537724999E+05    0.5000000000E+01    0.3515761869E+01
        22   -0.2017729084E+01   -0.2391791161E+01    0.7917000007E+04    0.3000000000E+01    0.2745376095E+02
