     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
         1   -0.2274088939E+01   -0.2723537061E+01    0.2983267177E+00    0.7175826954E+01    0.2418130976E+01
         2   -0.1982966953E+01   -0.2601649877E+01    0.1796939022E+00    0.5174866468E+01    0.1948588198E+01
         3   -0.2508639287E+01   -0.2756532298E+01    0.1815969386E+00    0.4309429797E+01    0.1313801452E+01
         4   -0.2284833228E+01   -0.2982148029E+01    0.4425478796E+00    0.4430509644E+01    0.1604462263E+01
         5   -0.3176530336E+01   -0.2846772653E+01    0.2918969293E+00    0.3246267671E+01    0.1225583422E+01
         6   -0.4040514995E+01   -0.3002289971E+01    0.3151043036E+00    0.5907810627E+01    0.1382845749E+01
         7   -0.3847733065E+01   -0.2922073961E+01    0.1915530774E+00    0.6060491337E+01    0.1207901202E+01
         8   -0.2533133418E+01   -0.2523100560E+01    0.1577254981E+00    0.3069271052E+01    0.1677338437E+01
         9   -0.2939304804E+01   -0.3090965026E+01    0.3422978557E+00    0.5576723235E+01    0.1147311430E+01
        10   -0.2497573836E+01   -0.2532105079E+01    0.1764386930E+00    0.2955746905E+01    0.1694920701E+01
        11   -0.2270835777E+01   -0.2634025159E+01    0.1710527486E+00    0.3493876738E+01    0.1478293640E+01
        12   -0.2939304804E+01   -0.3309802597E+01    0.8281697033E+00    0.1755816950E+01    0.1471294659E+01
        13   -0.2567031831E+01   -0.2929880074E+01    0.8498285159E-01    0.5316967869E+01    0.6475624748E+00
        14   -0.2841639619E+01   -0.3450127552E+01    0.4350349519E+00    0.8377030559E+01    0.9720261808E+00
        15   -0.4039087066E+01   -0.3212275925E+01    0.5539460237E+00    0.4894270654E+01    0.1409875825E+01
        16   -0.2982969584E+01   -0.3085572428E+01    0.4048545996E+00    0.4507430525E+01    0.1172631658E+01
        17   -0.2386158918E+01   -0.2401260440E+01    0.9997279551E-01    0.2764863363E+01    0.1772835414E+01
        18   -0.3049151945E+01   -0.2807741088E+01    0.1846616632E+00    0.5646094031E+01    0.1442565900E+01
        19   -0.2958610079E+01   -0.2918826743E+01    0.3272596431E+00    0.4835580294E+01    0.1459916390E+01
