mpid	log($PF_p$)	$\Delta{\bar N_{\rm{U}}}$	${\bar N_{\rm{U}}}$	${\bar N_{{\rm{pU}}}}$	${L_0}$	${L_2}$	$SG$	$\bar N$	${E_{\rm{g}}}$	${\bar T_{\rm{M}}}$	 $\bar N_{{\rm{pU}}}$	${\chi ^{\max }}$	${\chi _{{\rm{range}}}}$
mp-14983	-2.274088939	0.49382716	3.555555556	3.111111111	3	0.638284739	1	17.77777778	1.4917	1180.466667	0.454545455	2.2	0.3
mp-29157	-1.982966953	0.666666667	3.333333333	3	3	0.623609564	1	25	0.5757	1289.5	0.260869565	2.28	0.38
mp-758317	-2.508639287	2.343195266	3.692307692	1.384615385	3	0.733799386	1	25.38461538	2.333	935.5538462	0.315789474	3.44	2.22
mp-695582	-2.284833228	2.512	3.4	1.2	5	0.643117408	1	16.32	1.9372	598.9122	0.5	3.44	2.51
mp-682284	-3.176530336	1.090909091	2	2	3	0.636363636	1	21.45454545	0.6833	296.94	0.265306122	3.44	1.79
mp-673669	-4.040514995	1.1966759	2.947368421	2.947368421	3	0.684210526	1	23.26315789	0.8795	204.8336842	0.34939759	3.44	1.66
mp-778065	-3.847733065	1.346938776	3.428571429	3.428571429	3	0.622699849	1	17.71428571	1.0145	162.3114286	0.290322581	3.44	1.63
mp-674352	-2.533133418	0.857142857	1.857142857	0.857142857	3	0.662401321	1	35.57142857	0.3199	1018.905	0.181818182	2.58	1.08
mp-625094	-2.939304804	0.64	1.2	0.8	3	0.6	1	13.2	1.7067	146.368	0.307692308	3.44	1.75
mp-676348	-2.497573836	0.857142857	1.857142857	0.857142857	3	0.662401321	1	33.28571429	0.2857	980.3335714	0.203389831	2.58	0.98
mp-758316	-2.270835777	2.340740741	3.733333333	1.733333333	3	0.664069013	1	32.22222222	1.2729	394.7733333	0.311320755	3.44	2.34
mp-769484	-2.939304804	0.842975207	2.454545455	1.909090909	5	0.661828172	1	10.27272727	0.1276	583.07	0.559322034	3.44	2.51
mp-655001	-2.567031831	0.72	1.4	0.5	3	0.678232998	1	2	0.874	379.313	0.083333333	2.2	1.22
mp-625572	-2.841639619	0.375	1.25	0.625	3	0.684653197	1	7	4.1623	55.68125	0.382352941	3.44	1.24
mp-677520	-4.039087066	1.076923077	2	1.974358974	5	0.59749642	1	22.05128205	2.459	317.3953846	0.327338129	3.44	2.62
mp-627418	-2.982969584	0.6875	1.916666667	1.541666667	3	0.625694059	1	8.875	2.946	208.1745833	0.417322835	3.44	1.43
mp-32833	-2.386158918	0.456747405	2.352941176	1.294117647	2	0.737056711	1	45.64705882	0.5493	936.2352941	0.173228346	2.55	1.32
mp-758033	-3.049151945	1.828125	3.375	1.2	3	0.665441583	1	27.05	4.0092	740.13	0.334494774	3.44	2.22
mp-626528	-2.958610079	1.68	2.8	1.2	3	0.663324958	1	13.2	2.5186	585.682	0.5	3.44	1.84
mp-754453	-2.088310214	2.96	4.8	1.4	4	0.529150262	1	20.4	0.5629	661.33	0.458333333	3.44	2.34
mp-684591	-2.896198673	1.44	3.2	3.2	2	0.721110255	1	10	3.3433	406.268	0.583333333	3.44	1.83
mp-775867	-2.735183829	0.4375	2.125	2	4	0.661437828	1	13.625	1.5773	243.59625	0.509803922	3.44	2.46
mp-676813	-3.754504605	0	1	0.5	3	0.64807407	1	49	1.7042	718.643	0.192307692	2.66	1.84
mp-627077	-3.291585049	0.64	1.2	0.8	3	0.6	1	14.8	4.1091	227.524	0.5	3.44	2.55
mp-677638	-5.973466735	0.528436598	2.041958042	1.853146853	5	0.640728899	1	10.16783217	4.7813	211.4981818	0.614583333	3.44	2.51
mp-626504	-2.970619063	0.857142857	2	1.571428571	3	0.622699849	1	5.714285714	4.7625	162.8428571	0.541666667	3.44	1.83
mp-625318	-3.149971036	0.857142857	2	1.571428571	3	0.622699849	1	5.714285714	5.0579	162.8428571	0.541666667	3.44	1.83
mp-695133	-2.950784691	1.15311692	2.610169492	2.593220339	5	0.650944555	1	10.74576271	4.044	500.8579661	0.59375	3.44	2.65
mp-626435	-3.253371249	0.857142857	2	1.571428571	3	0.622699849	1	5.714285714	5.0015	162.8428571	0.541666667	3.44	1.83
mp-626431	-3.375725125	0.857142857	2	1.571428571	3	0.622699849	1	5.714285714	5.0535	162.8428571	0.541666667	3.44	1.83
mp-721171	-2.787814261	0.40831758	1.217391304	0.652173913	5	0.60088152	1	7.739130435	4.9182	97.23086957	0.541666667	3.44	2.65
mp-768947	-3.136086782	0.778696051	1.757575758	1.454545455	4	0.591491554	1	11.39393939	3.1107	373.8587879	0.363636364	3.44	2.46
mp-556588	-3.213963766	0.888888889	2.666666667	2.666666667	2	0.745355992	1	10	4.2384	598.8666667	0.625	3.44	1.54
mp-625641	-3.000437555	0.408163265	1.285714286	0.642857143	3	0.707106781	1	5.428571429	4.1744	43.64928571	0.42	3.44	1.24
mp-625687	-3.133716797	0.408163265	1.285714286	0.642857143	3	0.707106781	1	5.428571429	3.5223	43.64928571	0.42	3.44	1.24
mp-627442	-4.038612132	0.6875	1.916666667	1.541666667	3	0.625694059	1	8.875	2.6785	208.1745833	0.417322835	3.44	1.43
mp-626094	-3.580055811	0.857142857	2	1.571428571	3	0.622699849	1	5.714285714	4.3393	162.8428571	0.541666667	3.44	1.83
mp-695365	-2.548214638	0.720570749	3.379310345	3.344827586	5	0.588231797	1	9.724137931	3.8741	669.9793103	0.5546875	3.44	2.46
mp-677248	-3.458429492	0.719008264	1.454545455	1	5	0.592654764	1	8.181818182	3.7826	187.6736364	0.463414634	3.44	2.44
mp-677121	-3.414547166	1.082840237	2.615384615	2.576923077	5	0.657231057	1	12	4.7135	517.2592308	0.6015625	3.44	2.62
mp-625171	-3.47237912	0.396694215	1.272727273	0.636363636	3	0.698285977	1	4.363636364	4.2299	39.46090909	0.53125	3.44	1.24
mp-626690	-2.568637362	1.555555556	2.666666667	2.333333333	3	0.577350269	1	30	1.5132	215.27	0.147058824	3.44	1.82
mp-627944	-3.467254536	0.853333333	2.4	2.266666667	3	0.669991708	1	8.666666667	5.1713	484.6146667	0.611111111	3.44	1.54
mp-693753	-3.764489228	0.771266541	1.608695652	1.5	6	0.57351765	1	12.17391304	4.8172	305.1923913	0.597222222	3.98	3.09
mp-626103	-2.978813596	0.857142857	2	1.571428571	3	0.622699849	1	5.714285714	4.9229	162.8428571	0.541666667	3.44	1.83
mp-556788	-3.238829456	0.888888889	2.666666667	2.666666667	2	0.745355992	1	10	4.8016	598.8666667	0.625	3.44	1.54
mp-754833	-2.501690411	2.56	4.8	1.6	3	0.6	1	33.2	1.0658	1038.58	0.192307692	3.44	2.14
mp-752458	-3.003491393	2.475	4.05	1.2	3	0.667083203	1	24.45	4.0053	735.38	0.390243902	3.44	2.22
mp-720222	-5.59808275	0.946502058	2.37037037	2.259259259	6	0.625257149	1	10.2962963	3.7823	420.5251852	0.6015625	3.44	2.51
mp-773007	-2.573489878	0.5625	1.75	1.375	4	0.605959982	1	15.125	0.2662	519.72125	0.333333333	3.44	2.46
mp-24104	-2.939304804	0.934911243	2.307692308	2.076923077	5	0.590857365	1	7.846153846	4.8988	397.9061538	0.589285714	3.44	2.46
mp-33932	-3.050613409	1.68	2.8	1.2	3	0.663324958	1	13.2	2.6175	585.682	0.5	3.44	1.84
mp-24390	-3.554406693	0.693877551	1.714285714	1.571428571	4	0.622699849	1	9.714285714	5.6626	237.93	0.59375	3.44	2.44
mp-686308	-4.89643572	0.846863905	2.123076923	1.8	5	0.567147957	1	9.076923077	0.8366	269.4233846	0.480392157	3.44	2.51
mp-35397	-2.675718986	0.79338843	2.545454545	2	3	0.755147624	1	27.63636364	0.238	474.7454545	0.301587302	3.44	1.42
mp-693340	-3.779910226	0.704101563	2.03125	1.828125	6	0.56293386	1	9.09375	4.1775	174.498125	0.515625	3.44	1.83
mp-677497	-6.314258261	1.109375	2.625	2.625	5	0.666015307	1	10.54166667	3.8361	527.5795833	0.6	3.44	2.49
mp-754500	-3.647830994	0.544378698	2.153846154	2	5	0.650443636	1	11.30769231	2.8497	140.4569231	0.540540541	3.44	2.46
mp-707941	-4.292489437	0.408163265	1.714285714	1.428571429	4	0.630840062	1	9.285714286	5.1609	167.2671429	0.625	3.44	2.51
mp-556994	-3.068545689	0.888888889	2.666666667	2.666666667	2	0.745355992	1	10	5.3836	598.8666667	0.625	3.44	1.54
mp-556880	-2.793176012	0.888888889	2.666666667	2.666666667	2	0.745355992	1	10	5.0612	598.8666667	0.625	3.44	1.54
mp-765476	-2.987165727	3.0225	4.35	1.2	3	0.686476511	1	22.5	4.0053	748.58	0.432432432	3.44	2.22
mp-779539	-3.362517275	0.5625	1.75	1.375	4	0.58630197	1	10.25	1.2147	350.20625	0.452380952	3.44	2.46
mp-625501	-3.607315355	0.444444444	1.333333333	0.666666667	3	0.689605362	1	4	4.3045	51.39733333	0.5	3.44	2.51
mp-686697	-2.705535317	2.6008	3.46	1.2	5	0.643117408	1	16.5	2.016	604.9722	0.481927711	3.44	2.51
mp-765639	-3.055027543	3.03	4.525	1.2	3	0.671751442	1	26.725	3.8606	627.63	0.388663968	3.44	2.27
mp-756912	-2.931816736	1	2	1.833333333	4	0.577350269	1	10.33333333	2.972	609.795	0.382352941	3.44	2.46
mp-776561	-3.43534222	0.678571429	2.214285714	2.035714286	5	0.620648114	1	14.5	0.3287	721.4982143	0.426315789	3.44	2.51
mp-759095	-2.978813596	0.544378698	2.153846154	2	5	0.650443636	1	11.30769231	3.3194	140.4569231	0.540540541	3.44	2.46
mp-556985	-3.178491057	0.888888889	2.666666667	2.666666667	2	0.745355992	1	10	5.8343	598.8666667	0.625	3.44	1.54
mp-778772	-3.892813781	0.5625	1.75	1.375	4	0.579601156	1	11.875	0.7225	406.71125	0.404255319	3.44	2.46
mp-626165	-4.407901001	0.444444444	1.333333333	0.666666667	3	0.689605362	1	4	3.8289	51.39733333	0.5	3.44	2.51
mp-558808	-3.280674515	1.04	2.6	2.5	4	0.64807407	1	9.2	4.9282	508.996	0.604166667	3.44	2.46
mp-684723	-2.122629057	1.63	3.1	2	5	0.644204936	1	27.9	0.374	559.686	0.266666667	3.44	1.9
mp-693763	-4.251866263	0.795918367	2	1.653061224	6	0.525683546	1	6.530612245	4.8724	134.3280612	0.578125	3.98	2.37
mp-696736	-3.182439257	0.375	0.75	0.625	3	0.684653197	1	11.25	7.3021	462.495	0.625	3.98	3.16
mp-720971	-3.698985205	1.167548501	2.158730159	2.158730159	5	0.577350269	1	12.15873016	4.3306	497.1550794	0.574324324	3.44	2.44
mp-720112	-4.623550795	1.117895092	2.623376623	2.623376623	4	0.665386413	1	11.68831169	4.2338	530.3	0.598958333	3.44	2.49
mp-626295	-3.958634953	0.49382716	1.333333333	0.740740741	3	0.699794208	1	5.62962963	3.7863	65.63555556	0.512820513	3.44	2.55
mp-657176	-3.59177191	0.444444444	0.666666667	0.666666667	3	0.707106781	1	18.33333333	6.5464	477.6666667	0.434782609	3.98	2.72
