     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
         1   -0.2274088939E+01   -0.2486696578E+01    0.4456338412E+00   -0.3822711912E-01    0.0000000000E+00
         2   -0.1982966953E+01   -0.2379818016E+01    0.2788708796E+00    0.8467563762E-01    0.0000000000E+00
         3   -0.2508639287E+01   -0.2726790999E+01    0.2275582663E+00    0.5585434043E+00    0.1404413250E+05
         4   -0.2284833228E+01   -0.2783541216E+01    0.3718705619E+00    0.7459687653E+00    0.4382398988E+04
         5   -0.3176530336E+01   -0.2885193044E+01    0.4357597373E+00    0.1034588369E+01    0.0000000000E+00
         6   -0.4040514995E+01   -0.2919134357E+01    0.5738782087E+00    0.7891391715E+00    0.0000000000E+00
         7   -0.3847733065E+01   -0.2802251264E+01    0.4768487462E+00    0.7166816555E+00    0.0000000000E+00
         8   -0.2533133418E+01   -0.2635276983E+01    0.1941111562E+00    0.5898737193E+00    0.9282885237E+04
         9   -0.2939304804E+01   -0.3075939943E+01    0.5053781583E+00    0.1367904391E+01    0.0000000000E+00
        10   -0.2497573836E+01   -0.2661580514E+01    0.2246289245E+00    0.6030780512E+00    0.8835908985E+04
        11   -0.2270835777E+01   -0.2502252802E+01    0.2386243096E+00    0.5044898067E+00    0.0000000000E+00
        12   -0.2939304804E+01   -0.3381467295E+01    0.8138031607E+00    0.1196420041E+01    0.5681397853E+04
        13   -0.2567031831E+01   -0.2704995928E+01    0.8753521835E-01    0.1404355101E+01    0.0000000000E+00
        14   -0.2841639619E+01   -0.3307770700E+01    0.6280066810E+00    0.1680865692E+01    0.0000000000E+00
        15   -0.4039087066E+01   -0.2975442251E+01    0.5376460069E+00    0.1025170458E+01    0.0000000000E+00
        16   -0.2982969584E+01   -0.3257836851E+01    0.6854439980E+00    0.1410212329E+01    0.0000000000E+00
        17   -0.2386158918E+01   -0.2448703006E+01    0.2109116288E+00    0.4307144221E+00    0.0000000000E+00
        18   -0.3049151945E+01   -0.2632857126E+01    0.2998197662E+00    0.6372736979E+00    0.1560601250E+04
        19   -0.2958610079E+01   -0.3011468867E+01    0.4981288809E+00    0.9994390513E+00    0.5389279763E+04
        20   -0.2088310214E+01   -0.2601581148E+01    0.2908919835E+00    0.2197515053E+00    0.1044980776E+05
        21   -0.2896198673E+01   -0.3335713360E+01    0.9581127569E+00    0.9542677515E+00    0.0000000000E+00
        22   -0.2735183829E+01   -0.3308017423E+01    0.8373422425E+00    0.1174105587E+01    0.0000000000E+00
        23   -0.3754504605E+01   -0.2572643190E+01    0.2442416238E+00    0.6761483451E+00    0.0000000000E+00
        24   -0.3291585049E+01   -0.3347370846E+01    0.8212395064E+00    0.1316719141E+01    0.0000000000E+00
        25   -0.5973466735E+01   -0.3520505479E+01    0.1009440226E+01    0.1316245741E+01    0.0000000000E+00
        26   -0.2970619063E+01   -0.3521060154E+01    0.8896761324E+00    0.1608002479E+01    0.0000000000E+00
        27   -0.3149971036E+01   -0.3521060154E+01    0.8896761324E+00    0.1608002479E+01    0.0000000000E+00
        28   -0.2950784691E+01   -0.3418710086E+01    0.9752219138E+00    0.1131252266E+01    0.0000000000E+00
        29   -0.3253371249E+01   -0.3521060154E+01    0.8896761324E+00    0.1608002479E+01    0.0000000000E+00
        30   -0.3375725125E+01   -0.3521060154E+01    0.8896761324E+00    0.1608002479E+01    0.0000000000E+00
        31   -0.2787814261E+01   -0.3529927114E+01    0.8896761324E+00    0.1631341183E+01    0.0000000000E+00
        32   -0.3136086782E+01   -0.3147491719E+01    0.5972650961E+00    0.1333510448E+01    0.0000000000E+00
        33   -0.3213963766E+01   -0.3469492720E+01    0.1026549383E+01    0.1140504210E+01    0.0000000000E+00
        34   -0.3000437555E+01   -0.3418410278E+01    0.6898411853E+00    0.1822198900E+01    0.0000000000E+00
        35   -0.3133716797E+01   -0.3418410278E+01    0.6898411853E+00    0.1822198900E+01    0.0000000000E+00
        36   -0.4038612132E+01   -0.3257836851E+01    0.6854439980E+00    0.1410212329E+01    0.0000000000E+00
        37   -0.3580055811E+01   -0.3521060154E+01    0.8896761324E+00    0.1608002479E+01    0.0000000000E+00
        38   -0.2548214638E+01   -0.3269706149E+01    0.9110625774E+00    0.8945754906E+00    0.0000000000E+00
        39   -0.3458429492E+01   -0.3383251236E+01    0.7611488105E+00    0.1556813964E+01    0.0000000000E+00
