mpid,log(PF_n*10^7),maximum NdUnfilled
mp-755031,7.82672252,0
mp-760432,7.6599162,0
mp-634105,7.630427875,0
mp-721650,7.618048097,0
mp-540925,7.597695186,0
mp-19390,7.557507202,6
mp-29803,7.5289167,0
mp-8781,7.489958479,0
mp-755364,7.477121255,0
mp-8276,7.477121255,0
mp-861884,7.463892989,9
mp-484,7.457881897,0
mp-700,7.45331834,0
mp-17862,7.451786436,0
mp-866132,7.451786436,0
mp-861871,7.445604203,0
mp-22859,7.444044796,0
mp-769118,7.442479769,0
mp-676274,7.442479769,0
mp-34361,7.440909082,0
mp-569548,7.439332694,0
mp-1683,7.436162647,8
mp-34292,7.434568904,0
mp-570485,7.423245874,0
mp-551470,7.421603927,0
mp-137,7.421603927,0
mp-18773,7.421603927,6
mp-541312,7.418301291,0
mp-691,7.413299764,0
mp-675989,7.413299764,0
mp-557179,7.411619706,0
mp-19717,7.409933123,0
mp-763253,7.408239965,3
mp-632532,7.40654018,0
mp-769633,7.404833717,4
mp-756853,7.403120521,0
mp-149,7.403120521,0
mp-7773,7.390935107,0
mp-557719,7.387389826,0
mp-30192,7.382017043,0
mp-558731,7.380211242,0
mp-23484,7.380211242,0
mp-9273,7.378397901,0
mp-1479,7.378397901,0
mp-28253,7.376576957,0
mp-864801,7.376576957,0
mp-938,7.372912003,0
mp-8279,7.371067862,0
mp-19886,7.369215857,8
mp-2201,7.369215857,0
mp-29174,7.367355921,0
mp-4412,7.367355921,9
mp-29374,7.367355921,0
mp-2095,7.36361198,0
mp-29529,7.361727836,0
mp-2168,7.359835482,0
mp-935811,7.357934847,6
mp-4170,7.357934847,7
mp-541032,7.356025857,0
mp-23099,7.356025857,0
mp-10996,7.356025857,0
mp-9569,7.350248018,0
mp-1933,7.350248018,0
mp-9565,7.348304863,0
mp-611426,7.346352974,0
mp-3785,7.344392274,0
mp-11051,7.344392274,0
mp-567710,7.342422681,0
mp-9567,7.342422681,0
mp-27484,7.342422681,0
mp-556516,7.336459734,0
mp-8411,7.330413773,0
mp-10623,7.330413773,8
mp-18291,7.328379603,0
mp-21526,7.328379603,0
mp-3858,7.324282455,7
mp-12910,7.318063335,0
mp-631519,7.318063335,0
mp-569517,7.315970345,0
mp-38843,7.315970345,7
mp-2853,7.315970345,0
mp-4823,7.31386722,0
mp-556407,7.307496038,0
mp-672673,7.307496038,0
mp-667,7.305351369,0
mp-30373,7.305351369,0
mp-614013,7.303196057,0
mp-3813,7.301029996,8
mp-5193,7.298853076,8
mp-557835,7.298853076,0
mp-22473,7.298853076,0
mp-2455,7.294466226,4
mp-23712,7.292256071,0
mp-10421,7.292256071,0
mp-677241,7.292256071,9
mp-27809,7.290034611,0
mp-865101,7.290034611,0
mp-22996,7.28780173,0
mp-861891,7.28780173,0
mp-569707,7.285557309,0
mp-22566,7.285557309,0
mp-2667,7.285557309,0
mp-566278,7.283301229,6
mp-23020,7.283301229,0
mp-27300,7.281033367,0
mp-21166,7.281033367,0
mp-2160,7.281033367,0
mp-7908,7.281033367,0
mp-767688,7.278753601,0
mp-542374,7.278753601,0
mp-10919,7.276461804,1
mp-22875,7.276461804,0
mp-673845,7.274157849,6
mp-9890,7.274157849,7
mp-19795,7.271841607,0
mp-365,7.269512944,0
mp-761755,7.269512944,0
mp-23167,7.269512944,0
mp-630528,7.267171728,0
mp-9274,7.264817823,0
mp-286,7.264817823,0
mp-557032,7.26245109,8
mp-624,7.26245109,0
mp-570961,7.260071388,0
mp-10322,7.260071388,8
mp-8387,7.260071388,0
mp-22987,7.257678575,0
mp-9272,7.257678575,1
mp-13206,7.257678575,0
mp-571458,7.257678575,0
mp-1958,7.257678575,0
mp-29138,7.255272505,0
mp-9518,7.255272505,0
mp-22919,7.255272505,0
mp-16220,7.255272505,0
mp-761780,7.252853031,3
mp-14205,7.252853031,0
mp-2172,7.252853031,0
mp-28899,7.250420002,0
mp-9179,7.250420002,8
mp-1950,7.250420002,0
mp-759883,7.250420002,0
mp-22535,7.250420002,8
mp-12637,7.250420002,6
mp-8195,7.247973266,0
mp-9813,7.247973266,6
mp-18062,7.247973266,0
mp-23116,7.245512668,0
mp-322,7.245512668,0
mp-1170,7.245512668,0
mp-28397,7.243038049,0
mp-568927,7.243038049,0
mp-27577,7.243038049,0
mp-865492,7.243038049,9
mp-559676,7.240549248,0
mp-27255,7.240549248,0
mp-556194,7.240549248,0
mp-7631,7.240549248,0
mp-571465,7.238046103,0
mp-569679,7.238046103,0
mp-643370,7.238046103,0
mp-754933,7.238046103,0
mp-1550,7.238046103,0
mp-569639,7.238046103,0
mp-570097,7.235528447,0
mp-28476,7.23299611,0
mp-23041,7.23299611,0
mp-8882,7.23299611,0
mp-2074,7.23299611,0
mp-865269,7.230448921,0
mp-22982,7.230448921,0
mp-570363,7.230448921,0
mp-16609,7.230448921,4
mp-23417,7.230448921,0
mp-569507,7.230448921,0
mp-24093,7.230448921,0
mp-409,7.230448921,0
mp-757343,7.227886705,0
mp-14280,7.227886705,0
mp-4763,7.227886705,0
mp-15793,7.227886705,0
mp-15796,7.227886705,0
mp-2758,7.227886705,0
mp-28348,7.225309282,0
mp-558063,7.225309282,0
mp-4342,7.225309282,6
mp-7991,7.225309282,0
mp-6977,7.225309282,0
mp-21043,7.225309282,0
mp-568949,7.222716471,0
mp-753459,7.222716471,6
mp-23205,7.222716471,0
mp-9263,7.222716471,0
mp-35171,7.220108088,6
mp-29526,7.220108088,0
mp-7639,7.220108088,0
mp-36209,7.220108088,0
mp-7786,7.220108088,0
mp-569168,7.220108088,0
