mpid	log(PF_p*10^9)	mean_Number
mp-14983	6.725911632	17.77777778
mp-29157	7.017033339	25
mp-758317	6.491361694	25.38461538
mp-695582	6.715167358	16.32
mp-682284	5.823474229	21.45454545
mp-673669	4.959518377	23.26315789
mp-778065	5.152288344	17.71428571
mp-674352	6.46686762	35.57142857
mp-625094	6.06069784	13.2
mp-676348	6.50242712	33.28571429
mp-758316	6.72916479	32.22222222
mp-769484	6.06069784	10.27272727
mp-655001	6.432969291	2
mp-625572	6.158362492	7
mp-677520	4.960946196	22.05128205
mp-627418	6.017033339	8.875
mp-32833	6.613841822	45.64705882
mp-758033	5.950851459	27.05
mp-626528	6.041392685	13.2
mp-754453	6.911690159	20.4
mp-684591	6.103803721	10
mp-775867	6.264817823	13.625
mp-676813	5.245512668	49
mp-627077	5.7084209	14.8
mp-677638	3.029383778	10.16783217
mp-626504	6.029383778	5.714285714
mp-625318	5.850033258	5.714285714
mp-695133	6.049218023	10.74576271
mp-626435	5.746634199	5.714285714
mp-626431	5.624282096	5.714285714
mp-721171	6.212187604	7.739130435
mp-768947	5.863917377	11.39393939
mp-556588	5.78604121	10
mp-625641	5.999565488	5.428571429
mp-625687	5.866287339	5.428571429
mp-627442	4.961421094	8.875
mp-626094	5.419955748	5.714285714
mp-695365	6.451786436	9.724137931
mp-677248	5.541579244	8.181818182
mp-677121	5.58546073	12
mp-625171	5.527629901	4.363636364
mp-626690	6.431363764	30
mp-627944	5.532754379	8.666666667
mp-693753	5.235528447	12.17391304
mp-626103	6.021189299	5.714285714
mp-556788	5.761175813	10
mp-754833	6.498310554	33.2
mp-752458	5.996511672	24.45
mp-720222	3.403120521	10.2962963
mp-773007	6.426511261	15.125
mp-24104	6.06069784	7.846153846
mp-33932	5.949390007	13.2
mp-24390	5.445604203	9.714285714
mp-686308	4.103803721	9.076923077
mp-35397	6.324282455	27.63636364
mp-693340	5.220108088	9.09375
mp-677497	2.691965103	10.54166667
mp-754500	5.352182518	11.30769231
mp-707941	4.707570176	9.285714286
mp-556994	5.931457871	10
mp-556880	6.206825876	10
mp-765476	6.012837225	22.5
mp-779539	5.63748973	10.25
mp-625501	5.392696953	4
mp-686697	6.294466226	16.5
mp-765639	5.944975908	26.725
mp-756912	6.068185862	10.33333333
mp-776561	5.564666064	14.5
mp-759095	6.021189299	11.30769231
mp-556985	5.821513528	10
mp-778772	5.10720997	11.875
mp-626165	4.592176757	4
mp-558808	5.719331287	9.2
mp-684723	6.877371346	27.9
mp-693763	4.748188027	6.530612245
mp-696736	5.81756537	11.25
mp-720971	5.301029996	12.15873016
mp-720112	4.376576957	11.68831169
mp-626295	5.041392685	5.62962963
mp-657176	5.408239965	18.33333333
mp-696138	5.580924976	11.36
mp-721300	5.522444234	8.2
mp-775785	6.431363764	33.2
mp-625788	6.550228353	12
mp-676002	5.271841607	23.4
mp-680944	5.711807229	17.42857143
mp-753845	6.790988475	12
mp-780237	5.575187845	11.875
mp-759207	6.08278537	18
mp-691119	6.056904851	35.79487179
mp-779739	6.283301229	33.2
mp-780274	6.421603927	33.2
mp-779979	6.478566496	33.2
mp-779738	6.356025857	33.2
mp-780230	6.517195898	33.2
mp-774910	6.056904851	18
mp-684617	6.514547753	38
mp-778010	6.320146286	27.77777778
mp-760664	5.718501689	11
mp-779588	5.797267541	13.5
mp-776246	6.459392488	20.4
mp-775786	6.424881637	33.2
mp-532676	4.790988475	12.85714286
mp-779863	6.431363764	33.2
mp-776214	6.480006943	33.2
mp-780060	6.298853076	33.2
mp-779973	6.484299839	33.2
mp-775861	6.423245874	20.4
mp-775824	6.322219295	20.4
mp-675681	3.201397124	24.20833333
mp-775843	6.315970345	20.4
mp-776362	6.553883027	20.4
mp-37436	5.802089258	8.571428571
mp-766238	6.540329475	20.4
mp-625860	4.1430148	4.962962963
mp-695601	4.170261715	9.395348837
mp-556783	5.768638101	7.333333333
mp-779864	6.463892989	33.2
mp-775783	6.390935107	33.2
mp-763609	6.873901598	11.42105263
mp-759307	5.715167358	16
mp-42036	4.788875116	16.13043478
mp-677067	2.612783857	10.97560976
mp-706524	5.369215857	25.875
mp-757800	5.683947131	10.33333333
mp-758861	4.59439255	11.5
mp-756755	5.951337519	14.73684211
mp-695043	4.36361198	11.24137931
mp-773100	6.436162647	29.625
mp-761922	6.170261715	17.41176471
mp-36779	5.785329835	10
mp-677203	4.895422546	3.897435897
mp-776229	6.496929648	13.2
mp-625909	5.873901598	9.818181818
mp-669521	6.26245109	20.34782609
mp-34580	5.900913068	28.54166667
mp-675757	6.26245109	20.94736842
mp-775961	6.173186268	16.55
mp-686617	5.67669361	20.17021277
mp-775628	5.235528447	17.45454545
mp-776334	6.63447727	13.2
mp-677028	6.346352974	29.4
mp-775820	6.713490543	13.2
mp-673834	6.281033367	23.86666667
mp-686347	5.766412847	11.33333333
mp-695305	2.804820679	9.333333333
mp-696871	6.531478917	18.8
mp-690136	5.534026106	5.853658537
mp-778616	6.436162647	12
mp-753883	6.389166084	31.06666667
mp-676694	5.995196292	13.6
mp-554765	5.741939078	17.73333333
mp-676400	6.954242509	26
mp-676693	6.530199698	10.66666667
mp-757403	6.252853031	14.22222222
mp-675069	5.980457892	13.6
mp-626552	5.1430148	4.296296296
mp-26835	6.432969291	18.57894737
mp-694958	5.139879086	9.652173913
mp-686588	2.564666064	10.31325301
mp-675033	6.567026366	44.06060606
mp-672695	5.833784375	16
mp-626564	5.017033339	4.296296296
mp-768326	2.482873584	11.55555556
mp-625208	6.217483944	8.933333333
mp-626279	5.025305865	4.296296296
mp-626563	4.012837225	4.296296296
mp-759766	5.540329475	36.8
mp-625112	6.206825876	8.933333333
mp-720205	5.889861721	16.30769231
mp-685043	6.499687083	20
mp-33319	6.625312451	23.8
mp-752443	5.257678575	12
mp-695592	5.812913357	11.3559322
mp-772428	6.089905111	10
mp-695259	6.423245874	18.24242424
mp-677550	2.187520721	11.41772152
mp-675625	5.674861141	10
mp-626340	4.985426474	5.62962963
mp-757127	6.552668216	14.76923077
mp-775170	6.096910013	13
mp-686614	6.357934847	16.47619048
mp-675881	5.212187604	26
mp-674421	5.492760389	37.52173913
mp-626337	5.378397901	4.962962963
mp-531130	6.749736316	37.96923077
mp-675250	5.392696953	24.8
mp-761126	6.597695186	16.18181818
mp-561974	6.698970004	19.57894737
mp-676923	5.980457892	35.89473684
mp-627349	6.350248018	7.714285714
mp-767433	6.037426498	11.33333333
mp-626562	5.651278014	4.296296296
mp-767722	6.44870632	11.05
mp-626819	5.865103975	13.11111111
mp-561052	6.146128036	14.95238095
mp-760205	5.037426498	17.84615385
mp-707160	6.361727836	6.5
mp-690607	6.08278537	11.81818182
mp-851270	5.689308859	11.34210526
mp-686836	7.250420002	27
mp-532626	6.71432976	10.55294118
mp-707276	5.40654018	7.523809524
mp-769549	5.635483747	11.22857143
mp-676339	4.950364854	27.77777778
mp-622026	6.045322979	23.42857143
mp-767604	6.130333768	14.14492754
mp-626977	5.943988875	7.714285714
mp-767395	6.330413773	12.9
mp-765601	6.558708571	10.42105263
